,SHA_slope,SHA_intercept,FOL_slope,FOL_intercept,YRS_slope,YRS_intercept,ORO_slope,ORO_intercept,NML_slope,NML_intercept,DNP_slope,DNP_intercept,EXC_slope,EXC_intercept
0,3.704158445554273e-05,0.2133709948453417,0.00011937245868336578,0.1602609687589082,0.00011119848838349298,0.18198315076573185,7.939998418451186e-05,0.16531953139872224,0.00023375505640101498,0.23139624276541576,0.00015376540010082957,0.1928646522897801,0.000527954836113835,0.11264579837608657
1,2.5687868552685428e-05,0.42637007414688144,-4.853352711898162e-06,0.45063362550315733,1.0812418633506882e-06,0.4275406717912436,4.888653315749404e-06,0.4302247897023801,-4.7534171924923777e-05,0.4398767587244878,5.521337070077228e-05,0.3955772790278142,0.0002395391336102085,0.35250251305782143
2,-8.639454543523597e-19,1.0000000000000009,1.6622869650179599e-18,0.999999999999999,-4.255707904673473e-18,1.0000000000000009,1.396594330535249e-18,0.999999999999999,-3.003796868707918e-18,1.0000000000000013,1.2636101500736123e-18,0.9999999999999994,-4.1838833484162395e-18,1.0000000000000002
3,7.733396477377498e-06,0.3493099272247805,-1.0472364486283722e-05,0.35167716591404724,-0.00011995817037393952,0.47673962805358694,-2.079807194901883e-05,0.4049232624312873,-0.00010082176077746456,0.32215102121784334,-8.9421773275701e-05,0.3701979458945244,-0.00023082828730712675,0.43251120207807664
4,7.5934137461224e-05,0.3782290395826487,-1.7358597173328713e-05,0.5158177685230818,-0.0001562246413445651,0.6748780935447269,3.784895782810052e-05,0.4864020156347027,-9.240767889359999e-05,0.47596182141707377,-0.0001787383071297971,0.6366356126404237,-0.0004591111333719308,0.8026366596845251
5,0.0001893609939298058,0.4552218546349895,0.00023038851298313824,0.5247446041996799,0.00017775644019724275,0.6782960086181925,0.00022546532770211132,0.4802476761990317,0.00035966751321513086,0.5280237806593607,-3.205114267721978e-05,0.730550795136068,-0.00030258334166055823,0.8554783463737423
6,-1.888690146009004e-17,1.000000000000003,-4.25213022386058e-18,1.0000000000000009,9.340743061462964e-17,0.999999999999994,-1.8227942271048708e-17,1.0000000000000018,6.5439740002884446e-18,0.9999999999999982,1.2259036918307182e-17,0.999999999999997,-7.963147307027258e-17,1.0000000000000107
7,-5.875843112970275e-06,0.5179195476407841,-8.533255678132984e-05,0.5597835721276584,0.004906632510909673,0.31426042199210164,0.0002632618054388067,0.45852223392456964,0.00020271961608070614,0.4941059574425187,-0.0007031065370341134,0.5774974046638749,-0.0003134425614213265,0.6537401580495851
8,9.706050318923694e-19,0.9999999999999998,-2.2045099068240884e-18,0.9999999999999998,-7.527533817368709e-17,1.000000000000001,-1.0742488185544153e-17,1.0000000000000009,-3.965898597496509e-18,1.0000000000000002,1.850377938263649e-17,0.9999999999999996,1.1258382601815331e-17,0.9999999999999996
9,-1.61765770222499e-05,0.12873962568032787,-1.898607263097746e-05,0.0795842818551077,-4.379135517212164e-05,0.0764595319572094,-2.1593270709800227e-05,0.11901801685247186,-9.982666605439557e-05,0.15753934735938446,-4.977052074406441e-05,0.09813810519706594,-4.515233283161e-05,0.06165145373697642
10,-1.4752440941814137e-05,0.14358183564620458,-2.11759614691062e-05,0.09894589239477898,-2.8157469658067738e-05,0.09321234544506882,-1.8088507732489726e-05,0.12426124533454545,-0.00013982416698941024,0.17166068003955298,-3.327250865516114e-05,0.093202664778482,-1.4689125011284103e-05,0.050016036604654125
11,-5.0338878307198945e-06,0.22864475216450678,1.3577110886123682e-05,0.17738891489038688,6.764546630656407e-05,0.1361281870681099,1.4225746705654555e-05,0.1808068080957888,-0.0001024186075947783,0.24942204679535704,4.155557766041775e-05,0.12913409040396445,8.01793228156273e-05,0.10581110943896209
