,MIL_slope,MIL_intercept,SLS_slope,SLS_intercept,SLF_slope,SLF_intercept,ISB_slope,ISB_intercept,SUC_slope,SUC_intercept,KWH_slope,KWH_intercept
0,0.00013717335589813508,0.23140691780537068,-7.404722089680485e-05,0.44039506942922546,0.0001786775216871804,0.23042312453151442,0.0005472642848816305,0.2136582238427977,0.0011086524355968775,0.22328860029851288,0.0011449551111937862,0.13241966341516787
1,-1.355707715902218e-05,0.40311179926981805,0.00018724020647381429,0.4010548927720788,0.00030943221032545584,0.3562636322911879,-1.546768801025725e-05,0.3959046410545466,0.0006784073326147514,0.40381413024467433,0.0004841954422887222,0.34956205864291867
2,-6.20816164908286e-19,0.9999999999999998,-7.481551273229354e-18,1.0000000000000016,-1.061311254517355e-17,1.0000000000000022,1.1224417908164971e-17,0.999999999999999,-1.6153514478246984e-17,1.0000000000000002,2.1202914340048074e-18,0.9999999999999998
3,-9.254096096966588e-06,0.1952652654729115,-4.7457840569972754e-05,0.20771000437367226,-0.0003838301846109132,0.4147468434715728,-0.00010829875808451068,0.2749021536596403,-0.001078728422213022,0.521026590209109,-0.0003025237230813419,0.349868591637203
4,-2.099242309275935e-05,0.3867536038351624,-0.00018341622919976235,0.23524286048897344,-0.00047887672187958024,0.40781206317911106,-0.0001806100280208894,0.5443560727959126,-0.002603027614090618,0.7573493811603149,-0.0008083435674335648,0.7234103095483073
5,5.207205154949824e-05,0.5785827989476741,0.00020569606037402057,0.19715535869254605,0.00016040578787553068,0.3316577287137548,-9.607056631000629e-05,0.6894964112169535,0.0007095829225969546,0.6776392355743035,-0.00027482510720972225,0.7699465946572517
6,2.1376160001951776e-18,0.9999999999999988,6.498345587793213e-18,0.999999999999998,5.025164030760147e-18,0.9999999999999988,-1.525644523324638e-17,1.0000000000000022,1.1442562531933327e-15,0.9999999999999831,1.3724018778833139e-17,0.9999999999999988
7,9.53098260282022e-05,0.5367635333217421,-4.2485708830020223e-05,0.567862684328667,0.0005526354643584811,0.23011197291437824,0.000914295748542043,0.5631225993637173,0.0007174263257438468,0.6814556805400616,0.0009859185506880205,0.6522029586387089
8,9.075382986397363e-18,0.9999999999999992,6.461275146438117e-19,0.9999999999999994,-1.687692386101269e-18,1.0000000000000002,1.589375327067891e-17,0.9999999999999998,2.372999066471186e-16,0.9999999999999996,-5.578928534899454e-17,1.0000000000000002
9,-9.133658124976296e-05,0.1725249605952838,2.1185308523236596e-05,0.12863612904686283,5.3136598817548445e-06,0.1911703153600098,-0.0001641969892995747,0.12659346609493427,-0.00011551228539523185,0.03641560822189863,-0.00010493082733967163,0.061426151350771195
10,-8.386229820436165e-05,0.16464222998930444,-3.77869099961529e-05,0.2376774571380303,1.4012267968064045e-05,0.20353681550340272,-0.0001699334096031602,0.15733557115315183,-0.00010412407815389746,0.08189419454633103,-7.783268190686448e-05,0.09272009491825059
11,-0.00010343168673508467,0.22783116448163643,-0.00010169371239170585,0.39322831367882227,7.556542245292915e-06,0.2473723482298185,-5.675388652876775e-05,0.18234162122060735,0.0001092052568080972,0.1481392384466371,0.00011715728131043583,0.12303276692285672
