,PFT_rainfnfstd,PFT_snowfnfstd,PFT_raininfstd,PFT_snowinfstd,PFT_baseinfstd,KWH_rainfnfstd,KWH_snowfnfstd,KWH_raininfstd,KWH_snowinfstd,KWH_baseinfstd,SUC_rainfnfstd,SUC_snowfnfstd,SUC_raininfstd,SUC_snowinfstd,SUC_baseinfstd,ISB_rainfnfstd,ISB_snowfnfstd,ISB_raininfstd,ISB_snowinfstd,ISB_baseinfstd,MIL_rainfnfstd,MIL_snowfnfstd,MIL_raininfstd,MIL_snowinfstd,MIL_baseinfstd
0,0.21822565241084563,0.6173195449729778,0.0,640.5676902449268,58.51526686775014,0.07936143571635533,0.16466489728173303,0.0,192.36665542413286,11.987745726961148,0.06705168897959679,0.05719161464802068,0.0,81.84436266757572,3.7541806440145584,0.10446797607330248,0.2684816577694618,0.0,319.7675196804772,31.088379413474716,0.272556720316403,0.6261790324588817,0.0,557.0986204709933,66.03657510568428
1,0.21595982280696668,0.6173101451172539,0.0,640.5553784594213,58.51412569285607,0.0794954256814197,0.16466506730143315,0.0,192.3671006834281,11.987759006505907,0.06702961675586976,0.05719161339668779,0.0,81.84449042207248,3.75418459910203,0.10940346155338554,0.2684849570295859,0.0,319.77275189572737,31.088771238847016,0.2683566640714273,0.6261787478639251,0.0,557.0984724714149,66.0366292384179
2,0.21528339218034628,0.6173138017761576,0.0,640.5603506121981,58.51418389828704,0.07954295194979129,0.1646655237030301,0.0,192.36738112600435,11.987743576559568,0.06707716677973259,0.057191823387515994,0.0,81.84460575975054,3.7541816836546884,0.11472602643016412,0.2684800652758114,0.0,319.76637867185156,31.088160831284835,0.26603166017656793,0.6261789727937391,0.0,557.0984047663485,66.03663428924463
3,0.22143279786282974,0.6173129214144799,0.0,640.5590537024435,58.51409271831189,0.08473646821896104,0.16466455930047258,0.0,192.3662177947505,11.98776600749106,0.06572849806438785,0.057191574651318876,0.0,81.84433338918808,3.754194013333361,0.11240836356790954,0.26847500943333724,0.0,319.76111608380285,31.087598703527593,0.26590309956243147,0.6261809573576844,0.0,557.099941251223,66.03674811794032
4,0.22384470691328515,0.6173136688657843,0.0,640.5600724845149,58.51432128633789,0.08615588299244996,0.16466601850017842,0.0,192.36838769816362,11.987820797104089,0.06482577238330905,0.05719188537287125,0.0,81.84493893864358,3.7541963390932307,0.11146624346097943,0.26847168659086484,0.0,319.7543403569585,31.087035927948428,0.26580498411759645,0.6261803022882171,0.0,557.0995678403867,66.0367159199432
5,0.22488170599903304,0.6173112972806927,0.0,640.5569879705514,58.514053020109735,0.08616014909012103,0.1646649425795293,0.0,192.36680137786794,11.987753318747057,0.06471659463253586,0.05719162061694004,0.0,81.84443558874858,3.7541886596406653,0.11103434799999276,0.26848612739848005,0.0,319.7764203109856,31.08924877708027,0.2675739630740149,0.6261805258907379,0.0,557.0997471170709,66.03670412565015
6,0.22495537775379765,0.6173138423633172,0.0,640.5602501057652,58.51425824890436,0.08619348033112702,0.16466505782913704,0.0,192.36681895431778,11.987755257830075,0.06471806584023551,0.057191650058762596,0.0,81.84438907426609,3.7541792769916573,0.11090245220101132,0.2684870892504495,0.0,319.77638756783165,31.088961413752926,0.269698324988146,0.6261802427072451,0.0,557.0995413861172,66.03671708389344
7,0.22473153382692138,0.6173089178362181,0.0,640.5537497237491,58.51341549005976,0.08628621081620934,0.1646653512851527,0.0,192.36738321918304,11.98779346142339,0.06472037444476858,0.05719171124232028,0.0,81.8446206415626,3.7541945715776524,0.1108105216291765,0.2684847319653657,0.0,319.7719015793577,31.088663172099988,0.27246846566865146,0.6261796518985925,0.0,557.0991356885578,66.03668979094633
8,0.22401894129547117,0.6173158454699549,0.0,640.5629326820704,58.51406431505503,0.08634228520802005,0.16466464939859826,0.0,192.36625951716238,11.987734643324295,0.06477624672987435,0.057191600565570225,0.0,81.84431584508579,3.7541842803350187,0.11080023177397202,0.26846903514265485,0.0,319.75267446007535,31.087067773436992,0.2739264127827304,0.626178793336325,0.0,557.0986115426392,66.0365241371236
9,0.2235133561259157,0.6173195449729779,0.0,640.5676902449268,58.51526686775015,0.08647476996551635,0.164664897281733,0.0,192.36665542413292,11.987745726961148,0.06486251775197083,0.05719161464802068,0.0,81.84436266757572,3.7541806440145584,0.1109340189312176,0.2684816577694619,0.0,319.7675196804774,31.088379413474716,0.27589291145720496,0.6261790324588818,0.0,557.0986204709933,66.03657510568428
10,0.22353777427699695,0.6173091882798605,0.0,640.5535194198274,58.51316462052001,0.08670120257965583,0.16466559094387956,0.0,192.36776689359073,11.98779446957334,0.06494550499362108,0.05719178566502336,0.0,81.84477132205832,3.754197398087565,0.11095821995908803,0.2684809064174073,0.0,319.7673999041473,31.088206178545907,0.27702373814524905,0.6261785409657801,0.0,557.0981413303315,66.03672603892035
11,0.22375304612076566,0.617309768092315,0.0,640.5554403736934,58.51371292772374,0.08688137519698352,0.1646654363309291,0.0,192.3675136427467,11.9877838920338,0.06503163357784582,0.05719181352797241,0.0,81.84480704961956,3.754200189846983,0.11100080421541236,0.2684809852175768,0.0,319.76653339008504,31.088144706995823,0.2781913350910605,0.6261788713198337,0.0,557.0983863961734,66.03674120837344
12,0.23144843011058266,0.6173130952199815,0.0,640.5595311165048,58.514316135012,0.09475695591360715,0.16466536049112376,0.0,192.36740604229195,11.987785093791404,0.06514098177231717,0.05719175738811634,0.0,81.84470076967081,3.754195381174462,0.11109040290893067,0.2684869324514061,0.0,319.7757830098677,31.089080417916325,0.27867191037636907,0.6261795532017768,0.0,557.0989800759735,66.03659117986237
