datetime,PFT_rainfnf,PFT_snowfnf,PFT_raininf,PFT_snowinf,PFT_baseinf,KWH_rainfnf,KWH_snowfnf,KWH_raininf,KWH_snowinf,KWH_baseinf,SUC_rainfnf,SUC_snowfnf,SUC_raininf,SUC_snowinf,SUC_baseinf,ISB_rainfnf,ISB_snowfnf,ISB_raininf,ISB_snowinf,ISB_baseinf,MIL_rainfnf,MIL_snowfnf,MIL_raininf,MIL_snowinf,MIL_baseinf
2009-04-13,0.30282432599999987,0.955576133898836,0.0,811.8043623636956,91.87280266808406,0.09476620199999998,0.22240032564141585,0.0,202.93288378110762,9.756603748066656,0.02962806153000003,0.0454174817771196,0.0,38.0923932761888,2.0639390379140012,0.135162,0.21257952704160266,0.0,195.11460030248946,23.45396138137765,0.3753655050000001,1.1736686490325592,0.0,902.289272884426,217.545874485078
2009-04-14,0.30282432599999987,0.9512085769321945,0.0,803.1873188441456,91.44783109540613,0.09476620199999998,0.22236146386906827,0.0,201.27831065820124,9.755641081769804,0.02962806153000003,0.045406862408841786,0.0,37.55879695245143,2.0637678774871455,0.135162,0.21176387688572984,0.0,192.7633433454391,23.376725491082688,0.3753655050000001,1.1644190122852232,0.0,889.8331253812821,216.67567251724176
2009-04-15,0.30282432599999987,0.943599920329219,0.0,791.2476466439948,90.77285841258642,0.09476620199999998,0.22195756616293064,0.0,199.12476720239664,9.7296619114998,0.02962806153000003,0.04524419903037914,0.0,36.79808764793112,2.05458584130991,0.135162,0.21143437446873256,0.0,190.91105763779967,23.357382474720573,0.3753655050000001,1.155845412875365,0.0,877.8211823750853,215.86736316778246
2009-04-16,0.30282432599999987,0.942249950011439,0.0,784.8106306073417,90.64808202424393,0.09476620199999998,0.22192503917343492,0.0,197.29454474654705,9.729750602034292,0.02962806153000003,0.045235061109886114,0.0,36.13373049820535,2.0547417915298256,0.135162,0.2106884719655034,0.0,188.4681140634967,23.276118803082618,0.3753655050000001,1.153391597769222,0.0,870.7998236000687,215.63240068576633
2009-04-17,0.30282432599999987,0.9414737259069123,0.0,779.0937606361321,90.60843278422702,0.09476620199999998,0.22158394395074002,0.0,195.3204696940012,9.704148610406957,0.02962806153000003,0.04509010474471262,0.0,35.43447713843096,2.04544072832557,0.135162,0.21037658239208906,0.0,186.61251234291436,23.250302476343347,0.3753655050000001,1.1511424424264718,0.0,863.9247920548746,215.41693556284872
2009-04-18,0.30282432599999987,0.938505863575615,0.0,771.3961030551534,90.38143997861339,0.09476620199999998,0.2215641210871428,0.0,193.64106857382333,9.70424530370525,0.02962806153000003,0.04508455254169107,0.0,34.85539581493255,2.0455504693394175,0.135162,0.21037658239208906,0.0,185.11310339812206,23.250302476343347,0.3753655050000001,1.143237423452694,0.0,852.3280812633362,214.65847154530428
2009-04-19,0.30282432599999987,0.9342960876612095,0.0,762.5142181195594,90.04779908783424,0.09476620199999998,0.2211710022055952,0.0,191.5590385633821,9.682916361266262,0.02962806153000003,0.04496532950179632,0.0,34.184816333965955,2.0396390286819504,0.135162,0.21019839654940917,0.0,183.3713213386461,23.242748485091553,0.3753655050000001,1.1398884790154042,0.0,844.179085283452,214.34154781079036
2009-04-20,0.30282432599999987,0.9314941142148137,0.0,754.8758860551243,89.82805755567267,0.09476620199999998,0.2211661300684746,0.0,189.81722080631212,9.682665325022102,0.02962806153000003,0.04496387631248901,0.0,33.59818531674469,2.039568401609768,0.135162,0.21005572334034484,0.0,181.7384889120038,23.24034234979068,0.3753655050000001,1.1356652997482437,0.0,835.2210972370565,213.9444925077485
2009-04-21,0.30282432599999987,0.9265420082082335,0.0,745.1957699877765,89.4836229043666,0.09476620199999998,0.22054654777562033,0.0,187.44184702940817,9.653265934401333,0.02962806153000003,0.04478948600887102,0.0,32.87942487858883,2.0318778785747655,0.135162,0.20999996185659353,0.0,180.12394309320837,23.239641093192834,0.3753655050000001,1.1292783612296293,0.0,824.7112867058381,213.3458846420936
2009-04-22,0.30282432599999987,0.9228697667306762,0.0,736.3620019808204,89.22082225615075,0.09476620199999998,0.22042512909584636,0.0,185.36919521716135,9.647544561600812,0.02962806153000003,0.04475538223210024,0.0,32.218213368650154,2.030382494238329,0.135162,0.20957531732321857,0.0,178.06271840106368,23.24063888349262,0.3753655050000001,1.1220849746291695,0.0,813.0242017031286,212.67232977089742
