,tableA,carryover,turnback,article21
0,1620.1113054958146,0.0,149.84705091667877,528.7105930403795
1,1251.4676266405359,256.95085218253377,78.74400454496902,242.92954159789807
2,1783.2021774864315,35.14411645451262,251.9035889327626,168.55292322830186
3,1984.669194677282,305.11737505296065,114.60736010635563,535.6134306156029
4,1383.493448796145,420.51957519509074,0.0,610.3230844280085
5,2104.53070689728,469.3358449426945,0.0,172.5688532926078
6,2531.194939830539,357.3705396047975,24.05421838858657,77.17712472756756
7,2373.8769445930425,314.20090506917126,28.50619276584698,692.1590751634413
8,2220.946841435787,330.18782769532874,120.41663388405313,179.46359345409005
9,1957.85326699561,345.9785188492112,174.54553013492082,507.3214096116796
10,2484.2657371393284,224.98969529506888,0.0,186.47894040974424
11,1818.2990657409334,251.7861231973948,10.370218399470527,0.0
12,1708.8313173125864,142.55355618850572,0.0,0.0
13,2178.8061113353515,116.33973656413885,34.57966478791493,0.0
14,1920.9351727905992,253.7280226821312,168.1833341499466,516.8172868774141
15,2089.855707570107,167.5384607669167,0.0,138.40624783847042
16,1626.008872405626,480.0134761174411,0.0,0.0
17,526.5257167683782,637.4218829072357,0.0,0.0
18,889.6031437877531,147.14042464813346,0.0,0.0
19,0.0,0.0,0.0,0.0
