datetime,SHA_storage,SHA_tocs,SHA_available_storage,SHA_flood_storage,SHA_out,FOL_storage,FOL_tocs,FOL_available_storage,FOL_flood_storage,FOL_out,ORO_storage,ORO_tocs,ORO_available_storage,ORO_flood_storage,ORO_out,YRS_storage,YRS_tocs,YRS_available_storage,YRS_flood_storage,YRS_out,NML_storage,NML_tocs,NML_available_storage,NML_flood_storage,NML_out,DNP_storage,DNP_tocs,DNP_available_storage,DNP_flood_storage,DNP_out,EXC_storage,EXC_tocs,EXC_available_storage,EXC_flood_storage,EXC_out,DEL_TRP_pump,DEL_HRO_pump,DEL_total_outflow,DEL_SWP_allocation,DEL_CVP_allocation,DEL_X2,DEL_SCINDEX,DEL_SJINDEX
1905-10-01,4552.0,4552.0,1776.0,-1699.187541603601,10.031778627734584,975.0,975.0,-12.5,-210.52046175192038,3.7155291872051612,3537.0,3349.5,1268.5,-510.7123698766079,38.46860826283168,969.6,912.0,-15.199999999999934,-117.67044966000054,11.681791735264733,2420.0,2270.0,0.0,0.0,15.867768568319999,2030.0,1770.0,0.0,0.0,26.449586732318455,1024.6,849.6,0.0,0.0,24.793388388,8.528925605472,13.249586754547199,162.28548648900724,1713.0211947060282,2292.714038824193,82.0,10.26,4.12
1905-10-02,4548.493841195987,4530.333333333333,3084.636578689805,2111.094114037256,10.35970907346334,972.2534162657087,967.0,1243.393519984223,1157.6765395129191,3.710690477527742,3501.776747103604,3337.0666666666666,1231.2223820112088,1040.2307292716425,33.61910170608198,958.727166941059,908.2333333333333,655.7257420665402,657.318416490716,10.26055845680985,2405.1843834960237,2260.0,0.0,0.0,15.867768568319999,2029.8762314051671,1758.5714285714287,0.0,0.0,26.313917311059374,999.7848291326978,843.7666666666667,0.0,0.0,24.793388388,8.528925605472,13.249586754547199,151.60960025194103,2870.7209347804896,2429.8957235809867,80.34458638400058,10.26,4.12
1905-10-03,4544.383652773157,4508.666666666667,2967.3640479385003,2070.79524030027,9.341525934682094,969.8643919016578,959.0,1177.306238982875,1133.8844572369665,3.7058517678503224,3470.25357927829,3324.633333333333,1194.7896296856861,898.4554845838918,29.832227700195514,949.2755671605728,904.4666666666667,675.7906967752804,700.6271108988242,9.123571834045947,2390.751933933551,2250.0,0.0,0.0,15.867768568319999,2029.8762314051671,1747.142857142857,0.0,0.0,24.793388388,974.9233957861347,837.9333333333334,0.0,0.0,24.793388388,8.528925605472,13.249586754547199,140.24787018352984,3004.3118062257367,2457.2136429293046,78.8241657968127,10.26,4.12
1905-10-04,4543.844374757537,4487.0,3037.822809940736,2166.8135164168216,13.352601890315478,967.3573302144334,951.0,1160.6451613167455,1130.9428915557794,4.327810014604121,3442.3665416574636,3312.2,1162.0754377131057,836.9179428304212,27.009354610840788,940.9609540028505,900.7,667.2598015095169,699.8451616296967,8.213982535834816,2376.06992404092,2240.0,0.0,0.0,15.867768568319999,2028.8321322333716,1735.7142857142858,0.0,0.0,27.731305738424414,950.2142414475796,832.1,0.0,0.0,23.622848289515925,8.528925605472,13.249586754547199,139.06350157499517,2918.6892014484133,2446.776992153694,77.43767418820804,10.26,4.12
1905-10-05,4539.321194339956,4465.333333333333,3009.405921788759,2151.0944598791602,16.270392694712083,964.5572491228764,943.0,1148.63033865816,1125.7568483711898,5.375240706429323,3418.6701787765805,3299.766666666667,1133.2144704160994,785.7630143947865,24.649760271758936,933.5559301433393,896.9333333333333,657.3237149628071,693.7818572587801,7.486311097265935,2361.7927207591774,2230.0,0.0,0.0,15.867768568319999,2029.8762314051671,1724.2857142857142,0.0,0.0,24.793388388,926.5233481995007,826.2666666666667,0.0,0.0,20.051336306566807,8.528925605472,13.249586754547199,139.73507711854282,2816.386145754968,2433.3244283055997,76.13291640883129,10.26,4.12
1905-10-06,4529.3157933702305,4443.666666666667,2892.6846810639545,2041.929868268673,18.560709305245314,960.7533141989251,935.0,1147.1032908013065,1128.325746461924,6.242905590417959,3396.877806929762,3287.3333333333335,1108.335457290462,798.5692026812437,23.02090794055356,926.878577722397,893.1666666666666,651.0777817870022,689.8602822264326,6.904173946410811,2347.7296926836857,2220.0,0.0,0.0,15.867768568319999,2020.5678016687764,1712.857142857143,0.0,0.0,24.793388388,906.4039669343708,820.4333333333334,0.0,0.0,17.2241973317271,8.528925605472,13.249586754547199,141.96362361573054,2837.57672012693,2440.8530657251777,74.89680908939512,10.26,4.12
1905-10-07,4517.008373310654,4422.0,2793.422714236838,1947.647424955875,20.312939453311024,956.2660185229059,927.0,1141.0249235732051,1124.9484916762265,6.89344477040953,3378.0765353457386,3274.9,1082.6252451761964,724.4603556056811,21.157670043474656,920.7833624523099,889.4,650.6099289960434,690.9416717449403,6.438464225726716,2332.642896014877,2210.0,0.0,0.0,15.867768568319999,2022.1954380296718,1701.4285714285713,0.0,0.0,29.46684292558435,889.2620777016788,814.6,0.0,0.0,14.932415540335752,8.528925605472,13.249586754547199,140.73382939614876,2842.1032525122855,2439.341145461682,73.71846954798406,10.26,4.12
1905-10-08,4502.419929715472,4400.333333333333,2719.5662533784516,1877.3072217118042,21.834848530238922,950.918153915183,919.0,1142.9311127048306,1128.7712638037158,7.646525370209389,3358.268300010735,3262.4666666666667,1060.1248662483233,738.9702239503079,20.37924898081054,915.1538569029068,885.6333333333333,647.1124987749644,688.5517734524777,6.036322895510216,2317.8390613290626,2200.0,0.0,0.0,15.867768568319999,2029.8762314051671,1690.0,0.0,0.0,26.581685905649426,874.2616172027799,808.7666666666667,0.0,0.0,13.110941313814102,8.528925605472,13.249586754547199,142.582298394961,2880.9532797193424,2441.41352749926,72.61055741657212,10.26,4.12
1905-10-09,4486.920089439028,4378.666666666667,2656.8599046149047,1817.1952694625734,22.876063064805287,945.980454986693,911.0,1144.4063053501695,1131.643306296889,8.31361133754374,3342.5143072204824,3250.0333333333333,1039.5732057771918,716.7422981261868,19.387884032126554,909.7786249153742,881.8666666666667,642.196676724614,684.466214221886,5.714609831337021,2304.23780515362,2190.0,0.0,0.0,15.867768568319999,2029.8762314051671,1690.0,0.0,0.0,37.024661094675096,861.14238696336,802.9333333333334,0.0,0.0,11.646051387155195,8.528925605472,13.249586754547199,142.54947327301713,2904.9652250624617,2433.7361812496374,71.5551534656245,10.26,4.12
1905-10-10,4469.438075951916,4357.0,2587.242153070194,1749.5676681321802,23.389092874815553,940.653157693707,903.0,1142.0221628128343,1130.2186963666175,8.712919781058961,3326.389233100216,3237.6,1017.3395247566867,677.5285548466734,18.487446618814637,904.7251059920147,878.1,637.8818149026782,680.7987167554674,5.457239379998464,2289.9625655082377,2180.0,0.0,0.0,15.867768568319999,2029.8762314051671,1690.0,0.0,0.0,26.119537146097134,849.4494939233911,797.1,0.0,0.0,10.469898784678207,8.528925605472,13.249586754547199,134.23923884297864,2952.872436388008,2425.353815777672,70.5579454234346,10.26,4.12
