datetime,SMI_SOC_leiu,SMI_SOB_leiu,SMI_rate,ARV_SOC_leiu,ARV_OXV_leiu,ARV_LWT_leiu,ARV_KRT_leiu,ARV_rate
1996-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513190069992416
1996-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
1996-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062398665792871
