,SLS,SLF,MIL,ISB,SLS_stor,FR1_stor,FR2_stor,KN_stor
0,843.0,332.0,236.0,287.0,856.1220623625054,238.00099503795263,0.0,257.14772892537104
1,848.7653410967464,335.30887546187506,234.19758775562627,283.35046590197015,867.7524761004819,240.03519536510555,0.0,257.35271272667876
2,853.800735624784,338.6391640255538,233.59937033696514,278.4188478771137,881.0020628550291,242.29568593981128,0.0,257.5320442966247
3,860.990341965533,341.9908656910362,233.31458848193387,274.8499877775999,894.2516496095762,243.81535800336783,0.0,257.82099041184057
4,867.9321433564926,345.3639804583223,232.54267756081393,273.6520602601491,907.5012363641234,245.0508422988079,0.0,258.0480581800532
5,875.1024448762997,348.7585083274121,232.31663919631427,271.62338350245454,920.7508231186707,245.8778941982416,0.0,258.2432575185675
6,883.0898993593396,352.1744492983055,231.63652675441594,270.525995407026,934.0004098732179,248.3829249378248,0.0,258.43170710502693
7,891.2622745811552,355.6118033710026,232.74309604204996,269.4232243113204,947.249996627765,250.54803435566632,0.0,258.22358389527056
8,900.417225789907,359.0705705455034,231.0552411387114,267.6632078698699,960.4995833823122,251.88033980796823,0.0,257.4612629821061
9,909.8499500993092,362.55075082180787,230.52764159981547,265.65220811033174,965.8802461310146,253.0155477399409,0.0,256.21714202084934
10,910.8462453325927,366.05234419991604,229.83281964291425,263.3291161685789,967.9017192514887,253.8116614576085,0.0,254.512898952144
11,908.343781276295,369.57535067982786,228.828778574032,260.6871664251886,968.7981535613466,254.59788955545804,0.0,252.53184913776911
12,904.921448443536,373.11977026154335,227.8447269876556,258.7061166108137,982.0477403158937,255.4861275704912,0.0,249.9545848236419
13,913.97384261354,376.68560294506256,226.99256042078682,256.1288522966865,982.2438912097912,256.55673384968003,0.0,247.12830527296526
14,910.543173306816,380.2728487303854,226.35263722039767,253.30257274600984,983.0761224011964,257.3921877325706,0.0,243.9055355168524
15,908.2569187531126,383.88150761751194,226.3319006643358,250.079802989897,984.227267717961,257.71987302127496,0.0,240.30421293533686
