datetime,SHA_storage,SHA_tocs,SHA_available_storage,SHA_out,FOL_storage,FOL_tocs,FOL_available_storage,FOL_out,ORO_storage,ORO_tocs,ORO_available_storage,ORO_out,YRS_storage,YRS_tocs,YRS_available_storage,YRS_out,NML_storage,NML_tocs,NML_available_storage,NML_out,DNP_storage,DNP_tocs,DNP_available_storage,DNP_out,EXC_storage,EXC_tocs,EXC_available_storage,EXC_out,DEL_TRP_pump,DEL_HRO_pump,DEL_total_outflow,DEL_SWP_allocation,DEL_CVP_allocation,DEL_X2,DEL_SCINDEX,DEL_SJINDEX
2016-02-29,1922.702391714571,3523.8953488372094,-1261.2684190154841,6.6247933772736,601.9858935407178,575.0,247.8168820168857,7.226045807738524,1748.1666299468664,3163.0,-973.7785732048728,3.3937190025494397,823.6107475735266,799.0,84.3876807462409,7.820833807344593,302.97454556198704,1970.0,0.0,0.7894214862739198,775.5926854383137,1690.0,0.0,0.32132231350847995,116.96216691759031,674.6,0.0,0.4561983463392,5.5890908996788795,4.57289255428272,30.537127522881836,700.0916808940871,942.9006046148859,69.11635840126921,6.620130274507799,1.4877527430194362
2016-03-01,1930.0213999667085,3546.9302325581393,-1165.765221539606,4.75239668621184,602.1462940015323,578.5714285714286,333.74739483174073,6.4263353870977795,1754.44828282885,3163.0,-839.9585063327143,3.37388429183904,830.2833352293784,799.0,150.15003440107887,9.155351338514947,304.5930579559557,1970.0,0.0,1.3170247911705597,780.780573032883,1690.0,0.0,0.31933884243744,118.59795653467033,674.6,0.0,0.5553718998912,5.652969687450096,4.625157017004623,29.422568245004403,770.4269271032077,1034.42020832942,69.24829145228958,6.612316924959651,1.4808381482816255
2016-03-02,1938.12982970512,3563.302325581395,-1182.1684842306336,4.75834709942496,602.5093800906044,582.1428571428571,332.42090560959696,5.692947216032081,1760.6882828183418,3163.0,-829.9334324598727,3.3719008207679995,835.6214053540598,799.0,154.9096221280986,10.222965363451227,307.1973554722312,1970.0,0.0,1.26347107225248,785.1684870750805,1690.0,0.0,0.32330578457952,120.28814562273314,674.6,0.0,0.5553718998912,6.015878777748049,4.922082636339312,27.492331292770984,779.8116718472321,1038.7466887947262,69.39697967241494,6.603786900074106,1.4767379105825107
2016-03-03,1949.3205734879277,3565.3720930232557,-1189.9506450113279,4.70876032264896,603.1298212936927,585.7142857142857,327.2248412695136,5.4949970091033915,1766.8846464442709,3163.0,-828.298942326185,3.371900820768,839.891861453805,799.0,155.618199362876,11.077056583400259,308.524297618757,1970.0,0.0,0.6961983459350397,789.5621135139627,1690.0,0.0,0.32330578457952,122.171294710471,674.6,0.0,0.5553718998912,5.033454536978208,4.118280984800352,30.31552464373982,785.4423317183488,1039.566503232391,69.58131045857273,6.60046489337157,1.4550196282512682
2016-03-04,1965.0752842051986,3567.3720930232557,-1193.878750308732,4.71471073586208,605.9237498904655,589.2857142857143,323.7462702839275,5.60242196707976,1773.6899356890092,3153.629236923077,-826.4734538929984,3.371900820768,843.308226333601,799.0,155.26492782227604,11.76032955935948,310.6664463754802,1970.0,0.0,0.7517355359241596,794.7218358193234,1690.0,0.0,0.32132231350847995,124.20802555001636,674.6,0.0,0.5553718998912,6.913818170175314,5.656760321052529,28.97465233333108,789.2073411625491,1041.121386783783,69.69237466739264,6.628633491381924,1.4638385473987705
2016-03-05,1982.3810693000225,3453.767441860465,-1237.1474318163835,4.71669420693312,609.953063444356,592.8571428571429,328.0842792441671,7.760295814269263,1783.3633241024713,3074.0916219047617,-814.6448989254609,3.371900820768,846.041318237438,799.0,158.9908034868604,12.30694794012686,315.4545455409707,1970.0,0.0,0.7021487591481598,799.9301134965029,1690.0,0.0,0.31933884243744,126.7125802565425,674.6,0.0,0.5553718998912,7.1580605940064315,5.856595031459808,46.61093516975164,798.589977148186,1052.373213914198,69.82654521813178,6.68123331602815,1.5201098846042005
2016-03-06,2044.983383244187,3277.4651162790697,-1267.418700257564,4.72264462014624,622.142519662607,596.4285714285714,343.23048084169864,15.783718848358642,1838.7874562405423,3068.7197765567767,-754.4898204708087,3.371900820768,848.2277917605074,799.0,163.8980453130249,15.587707102762284,319.90347115331343,1970.0,0.0,0.63867768487488,807.4097829053948,1690.0,0.0,0.31933884243744,136.50299346319593,674.6,0.0,0.5553718998912,7.156727260675344,5.855504122370736,67.36878126240221,809.3538140058104,1074.6774761057359,69.64631611890364,6.711145641114358,1.6109930068847846
2016-03-07,2130.5344574802843,3252.0,-1254.6037206961614,4.70479338050688,657.7941726284577,600.0,376.419850363288,21.041333310643342,1941.2277866465452,3054.2078685714287,-648.2522658374406,3.371900820768,861.3508284110492,799.0,175.9854089387236,18.21231443287063,332.83173559435215,1970.0,0.0,0.396694214208,832.9750588954007,1690.0,0.0,0.31735537136639996,152.03892533785987,674.6,0.0,0.5553718998912,6.3846060498543835,5.223768586244495,111.05023164464708,827.2966817538797,1115.0235728880007,69.23812292990556,6.744581860109355,1.625739165719099
2016-03-08,2199.9678457931104,3252.0,-1230.4010508233991,4.70280990943584,682.3825913070895,603.5714285714286,411.95367189036585,21.20590422611999,1998.974563408804,3062.7241998534796,-585.2152599034039,3.371900820768,871.8492577314826,799.0,194.53915297635695,20.312000296957308,341.9239669839995,1970.0,0.0,0.396694214208,847.5109663089388,1690.0,0.0,0.31735537136639996,161.0183743805897,674.6,0.0,0.5553718998912,4.693818173913793,3.8403966877476488,140.88451592599188,851.0741943777576,1156.9420004649328,68.52961098942015,6.772348002992817,1.6378621323370939
2016-03-09,2248.1245399268905,3252.0,-1223.2070259081117,4.71471073586208,686.586934972063,607.1428571428571,428.2266394061726,19.930486580705555,2038.1639848304123,3066.9979831501832,-543.6428470120729,3.371900820768,880.2480011878292,799.0,211.6140192645213,21.991748988226643,346.9381818515886,1970.0,0.0,0.94611570088608,857.5671646391116,1690.0,0.0,0.31735537136639996,165.94134957891097,674.6,0.0,0.5553718998912,8.14678786506869,6.665553707783473,145.04311693797638,871.9894573536696,1177.9087861546532,67.70639498205,6.812293219547176,1.6415366563825924
