,SHA_slope,SHA_intercept,ORO_slope,ORO_intercept,FOL_slope,FOL_intercept,YRS_slope,YRS_intercept,NML_slope,NML_intercept,DNP_slope,DNP_intercept,EXC_slope,EXC_intercept,MIL_slope,MIL_intercept
0,1.5952560087163954e-05,0.2536602132480536,2.3743673666716137e-05,0.24494260327959777,5.220571292735025e-05,0.22743075105752658,4.104997274091546e-05,0.23049028375877542,-3.2200814588568883e-05,0.30697969135605846,3.303851690179545e-05,0.2559035969285526,0.0002750224623342233,0.1566463500274019,-6.110252481042488e-05,0.27936430305867105
1,2.8328889191345955e-05,0.4266054091967683,1.4853747284569001e-05,0.4324865475150233,-5.8357280101058195e-06,0.4655413191943771,-1.2232070670289195e-05,0.4641096606600772,-0.00010040983971651173,0.4585274531402976,5.688159713686256e-05,0.4131700421458636,0.00021878351978326434,0.3611637198135197,2.0181418358012372e-05,0.39940680107335225
2,-1.054077873753955e-18,1.0000000000000007,-1.2707067434943913e-18,1.0000000000000007,1.72390709876321e-19,1.0000000000000004,-2.82236778350159e-18,1.000000000000001,5.8726363764769275e-18,0.9999999999999994,9.086648485519618e-18,0.9999999999999988,4.941481695783427e-18,0.9999999999999994,-3.328644615792077e-19,1.0000000000000004
3,3.2302045589411197e-05,0.31747375599158256,-1.3797824992915329e-05,0.39940631808154375,-2.833029630541186e-05,0.3620045638414637,-0.00010139059677179296,0.465353474873206,-0.00011335903915669047,0.3252168126778723,-8.635902208732365e-05,0.3499618765513298,-0.00013951074814569389,0.36513462219724596,-6.926235158325428e-06,0.19003459754311985
4,7.35412810847556e-05,0.37963191846804095,4.926417071351405e-05,0.47696168526891963,2.3786412591355183e-06,0.49042258071320505,-0.000139039552804955,0.6550055504745352,-6.555992963545915e-05,0.47034438091794284,-0.0001440881815771684,0.5834826059534944,-0.0002797818030732085,0.6940271316635758,0.00010957100862630946,0.26066842080076214
5,0.0001448500171150806,0.4768974449507309,0.0001698118122050273,0.5113936700392058,0.00012183077149999696,0.5814751782493295,-2.0238275803424805e-06,0.7358227896344305,0.0002540624582650297,0.5728638416390918,-0.00010356661707366989,0.7774499216180049,-0.0002263171451791622,0.8394378448377462,5.95907034389009e-05,0.5735547991916411
6,-6.517648081316682e-19,1.0000000000000002,0.0,1.0000000000000004,0.0004008269416195903,0.9261928934640364,-1.17271369100607e-17,1.0000000000000047,,,7.314320036853156e-18,0.9999999999999973,6.2748394100796736e-18,0.999999999999998,4.8532789420688035e-18,0.9999999999999993
7,9.268586862296002e-05,0.47588440806135823,0.0002245279519426029,0.4696153543252468,,,0.0026663241619906287,0.4034269421268011,,,,,,,0.00012406361392203248,0.5215325199141261
8,2.8997158983463884e-18,0.9999999999999994,4.418723830267193e-18,0.9999999999999998,,,,,,,,,,,-2.5365135970156928e-17,1.000000000000001
9,-1.553683867632242e-05,0.1254419201661437,-2.3766141105667494e-05,0.130526464017833,-3.590317255271059e-05,0.11137544079061537,-2.5064996437131055e-05,0.06060557758480603,-0.00016526507060413452,0.18942959177912205,2.535415325179635e-05,0.1594640101354339,-8.415696172818756e-05,0.07516908333924649,-9.11008686214769e-05,0.18946179187380394
10,-1.3106947750703058e-05,0.14952080206452495,-9.873957312872866e-06,0.12177769417239916,-3.706355480827821e-05,0.13127346192492995,-1.1318638606235678e-05,0.09797181623879515,-0.0002142515818569683,0.20836935009854798,-4.65803401578768e-05,0.10888440759844356,-3.653532512132049e-05,0.07506206313638675,-8.792951124393438e-05,0.18970565666114772
11,-6.9618812805256865e-06,0.20572834526411926,-4.388466353848526e-06,0.19127348738923788,-5.7450177697804354e-06,0.18568787294437536,9.345277704467479e-06,0.1522205276052152,-0.00020670174997719615,0.2874472818785849,-1.0982372564881321e-05,0.16619764451527438,2.91066851981692e-05,0.11460539462477207,-0.00016661271772720054,0.2557331737713239
