,PFT_slope,PFT_intercept,KWH_slope,KWH_intercept,SUC_slope,SUC_intercept,ISB_slope,ISB_intercept,MIL_slope,MIL_intercept
0,0.000151195791720657,0.20954224939541877,0.0004845439086023728,0.17928300402412997,0.00019917134171608926,0.24319458035901953,0.0001214408622260633,0.2491836461565654,-6.110252481042491e-05,0.2793643030586711
1,0.00010273564888129734,0.39483624042609206,0.0004940293556414813,0.35008457240370866,-0.00016645984104667364,0.42653046358374735,-8.648833416089278e-05,0.4134083743100485,2.0181418358012372e-05,0.39940680107335225
2,-3.5311141865399674e-18,1.0000000000000002,6.0644125236439886e-18,0.9999999999999997,6.379520081111584e-18,1.0000000000000004,3.7206021983503346e-18,0.9999999999999997,-3.328644615792077e-19,1.0000000000000004
3,-6.635616173685516e-05,0.2666473564354925,-0.0002691564624698863,0.3334441870329385,-0.0005725814211705559,0.46347758843917003,-8.585319762553035e-05,0.2600794920091417,-6.926235158325434e-06,0.19003459754311985
4,-0.0001287264629712154,0.5520527315111624,-0.0005889023846610588,0.6638848163764531,-0.0009888579303757325,0.6686927738817525,-7.188996191310451e-05,0.4808286374132225,0.00010957100862630946,0.26066842080076214
5,-1.3158966726707613e-05,0.6914635005219203,-0.00032966216647734687,0.801681331345753,-0.001176478449033367,0.7786646055306168,-3.243641418360148e-05,0.6911991041213537,5.95907034389009e-05,0.5735547991916411
6,-5.8047631430891435e-18,1.0000000000000004,-4.1133568302251265e-17,1.000000000000002,0.00249991477658251,0.9635799027986983,2.0730329896631813e-18,1.0000000000000007,4.8532789420688035e-18,0.9999999999999993
7,0.00021622431458301886,0.5805382848919316,0.0011660165330610887,0.6207437634274748,,,0.0007971945259554804,0.579844417694798,0.00012406361392203248,0.5215325199141261
8,-2.226883737083575e-17,1.0000000000000007,1.1575141658769156e-17,0.9999999999999998,,,6.464499217285474e-17,0.9999999999999993,-2.0888935504835123e-17,1.000000000000001
9,-0.000165569386840648,0.17438344862565797,-0.00016665681970849295,0.07061650583323964,-0.00012830570638462543,0.03475051484065886,-0.00023717998521192898,0.1436000783039079,-9.11008686214769e-05,0.18946179187380394
10,-0.00014472444385976783,0.17523585595226715,-0.0001683568620797385,0.10244697095670974,-0.0002473602574088462,0.09035524148836357,-0.00025828977890255203,0.1720229802346424,-8.792951124393438e-05,0.18970565666114772
11,-1.4232844345016385e-05,0.18117672250637376,0.0001046352175696633,0.12681625263006377,-0.00012635272746587808,0.1527261657468715,-0.00010036147082643425,0.19087767837213981,-0.00016661271772720054,0.2557331737713239
