datetime,SLS_storage,SLS_tocs,SLS_available_storage,SLS_flood_storage,SLS_out,SLF_storage,SLF_tocs,SLF_available_storage,SLF_flood_storage,SLF_out,MIL_storage,MIL_tocs,MIL_available_storage,MIL_flood_storage,MIL_out,ISB_storage,ISB_tocs,ISB_available_storage,ISB_flood_storage,ISB_out
1905-10-01,740.4,0.0,0.0,0.0,0.0,174.4,0.0,0.0,0.0,0.0,520.5,520.5,87.37024842932246,1.2728908872406635,6.763239658032194,568.0,302.6,461.5216554676326,386.2280991933776,207.0872297514982
1905-10-02,750.3702631157437,0.0,0.0,0.0,0.0,178.8888768692218,0.0,0.0,0.0,0.0,518.2756672656969,516.9639666666667,2230.300436195093,716.2833031863512,1.633716845976836,360.8039935628362,298.18,940.3039233627793,281.6052470939364,9.123966926784
1905-10-03,760.1537356966893,0.0,0.0,0.0,0.0,183.43282425673172,0.0,0.0,0.0,0.0,516.4327004546055,513.4279333333334,2132.7322263345027,637.2770734453903,1.0682195391700362,351.7266408387184,293.76000000000005,917.6622032745221,260.16140559110073,9.123966926784
1905-10-04,770.0692414766129,0.0,0.0,0.0,0.0,188.03868954491895,0.0,0.0,0.0,0.0,513.5378230606078,509.8919,2076.5545388449364,587.2599236857511,1.0748480826138462,342.7127649599471,289.34000000000003,903.9141907111402,246.7369062839987,9.123966926784
1905-10-05,779.3067445453152,0.0,0.0,0.0,0.0,192.7230755322131,0.0,0.0,0.0,0.0,510.07514576592195,506.35586666666666,2058.495048255709,572.2496141744482,1.2524178024657204,333.71954178561845,284.92,892.6760469991896,235.59886994566148,9.123966926784
1905-10-06,788.3327806184152,0.0,0.0,0.0,0.0,197.49469694559872,0.0,0.0,0.0,0.0,507.4539332781272,502.81983333333335,2036.8417087205999,552.4043682564355,1.1298520547325666,324.7341000662643,280.5,882.6976474362128,225.56201811176587,8.916979351977693
1905-10-07,798.1233372250363,0.0,0.0,0.0,0.0,202.33706032365887,0.0,0.0,0.0,0.0,503.33950254057464,499.2838,2019.2227684053923,535.9679181582992,0.9748165408971545,315.9658621247718,276.08000000000004,873.27085070834,216.11464323868802,8.042682507488655
1905-10-08,807.664018377001,0.0,0.0,0.0,0.0,207.2341680918757,0.0,0.0,0.0,0.0,498.84825259747504,495.7477666666667,2003.2457123305226,520.8326179506537,0.8682247919263392,308.1311194079977,271.66,864.497075885575,207.1984414658292,7.348880410433106
1905-10-09,817.4443655733896,0.0,0.0,0.0,0.0,212.20429278129848,0.0,0.0,0.0,0.0,493.63845687659506,492.2117333333333,1992.9518282514528,511.1562119457934,0.9936595024589088,300.8396813204354,267.24,856.6409040746458,199.21838272917805,6.780019569771014
1905-10-10,827.0927381115062,0.0,0.0,0.0,0.0,217.24798387588524,0.0,0.0,0.0,0.0,488.79024458198774,488.6757,1982.095919782299,500.7709024121674,0.4165289249184,294.1762751484944,262.82,849.7881094868869,192.19664579521907,6.333662963478094
1905-10-11,836.6557966643214,0.0,0.0,0.0,0.0,222.39996117579528,0.0,0.0,0.0,0.0,483.58908176085134,485.1396666666667,1972.2893547831166,491.33149993917266,0.4858115694298272,287.9385528642832,258.40000000000003,843.3772624759192,185.6092501256518,5.9701185066358455
1905-10-12,846.0308854850672,0.0,0.0,0.0,0.0,227.6134097985258,0.0,0.0,0.0,0.0,478.14502497306324,481.60363333333333,1963.583668574989,482.9272738379371,0.9584330562372383,282.03704369290205,253.98000000000002,837.8727020782806,179.9984918195157,5.696686093808694
1905-10-13,856.0671749574387,0.0,0.0,0.0,0.0,232.90958903132383,0.0,0.0,0.0,0.0,472.6759582644925,478.06759999999997,1955.9340414642747,475.5258939996122,0.6428033047026431,276.3466206864125,249.56,831.960066564776,173.94115781351022,5.422056699156963
1905-10-14,866.0534001789786,0.0,0.0,0.0,0.0,238.2846330846015,0.0,0.0,0.0,0.0,467.8509345485785,474.53156666666666,1947.8537786386535,467.6410597716,0.7914842961878016,270.53290088794296,245.14000000000001,826.2582489263845,168.1121633101718,5.154555053493704
1905-10-15,876.3967267027756,0.0,0.0,0.0,0.0,243.75745092276244,0.0,0.0,0.0,0.0,462.2162904298568,470.9955333333333,1939.842299169173,459.7964771347074,0.5969057841187776,264.810502517246,240.72000000000003,819.3206283110959,161.01063641489156,4.874308106660329
1905-10-16,887.13797054401,0.0,0.0,0.0,0.0,249.28506870179723,0.0,0.0,0.0,0.0,456.74285876340866,467.4595,1932.4638605585149,452.5585937048401,0.4287669414267168,258.96772883027114,236.3,812.5148218378391,154.08694113841295,4.589753369265361
1905-10-17,897.5256785179644,0.0,0.0,0.0,0.0,254.8511973301305,0.0,0.0,0.0,0.0,451.6790063051743,463.9234666666667,1925.8694418305997,446.0783092386788,0.4165289249184,253.19873777495937,231.88,806.4259302795549,147.8647933499348,4.319566397873081
1905-10-18,907.9229565640277,0.0,0.0,0.0,0.0,260.50790114193035,0.0,0.0,0.0,0.0,446.883960949882,460.3874333333333,1919.3753727699125,439.6750204732398,0.4165289249184,247.43508578964142,227.46,800.5952154295302,141.89959500305895,4.055100463612229
1905-10-19,917.9926041954814,0.0,0.0,0.0,0.0,266.2602400734756,0.0,0.0,0.0,0.0,442.3128715476421,456.8514,1913.577671344768,433.9523780385749,0.4165289249184,241.71193424767014,223.04000000000002,794.5802506446287,135.73531506905744,3.791756766792787
1905-10-20,928.3992031185097,0.0,0.0,0.0,0.0,272.0864403547801,0.0,0.0,0.0,0.0,437.39140931467904,453.31536666666665,1907.7312521006802,428.17238811193357,0.4165289249184,235.9807496351893,218.62,788.055789432898,129.07430240066174,3.5260289352115937
