datetime,SLS_storage,SLS_tocs,SLS_available_storage,SLS_flood_storage,SLS_out,SLF_storage,SLF_tocs,SLF_available_storage,SLF_flood_storage,SLF_out,MIL_storage,MIL_tocs,MIL_available_storage,MIL_flood_storage,MIL_out,ISB_storage,ISB_tocs,ISB_available_storage,ISB_flood_storage,ISB_out
1996-10-01,740.4,0.0,0.0,0.0,0.0,174.4,0.0,0.0,0.0,0.0,236.0,520.5,-200.44434997831823,-303.8328341895399,0.12876099151870368,287.0,302.6,174.7191411633545,30.228099193377624,0.099173553552
1996-10-02,748.3639428377143,0.0,0.0,0.0,0.0,182.800379992554,0.0,0.0,0.0,0.0,238.00099503795263,517.6666666666666,1494.336209240578,233.359778548983,0.0694214874864,283.7132186889755,300.68,830.5211707729761,167.91897515424705,0.099173553552
1996-10-03,756.6692914194243,0.0,0.0,0.0,0.0,186.49855384286838,0.0,0.0,0.0,0.0,239.42907776490432,514.8333333333334,1520.1263459511006,218.09990324893693,0.0694214874864,278.87173807552426,298.76000000000005,812.182977691384,146.83882932216542,0.099173553552
1996-10-04,759.7794570038368,0.0,0.0,0.0,0.0,190.29634645373375,0.0,0.0,0.0,0.0,240.85526224575406,512.0,1403.9836974388008,213.21032943549255,0.25198016486492164,274.01190171566867,296.84000000000003,782.3876941312993,130.86957430204134,0.099173553552
1996-10-05,761.8430056213745,0.0,0.0,0.0,0.0,194.1961656339516,0.0,0.0,0.0,0.0,241.68837933554772,509.1666666666667,1381.7047869971686,206.45474166951016,0.6380231394214368,269.27978750966105,294.92,781.8016144737978,125.17809355797411,0.099173553552
1996-10-06,766.9057657544254,0.0,0.0,0.0,0.0,198.19654973139956,0.0,0.0,0.0,0.0,242.28909205802205,506.3333333333333,1364.281392753812,197.39701383743477,0.7487603293176,264.5009327020756,293.0,795.6355396568384,118.92766061677801,0.099173553552
1996-10-07,771.1142243686863,0.0,0.0,0.0,0.0,202.43232345582283,0.0,0.0,0.0,0.0,242.50185375254048,503.5,1394.3171977934146,201.23693121942398,0.10743867750502367,259.7053091098159,291.08000000000004,785.6261999200334,112.24474011045997,0.099173553552
1996-10-08,773.2183688475471,0.0,0.0,0.0,0.0,206.75895917067035,0.0,0.0,0.0,0.0,244.3928488759439,500.6666666666667,1377.531937088116,201.61775895787326,0.0694214874864,254.92049004502508,289.16,760.2523966834584,106.89055944615404,0.099173553552
1996-10-09,774.7679145036828,0.0,0.0,0.0,0.0,211.19748775374575,0.0,0.0,0.0,0.0,245.98868160858925,497.8333333333333,1377.3727481952865,203.04820127212304,0.2974413218131584,250.19511128528188,287.24,1099.3942418510555,101.84247511654479,0.099173553552
1996-10-10,777.418221062933,0.0,0.0,0.0,0.0,215.7347064612882,0.0,0.0,0.0,0.0,246.76332199505183,495.0,1373.5377240747916,200.9438492565924,0.49453884214240323,245.47245349173997,285.32,1041.2838671317324,96.7466234015619,0.099173553552
1996-10-11,781.0408709132705,0.0,0.0,0.0,0.0,220.39228765158802,0.0,0.0,0.0,0.0,247.35290904098676,492.1666666666667,1369.4725960697588,197.65331053873757,0.46272396616292155,240.76480030072324,283.40000000000003,1030.5480306084937,91.21875046882995,0.099173553552
1996-10-12,782.3801962591517,0.0,0.0,0.0,0.0,225.1486365049846,0.0,0.0,0.0,0.0,247.61545443926914,489.3333333333333,1355.9249878589344,193.19386918049577,0.44265123892399677,236.00919634041836,281.48,1021.4071797548586,85.64352812735629,0.099173553552
1996-10-13,783.1200811260474,0.0,0.0,0.0,0.0,230.58979843306795,0.0,0.0,0.0,0.0,247.95630970094967,486.5,1342.1815709542702,188.4235414687032,0.2609851235274432,231.35335070146672,279.56,1005.6049719429377,79.70396615426694,0.099173553552
1996-10-14,785.0012743413545,0.0,0.0,0.0,0.0,236.10488505139617,0.0,0.0,0.0,0.0,248.4094777000442,483.6666666666667,1309.7173120861885,184.64180935524712,0.0706512395504448,226.58385379743132,277.64,999.7643031733085,74.11878778973248,0.099173553552
1996-10-15,786.9397962645259,0.0,0.0,0.0,0.0,241.69579053489556,0.0,0.0,0.0,0.0,249.05567301629102,480.8333333333333,1355.236705379025,180.9110137646099,0.0694214874864,221.97190166089322,275.72,1013.5589065782215,68.16368550516225,0.099173553552
1996-10-16,789.649231337742,0.0,0.0,0.0,0.0,247.36172354689953,0.0,0.0,0.0,0.0,249.4056350998902,478.0,1350.7810114645733,176.4001952221521,0.0694214874864,217.28808404428432,273.8,1009.2295754886254,62.107515608523784,0.099173553552
1996-10-17,792.0525522736303,0.0,0.0,0.0,0.0,253.10774244091414,0.0,0.0,0.0,0.0,249.33147141055903,475.1666666666667,1349.1566565678913,174.70669502997532,0.0694214874864,212.45913946010344,271.88,1001.2884091853969,57.01906296149574,0.099173553552
1996-10-18,794.1330056382269,0.0,0.0,0.0,0.0,258.91907648587045,0.0,0.0,0.0,0.0,249.9012180690524,472.3333333333333,1345.0327507980342,170.57567833800283,0.3155305779810432,208.0446606346592,269.96000000000004,996.8322207057321,51.74223237956973,0.099173553552
1996-10-19,799.0076100610808,0.0,0.0,0.0,0.0,264.80868820311525,0.0,0.0,0.0,0.0,249.82181772368764,469.5,1345.6056263923729,167.3298396815481,0.3866975200099584,203.31342508982172,268.04,991.9122166649738,46.05772461449617,0.099173553552
1996-10-20,805.0116102843332,0.0,0.0,0.0,0.0,270.77584157924156,0.0,0.0,0.0,0.0,249.68468463076266,466.6666666666667,1329.5789206921515,164.03038273634604,0.36495867707136,198.65814422986523,266.12,986.6987479143448,40.72050512027393,0.099173553552
