datetime,SRI,SJI
1906-03-06,9.785978982700001,4.6205046146
1906-03-07,9.829842599500001,4.6474210666
1906-03-08,9.8584551678,4.6745667462
1906-03-09,9.8874979173,4.7013523342
1906-03-10,9.9439726391,4.7280904148
1906-03-11,10.0169492797,4.7544189565999995
1906-03-12,10.0820495202,4.7795760252
1906-03-13,10.174842299300002,4.8047862916
1906-03-14,10.2424186473,4.829196638
1906-03-15,10.288029250800001,4.8558579258000005
1906-03-16,10.3110673167,4.880523706799999
1906-03-17,10.334439323800002,4.9048917252
1906-03-18,10.3576699539,4.9286351936
1906-03-19,10.3808645535,4.967911551
1906-03-20,10.4023462827,4.9912794316
1906-03-21,10.4306591847,5.0137425064
1906-03-22,10.4524767516,5.0377002538
1906-03-23,10.4732878474,5.0606681142
1906-03-24,10.490384309500001,5.080290765599999
1906-03-25,10.5064954686,5.0983384486
1906-03-26,10.5199056848,5.115311664
1906-03-27,10.525875380499999,5.1298139936
1906-03-28,10.5340418386,5.1436864832
1906-03-29,10.5412683175,5.1567957528
1906-03-30,10.5525432445,5.169258155
1906-03-31,10.5595629352,5.182388604399999
1906-04-01,10.5472494236,5.21638084248
1906-04-02,10.5748539144,5.28436532688
1906-04-03,10.6073895564,5.35809987228
1906-04-04,10.639545995199999,5.430990833280001
1906-04-05,10.6710442456,5.50251196068
1906-04-06,10.701760747999998,5.572324114680001
1906-04-07,10.7318017716,5.640174314879999
1906-04-08,10.7607167836,5.705499184080001
1906-04-09,10.7887559644,5.768074069080001
1906-04-10,10.8156098932,5.82767494848
1906-04-11,10.8409972172,5.883909730679999
1906-04-12,10.865205530799999,5.93654621688
1906-04-13,10.8879429396,5.98562348928
1906-04-14,10.908946885199999,6.0306333820799995
1906-04-15,10.9285279264,6.071773115880001
1906-04-16,10.9463417664,6.10888231008
1906-04-17,10.962466591599998,6.14191346268
1906-04-18,10.9769397784,6.170854760880001
1906-04-19,10.989483126,6.195929018279999
1906-04-20,11.000432788,6.21701208228
1906-04-21,11.0094278092,6.234400492079999
1906-04-22,11.016898703999999,6.2481785164799994
1906-04-23,11.022642688,6.2584924948800005
1906-04-24,11.0265289908,6.2654331040799995
1906-04-25,11.0289875956,6.269381662079999
1906-04-26,11.029746980799999,6.270411816479999
1906-04-27,11.0290352664,6.26868859308
1906-04-28,11.026967793199999,6.2646118174800005
1906-04-29,11.0234252372,6.25810216368
1906-04-30,11.018598502,6.2495829052800005
1906-05-01,10.991315454399999,6.186733996079999
1906-05-02,10.9891511228,6.180758840280001
1906-05-03,10.9952200972,6.18542525388
1906-05-04,11.001304256,6.18999826728
1906-05-05,11.007224654,6.194631620280001
1906-05-06,11.0131479616,6.19902701448
1906-05-07,11.018932252399999,6.20334207708
1906-05-08,11.024699946,6.20758297968
1906-05-09,11.030391138399999,6.211856215080001
1906-05-10,11.0359360488,6.21591316368
1906-05-11,11.0415435824,6.219886495080001
1906-05-12,11.046925694399999,6.22381007988
1906-05-13,11.052294911999999,6.22769767188
1906-05-14,11.0575183596,6.23139591588
1906-05-15,11.062721797999998,6.235022926079999
1906-05-16,11.0677789084,6.23862814488
1906-05-17,11.072834840799999,6.242132890679999
1906-05-18,11.0777167192,6.245507275080001
1906-05-19,11.082677536799999,6.24884971308
1906-05-20,11.087486522399999,6.252109212480001
1906-05-21,11.09212014,6.255305915280001
1906-05-22,11.096759046399999,6.258342722879998
1906-05-23,11.1012284304,6.261351493679999
1906-05-24,11.1057033752,6.2642153152799995
1906-05-25,11.1100205852,6.26708749368
1906-05-26,11.114316926399999,6.26978755188
1906-05-27,11.1184611736,6.27247530228
1906-05-28,11.1226761388,6.27502301388
1906-05-29,11.126649447999998,6.27755860968
1906-05-30,11.1306300272,6.280004443680001
1906-05-31,11.1344980768,6.28231555128
1906-06-01,11.1319292356,6.27809067708
1906-06-02,11.131942112,6.277896527279999
1906-06-03,11.131942112,6.27787167588
1906-06-04,11.131942112,6.27783549588
1906-06-05,11.131942112,6.27781098168
1906-06-06,11.131942112,6.27777085908
1906-06-07,11.131942112,6.277737951480001
1906-06-08,11.131942112,6.277678721280001
1906-06-09,11.131942112,6.27763480188
1906-06-10,11.131942112,6.277661570880001
1906-06-11,11.131942112,6.277604519880001
1906-06-12,11.131942112,6.277564481280001
1906-06-13,11.131942112,6.277512933480001
