,alfalfa,almond,corn,cotton,field_misc,grain,grape,onion,pasture,pistachio,subtropical_misc,tomato,vegetable_small
0,2.898737820012403,0.0,1.6954472125239328,17.12908232877083,1.0259191569278774,5.212942043265068,0.151,0.0,0.0,0.127,0.0,1.6576131386861315,0.7082382998137537
1,3.783249125573208,0.0,3.6928729885920237,13.72794621597173,0.6102577389437557,8.379724381369732,0.178,0.0,0.009,0.37299399399399397,0.0,0.5885555555555556,0.12501
2,2.4978140713357226,0.0,1.750962385077086,16.682362637940514,0.9932541216784411,4.5476300728909616,0.178,0.08030888030888031,0.0,0.529661971830986,0.0,0.6573458589374083,0.013
3,3.691109344425188,0.0,0.754695607472647,18.28645834894541,0.3084357239512855,5.339227235180312,0.178,0.19062246278755074,0.0,0.8224474386689655,0.0,1.818283838568639,0.0
4,3.905626740028253,0.0,0.59787,18.8581076222746,0.0,4.259410523394231,0.178,0.8958787576669476,0.0,0.872,0.0,0.5273063566359656,0.0
5,4.587441985140695,0.0,2.1264339900356735,16.618272444937258,0.0,5.3005274742338555,0.178,0.772661585482252,0.0,1.02,0.0,1.8469425201702623,0.0
6,4.852197152503811,0.0,1.4990682302272034,16.144087461033024,0.0132,6.365304253410285,0.178,0.59,0.0,0.9438074277854196,0.0,1.2238054750402576,0.0
7,3.886241567387624,0.0,2.4748933614978283,16.625745042515348,0.0,4.689407384701825,0.178,0.6921388152077808,0.0,1.0030754820936638,0.0,1.5557683465959327,0.0
8,4.5266852941931015,0.0,3.836594049977357,16.108610524694566,0.19784543325526932,5.132722969752987,0.178,0.0,0.0,1.0536074277854195,0.0,1.0111843003412966,0.0
9,6.301165794764828,0.0,2.9521232260941246,14.206403800404077,0.7957120748240905,5.504869621819214,0.178,0.0,0.0,1.307675482093664,0.0,0.37,0.0
10,6.902289201233427,0.0,3.902500386098955,11.413444474131309,0.41168421052631576,5.556152821242225,0.355,0.0,0.0,1.4944243902439025,0.0,1.09,0.04543451652386781
11,8.948427561815507,0.0,3.1867357012822497,7.232098359996942,1.062470239481416,8.453691064032926,0.177,0.0,0.0,1.6467144142679027,0.0175,1.0831626591230552,0.0
12,8.642920657000415,0.0,1.597332922896511,6.289265820092063,1.7818954699886749,7.375107352244557,0.0,0.0,0.0,1.9831777777777775,0.20700000000000002,1.132,0.0
13,8.790289349956653,0.0,2.0923270957355715,8.501632438056552,1.0127156208277703,6.993718828756792,0.0,0.0,0.0,1.9570666666666665,0.2445,0.976,0.0
14,5.081947997608439,0.0,2.796533301054878,14.114484992006455,1.3473672274784994,7.530496443668294,0.0,0.0,0.0,2.2222595518612462,0.35646048632218846,0.893,0.0
15,5.849310859125722,0.0,3.522184071703239,10.569711050174995,1.444,8.494390116750475,0.152,0.0,0.0,2.275263902245572,0.3565,0.439,0.08
16,4.450593853420152,0.0,2.639674852296096,8.881513186252887,1.8864857449568369,9.216263831400864,0.152,0.021,0.0,3.7727630664199214,0.32714546525323907,0.0,0.0
17,3.702168346034413,0.0,1.8398702729432834,10.796843129834139,3.5528444372591723,7.2765045147517275,0.152,0.006,0.0,2.669932149300117,0.3308771498771499,0.637,0.14
18,4.134813083944457,2.009,1.5348460865821452,8.022520457330142,3.6002416795884176,6.768274507824533,0.152,0.0,0.0,4.633410780649279,0.3109740813718655,1.3766693227091633,0.0
19,4.485054632195723,1.9712787723785168,2.094743730739292,9.917666294497973,2.282724498629849,5.515651019950797,0.152,0.015,0.09942558746736292,5.1305954641404865,0.3565,1.084,0.02
