,alfalfa,almond,apple,citrus,cotton,deciduous_misc,field_misc,grain,grape,melon,peach,pistachio,potatoe,squash,strawberry,subtropical_misc
0,0.0,3.2913551330047,0.7649300000000002,10.144842920729609,0.2567,0.396,0.3741705625341344,0.2454,8.792187462377106,0.0,0.0,3.6856199999999997,0.6468239213544513,0.0,0.0,0.46249
1,0.0,4.063879715142429,0.7642100000000001,9.921957837837839,0.246,0.422,0.3447,0.6821621621621623,8.783940284857572,0.0,0.0,3.87262,0.3267000000000001,0.0,0.0,0.0
2,0.123,3.16765992248062,0.7639300000000002,10.643291472868215,0.0,0.512,0.0,0.16,8.97643,0.0,0.0,3.868038604651163,0.24980000000000002,0.0,0.0,0.02
3,0.0,3.34677,0.74394,10.9495,0.0,0.512,0.0,0.2,8.68817,0.03,0.0,3.81162,0.3277999999999999,0.0,0.0,0.0
4,0.0,3.1742150194786687,0.6719335323430358,10.673,0.0,0.497,0.0,0.465,9.043061448178296,0.03,0.0,4.032820000000001,0.231,0.0,0.0,0.0
5,0.0,2.660966754524791,0.9467326633849582,11.04905,0.0,0.5188163804491414,0.0,0.41252830513335237,8.520959917822442,0.020578248791027882,0.0045,4.13802,0.2556845999426441,0.0008231299516411153,0.0,0.0
6,0.0,2.607435252022402,0.56775,10.78515,0.0,0.38906688303850434,0.12229999999999999,0.28864576711932965,8.759318973389755,0.02,0.0,3.94575373119106,0.25669939323894836,0.0,0.0,0.0
7,0.0,3.05727,0.56775,11.097360000000002,0.0,0.49883,0.0,0.282,8.46717,0.0,0.0,4.25142,0.233,0.0,0.025,0.04
8,0.0,3.674394569982636,0.3009228352206112,10.90536,0.0,0.48072000000000004,0.0,0.3256,8.42589259479675,0.0,0.0045,4.526020000000001,0.2635,0.0,0.025,0.045
9,0.0,4.02873,0.15599000000000002,11.373360000000002,0.0,0.44171,0.0,0.06,8.209620000000001,0.0,0.0005,4.539020000000001,0.1931,0.0,0.125,0.24431
10,0.0,3.3528099999999994,0.15599000000000002,11.604825365094745,0.0,0.44171,0.0,0.055200000000000006,8.269306030358718,0.0,0.0,3.900628604546534,0.078,0.0,0.125,0.24531999999999998
11,0.0,3.571145919184565,0.01859,11.128691641791047,0.0,0.44971,0.0,0.33499999999999996,8.71328243902439,0.0,0.0,4.4167700000000005,0.2,0.0,0.125,0.24931999999999999
12,0.0,3.7344800000000014,0.01859,10.65802,0.0,0.39471,0.042,0.06,8.26873,0.0,0.0,4.44157,0.147,0.0,0.125,0.24158000000000002
13,0.0,3.6808298622589533,0.01859,11.013439696969698,0.0,0.4084400000000001,0.0,0.215,8.17055044077135,0.0,0.0,4.42157,0.16119999999999998,0.0,0.125,0.27808
14,0.0,3.696449647308323,0.01859,11.056016149903888,0.0,0.4084400000000001,0.042,1.1962000000000002,8.329646637008802,0.0,0.0,4.729096831611819,0.2307,0.0,0.124,0.4130107341671665
15,0.0,3.914915825545172,0.01859,10.83696662271521,0.0,0.40493999999999997,0.042,0.402,8.002897551739617,0.0,0.0,4.94307,0.22369999999999998,0.0,0.124,0.24158000000000002
16,0.0,4.861830275829811,0.01859,11.338060308849329,0.0,0.48402,0.0,0.7190760376314334,8.564875917823874,0.0,0.0,5.4233474598655524,0.2137,0.0,0.124,0.0
17,0.008,4.37,0.0,10.005999999999998,0.0,0.15407999999999997,0.042,0.45710999999999996,6.77275,0.0,0.0,5.569,0.2437,0.0,0.124,0.0365
18,0.0,4.985946218259062,0.0,11.02031492526643,0.0,0.19208,0.064,0.0,6.067906669534621,0.0,0.0,6.4265121869398865,0.2827,0.0,0.124,0.004
19,0.0,4.764153632898232,0.0,11.607661183830576,0.0,0.13840604807443782,0.1177,0.873690451938026,6.219186513493232,0.0,0.0,7.236052169765493,0.24969999999999998,0.0,0.174,0.0
