,alfalfa,almond,apple,citrus,corn,cotton,deciduous_misc,field_misc,grain,grape,melon,pasture,peach,pistachio,strawberry,subtropical_misc
0,0.3750769230769232,0.37873748609566177,0.055,7.7766723697876206,0.24615384615384617,0.32,0.07,0.23876923076923076,2.8073357183760463,9.881641518472502,0.0,0.24,0.0,1.2631629072681705,0.0,0.279
1,0.29976608187134496,0.6946870342771982,0.059769001490312966,8.165567420263368,0.0,0.0,0.07800000000000001,0.545,2.1486662297634287,10.141954693604209,0.225,0.0,0.00398505603985056,1.5215044826902897,0.0,0.059
2,0.2940311804008909,0.40551051051051046,0.04,7.805524276173358,0.0,0.0,0.07,0.8199354838709678,1.163,9.527090636688825,0.4500645161290323,0.07,0.004025157232704402,1.6189182389937107,0.0,0.259
3,0.23662870159453306,0.7782826362484156,0.04,8.231739791179972,0.0,0.0,0.07,0.245,1.589,9.70664887097708,0.0,0.0,0.005,1.48,0.0,0.259
4,0.0395,0.405,0.04,7.450016768665851,0.0,0.0,0.07,0.0,1.3319999999999999,9.532583231334149,0.0,0.0,0.005,1.635,0.16,0.059
5,0.0395,0.5566850828729282,0.0,9.029880415823916,0.0,0.0,0.094,0.24,2.316934836615636,8.830621879879603,0.0,0.0,0.005,1.43477778480792,0.16,0.059
6,0.0,0.6854590163934428,0.0,8.347562295081966,0.0,0.0,0.09000000000000001,0.37479999999999997,1.9005,8.120411803278687,0.0,0.0,0.006,1.4287868852459014,0.161,0.059
7,0.0395,0.6194356988075311,0.0,7.868773703116104,0.0,0.0,0.09000000000000001,0.318,1.729,7.955776560135986,0.0,0.0,0.0,2.0347940379403795,0.161,0.259
8,0.0,0.921013326915556,0.0,8.626114281092907,0.0,0.0,0.07,0.0,1.955,8.394584979392917,0.0,0.0,0.0,2.534012348671541,0.211355063927078,0.259
9,0.0,1.82846,0.0,8.345451552795032,0.0,0.0,0.07,0.0,1.4889999999999999,7.8696,0.0,0.0,0.0,2.9452484472049685,0.21262999999999999,0.059
10,0.0,1.8696231964313175,0.0,8.325737638964636,0.0,0.0,0.04,0.045,0.12474836039210753,7.270951556823427,0.0,0.0,0.0,2.841806182125827,0.23073,0.3938030652626868
11,0.3688131868131868,1.6533141058655219,0.0,7.938201365301365,0.0,0.0,0.04,0.036,3.4935887445887444,7.380186703296704,0.0,0.0,0.0,3.5545500000000003,0.3359058941344778,0.20149999999999998
12,0.16,1.7271442488619118,0.0,8.13949696969697,0.0,0.0,0.0,0.205,0.9753030303030303,7.01079,0.0,0.0,0.0,3.0978000000000003,0.316975751138088,0.4355
13,0.0,1.631486921879293,0.0,7.62564465844495,0.0,0.0,0.01,0.045,3.199,7.087531719582181,0.0,0.0,0.0,4.022976700093577,0.32377999999999996,0.3965
14,0.0,1.528983426137925,0.0,7.626723411594504,0.0,0.0,0.01,0.0,1.444,7.671743904661621,0.0,0.0,0.0,4.261889257605953,0.32477999999999996,0.2825
15,0.1,1.645169953431769,0.0,7.925610798826295,0.0,0.0,0.19,0.0,0.42,7.7368902110431295,0.0,0.0,0.0,4.889579935196703,0.2894991015021028,0.20149999999999998
16,0.1,1.7559867532467528,0.0,7.693487290869532,0.0,0.0,0.15,0.06,0.609,7.788105119361845,0.0,0.0,0.0,4.735846178257932,0.32342465826393585,0.2435
17,0.0,1.5876700000000001,0.0,6.694622963441797,0.0,0.0,0.206,0.0,0.0,8.030689325534667,0.0,0.0,0.0,5.062047711023536,0.3608,0.1755
18,0.0,1.66367,0.0,7.253138965517243,0.0,0.0,0.236,0.0,1.3559999999999999,7.801659999999998,0.0,0.0,0.0,5.849921034482759,0.36463999999999996,0.2125
19,0.0,1.67867,0.0,7.133831631100822,0.0,0.0,0.206,0.0,2.0116742081447962,7.501117802360911,0.0,0.0,0.0,5.782273290851838,0.5562130675416331,0.0315
