,alfalfa,almond,corn,cotton,deciduous_misc,field_misc,grain,grape,onion,pasture,pistachio,subtropical_misc,tomato,vegetable_small
0,13.004920446357195,0.0,0.7763060175886012,83.0816385697108,0.0,15.80073295877006,30.85400960497644,0.0,0.0,0.0,0.0,0.0,0.0,0.2366924025969141
1,19.259488029631516,0.0,1.3200548889152905,80.20028845625491,0.0,14.435509654396473,33.55394162353252,0.0,0.0,0.0,0.0,0.0,0.0,0.17169734726926242
2,27.9007303548695,0.04,0.3832777101096223,93.81500623180165,0.0,10.653007347888225,21.282178321047173,0.0,0.01969437652811736,0.0,0.0,0.0,0.6243487179487179,0.17061693980701487
3,20.083653702031793,0.0,0.0,94.9104941662078,0.0,5.503723039404381,22.087266922430466,0.01,0.01971744471744472,0.22920110192837467,0.0,0.0,4.997184921214832,0.10595870206489677
4,13.135951301952527,0.0,0.027,88.88769263699841,0.0,1.4655254198297676,23.629205496280715,0.01,0.896613997396163,0.0,0.0,0.0,5.206120881900023,0.084590265642384
5,26.085827260333108,0.0,0.056,77.52602801365484,0.0,2.7406666666666664,16.217597342359312,0.01,0.354,0.0,0.0,0.0,7.5659986209162104,0.062882096069869
6,23.52367673698353,0.0,0.3459242137753929,70.72850633499826,0.0,1.4206408065150913,27.684915804581227,0.01,0.175,0.0,0.0,0.0,11.767484701277368,0.06355140186915888
7,20.02029975602704,0.0,0.20283398184176393,82.31147171244197,0.0,6.105377899794098,18.122039781051388,0.01,0.0,0.0,0.0,0.0,11.688276868843733,0.1
8,19.5125637090893,0.0,0.6299859287309754,84.50713620676692,0.0,0.7752484957882071,17.302755927607205,0.0,0.6670996978851964,0.0,0.0,0.0,14.751960034132217,0.12
9,25.157247529930398,0.0,5.271565065701138,74.93705733330948,0.0,7.15512495986884,31.243171592080852,0.0,0.0,0.0,0.0,0.006659729448491155,14.409973789660807,0.16
10,23.81007442017197,0.0,2.770637823408208,74.54293330095948,0.0,1.8074831625183014,33.29792733648529,0.0,0.0,0.0,0.0,0.009,13.843993956456767,0.15
11,23.74970754688972,0.0,1.7974898890717057,61.84696298311133,0.0,7.293551540657422,37.85452747107364,0.0,0.0,0.0,0.0,0.021219570405727924,14.028062845756146,0.2532981530343008
12,7.4912627218934915,0.0,0.607,45.859232650733496,0.0,27.58076691699059,14.106788842057965,0.0,0.0,1.215,0.02,0.025,15.232190287088763,0.05125858123569794
13,10.253929699952954,0.118,0.0,57.044159549723865,0.0,20.254420532123344,25.00070418518348,0.0,0.303,0.0,0.02,0.016,17.307286033016343,0.27
14,12.385215044467312,0.118,0.0,63.89502363542595,0.0,20.102897842046325,17.62172301896188,0.0,0.3,3.2118445729943677,0.0,0.02,15.180854692074298,0.25676119402985076
15,14.056613572771894,0.118,0.0,59.737663806340585,0.01,18.979940335011666,19.105056917979567,0.0,0.19,0.466,0.0,0.02,15.498825367896291,0.1
16,8.80392193432174,0.0,0.0,61.731329232714806,0.0,22.944705704367518,14.562548107481687,0.0,0.12,0.64,0.0,0.02,16.01586906525215,0.148425955862102
17,4.300885078139157,0.0,0.0,42.012853333152,0.0,19.782218020691523,5.549463396105117,0.0,0.299,0.07,0.0,0.02,19.511680171912204,0.0
18,3.6175845742484967,0.0,0.0,47.02961784460512,0.0,22.397030403871444,4.862723649337411,0.0,0.228,6.111,0.082,0.02,15.735043527937549,0.07
19,2.126662956807005,0.0,0.0,56.40648577460423,0.0,23.097779979931637,6.352842985710536,0.0,0.08,1.836,0.141,0.014,17.060928302946593,0.07
