,alfalfa,almond,apple,citrus,corn,cotton,deciduous_misc,field_misc,grain,grape,melon,onion,pasture,peach,pistachio,squash,subtropical_misc,tomato,vegetable_small,walnut
0,10.638878003686758,3.091898959881129,0.07,0.0,7.87189926346616,8.62690549637728,0.156,0.9843685581047245,5.872287347597953,3.482341543496555,0.3,0.012,0.0,0.11,0.009,0.005,0.2642510699001426,0.004,0.136169757489301,0.029
1,14.81315192778712,3.595952946135269,0.07,0.01,5.312260289546433,7.619232583234472,0.146,1.586355837878933,7.386386741176504,4.008266720311733,0.268,0.0,0.0,0.11,0.009,0.0,0.29,0.0,0.3673929539295393,0.034
2,12.962683186852251,3.355524374546713,0.054190404797601205,0.01,7.451865918283098,7.945941144598261,0.156,1.1863013493253374,7.5458774672317,4.030516889518243,0.26,0.0,0.0,0.11,0.009,0.0,0.28764252696456083,0.0,0.36455624036979967,0.01990049751243781
3,11.607410473422416,3.655532100428571,0.035,0.0,7.524787321755271,8.924086211615421,0.022,1.1750100843474744,8.549889741264975,4.149284067165874,0.369,0.0,0.0,0.11,0.056,0.0,0.29,0.0,0.424,0.057
4,11.052805168801992,4.114834851166355,0.035,0.0,6.217042839957555,8.624840650985357,0.014457831325301207,0.5435050273663595,8.564839129764028,3.902199973704377,0.335,0.0,0.0,0.11,0.009,0.0,0.29,0.0,0.2614745269286754,0.044
5,10.864659788910732,4.474617602427921,0.035,0.0,7.461728762561573,4.10445283018868,0.152,0.39,8.679541015911095,3.444,0.11,0.0,0.0,0.13,0.047,0.0,0.29,0.0,0.0,0.0
6,12.061071467014328,3.3885641728601312,0.0,0.01,9.812960302373108,5.964623878536923,0.079,0.8934105755427624,8.644624769493854,3.6450823463056965,0.2488619676945668,0.0,0.0,0.11,0.16480052017862737,0.0,0.12,0.0,0.0,0.019
7,10.910167289023603,4.1609807464702,0.0,0.00785276073619632,9.60093152172009,8.44336186886634,0.152,0.9109258404247954,10.87784346591584,3.700450400004942,0.2988372093023256,0.0,0.04,0.13,0.09034889753566797,0.0,0.12,0.0,0.0,0.01
8,8.758301147781008,4.82669530224169,0.0,0.0,14.722441466689492,7.074663969665534,0.11012694877505569,2.1682742811909934,10.036705408422279,3.896991475233951,0.185,0.0,0.0,0.11,0.21,0.0,0.12,0.0,0.0,0.019
9,11.75355154567266,5.125171811615096,0.0,0.0,16.625821471782757,3.933407929971867,0.1238181818181818,1.640725547214513,13.473072453937725,4.496901163343175,0.19651898734177214,0.0,0.036898514957753224,0.13,0.4888181818181818,0.0,0.1616842105263158,0.0,0.0,0.029
10,10.936096065677221,5.656198804192553,0.0,0.0,13.680569084170907,2.7262822797003494,0.23345772266065384,0.5104087624358007,13.941823228874933,4.6645,0.11,0.0,0.02,0.0,0.6194640522875818,0.0,0.12,0.0,0.0,0.01
11,10.759447954133003,5.218569180943718,0.0,0.0,16.196506646980072,1.5264277552231287,0.106,0.7119722893655718,20.354752927575067,3.728688217919265,0.2013157894736842,0.0,0.02,0.0,0.6066892383864861,0.0,0.0,0.0,0.0,0.01
12,7.94448565206237,5.612429500715289,0.002,0.0,15.813929890661464,1.534082208007581,0.106,0.3721584733663732,17.87471513971505,3.5338917772963763,0.15,0.0,0.0,0.0,0.6503373581754941,0.0,0.0,0.0,0.0,0.01
13,7.608953998249654,6.231986510044017,0.0016284987277353689,0.0,15.380406345302895,2.6066085803707515,0.098,0.7624035583253664,19.659130874476908,3.6802916345026735,0.075,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0
14,7.73733200845904,7.719423950286748,0.0015403128760529483,0.005,16.549163577793067,3.0175774463438363,0.098,1.6903331137255126,19.204677920957675,4.314369199534097,0.115,0.0,0.0,0.0,1.6504124700239806,0.0,0.04,0.0,0.04,0.01
15,7.715604806920597,7.680615221931645,0.0,0.005,15.666399870834848,2.4665121649343695,0.093,2.5464667558019083,18.177886486719625,4.099184031480156,0.1352112676056338,0.0,0.0,0.0,1.9508630557430497,0.0,0.036056338028169016,0.0,0.1,0.01
16,6.544027282013596,7.504528397689789,0.0,0.0,14.548326498921082,2.1018088745723706,0.093,4.088172129953295,17.49084106961014,4.11387673659559,0.14318518518518517,0.0,0.0,0.0,2.6976878995330282,0.0,0.037925925925925925,0.0,0.0,0.01
17,6.906648708729174,7.71504631629367,0.0,0.0,10.601894403719626,1.5983358538546357,0.096,6.894310845991957,18.913852266026346,4.123120057605686,0.15,0.0,0.0,0.0,2.849851547778909,0.0,0.04,0.0,0.0,0.0
18,4.844791198012424,10.75514963959155,0.0,0.03,9.827933737383411,0.6135294117647059,0.093,4.870086302526615,18.805058355600835,3.8718256793495396,0.15,0.0,0.0,0.0,3.503243295238964,0.0,0.0,0.07063238053195012,0.0,0.01
19,3.5015670537164834,11.026271086655639,0.0,0.03,12.019815103531824,0.21330000000000002,0.093,5.838241487660287,16.81989627659529,3.1166843702579667,0.15,0.0,0.0,0.0,4.298474621582506,0.0,0.018,0.0,0.0,0.01
