,alfalfa,almond,corn,cotton,deciduous_misc,field_misc,grain,grape,melon,onion,pepper,pistachio,subtropical_misc,tomato,vegetable_small,walnut
0,4.703670085439784,0.24777000000000002,0.0788,37.02972765361194,0.0,0.7583890160183065,3.326163244929967,0.0,0.0,0.07440000000000001,0.0,0.0,0.0,0.0,0.032,0.0
1,7.483178787535667,0.37277,0.6215384512683578,32.54940617960173,0.0,1.3625136815666097,4.312062900027627,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0
2,5.46545288849082,0.42660000000000003,0.1638,30.99334735053289,0.0,0.7864275507114745,2.1086422102648146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
3,6.1025323179717725,0.41590489192263935,0.073,31.5922783883157,0.0,0.6510999999999998,2.8503603858626945,0.0,0.0,0.019,0.0,0.24893401592719,0.0,0.1141,0.008,0.005
4,5.315012422360247,0.42660000000000003,0.08313883299798794,31.843358744641765,0.0,0.2676,1.26,0.0,0.0,0.0,0.0,0.259,0.0,0.5247,0.008,0.0
5,6.207112422360249,0.24259999999999998,0.0,27.29424757763975,0.0,0.7647,0.462,0.0,0.0,0.0,0.0,0.381,0.0,0.4043,0.0165,0.005
6,6.04671242236025,0.1966,0.1724,27.50139757763976,0.0,0.8365,3.277,0.0,0.0,0.003,0.0,0.662,0.0,0.54,0.014,0.0
7,4.6673264284930465,0.31560000000000005,0.0,28.675417718664146,0.0,0.7339,1.5500173913043482,0.0,0.0,0.0,0.0,0.4717384615384616,0.0017,0.43960000000000005,0.0015,0.0
8,6.230870970092448,0.48568,0.065,27.628091612020967,0.0,0.9392660105794072,3.112641407307172,0.0,0.0,0.1343,0.0,1.013,0.0,0.0699,0.01,0.0
9,7.356469186981113,0.48738,0.13376497175141241,25.27627601910897,0.0,1.3202987159533075,2.9504011062051947,0.0,0.0,0.4124,0.0,1.269,0.0,0.1275,0.0,0.0
10,7.013679514497366,0.5566800000000002,1.1388,21.947552441032006,0.0,0.54545,1.7998835812104255,0.0,0.0,0.2710944632601973,0.0,2.7561,0.0,0.1976,0.008,0.0
11,10.035842772281532,0.8916800000000001,0.6523249027237353,13.811302132716863,0.045,0.469,4.459340192277873,0.0,0.0,0.5507000000000001,0.0,5.5047,0.0,0.07440000000000001,0.044,0.0
12,12.463292834524188,1.27668,0.342,11.402277637987396,0.04378030798230547,0.0,2.2142679862585495,0.034051350652904246,0.0,0.4817998825946581,0.0,4.7479,0.788,0.5812,0.015,0.0
13,11.767799629487438,0.9636802413273,0.2178419452887538,13.875911201099004,0.045,0.21780000000000002,3.5628512121684643,0.09677978883861237,0.0,1.1691989441930617,0.0,3.6215370375973635,1.113,0.417,0.0,0.0
14,7.827632517555848,1.3466877041602465,0.0,18.936202353306065,0.045,0.1,3.7561083970482647,0.384,0.0,0.7938805825242718,0.04930662557781202,4.888084789644014,1.8162389795752865,0.8023080506081978,0.0,0.0
15,9.135261986141176,1.31668,0.279,14.483517976705619,0.045,0.076,2.8373333858992047,0.349,0.08,0.7545727186697311,0.0,5.72975,1.749,0.9969539325842696,0.025,0.0
16,8.743455684079574,1.3166799999999996,0.056,13.13933863127882,0.045,0.10800000000000001,1.6155226538445095,0.9425714285714286,0.357,0.9939162172252376,0.0,8.19162654080231,2.0291244239631334,1.2648444202349864,0.025,0.0
17,7.696805471324984,1.457,0.0,9.40594785373466,0.045,0.0,0.8544710667821158,2.156788010560646,0.462,1.01223,0.0,9.657350000000001,1.831,1.3720975975975975,0.0,0.0
18,6.5950706253787414,1.401,0.264,8.625713049327354,0.045,0.0,1.2483189189189188,1.585,0.1,0.8188170403587444,0.0,11.834350000000002,1.885,1.7231803660162404,0.066,0.504
19,5.2359883176905955,1.378,0.0,8.375153587446144,0.105,0.1351,0.6549999999999999,3.313549098732697,0.0,0.842448511052017,0.0,15.126951515608901,2.6083338900876103,1.748745850024734,0.026,1.3220592293573026
