datetime,PAR_fnf,CNS_fnf,DNP_fnf,FOL_fnf,ISB_fnf,KWH_fnf,EXC_fnf,MIL_fnf,yuba_fnf,NHG_fnf,NML_fnf,ORO_fnf,PFT_fnf,SHA_fnf,SUC_fnf,YRS_fnf,ORIG_PAR_fnf,ORIG_CNS_fnf,ORIG_DNP_fnf,ORIG_FOL_fnf,ORIG_ISB_fnf,ORIG_KWH_fnf,ORIG_EXC_fnf,ORIG_MIL_fnf,ORIG_yuba_fnf,ORIG_NHG_fnf,ORIG_NML_fnf,ORIG_ORO_fnf,ORIG_PFT_fnf,ORIG_SHA_fnf,ORIG_SUC_fnf,ORIG_YRS_fnf
10/13/2006,0.470837331,0.025948765,5.192351554,0.454248467,3.66129654,2.682214048,4.551415405,8.373648713,0.008388612,0.048158476,2.188604678,3.326658751,8.172147432,5.157632579,1.285408758,0.751244396,0.268802092,0.025948765,7.661447895,0.341183641,1.988636322,1.117726492,4.708574437,9.996282454,0.008388612,0.012308205,0.565676216,0.112936505,8.899453448,0.022003395,0.279865226,0.045181026
10/14/2006,0.402126987,0.022936778,5.309433878,0.394811122,38.7493959,5.543983219,4.185467446,7.988259319,0.007784307,0.046799191,2.476701485,3.127903474,7.901103725,5.050439991,11.99488288,0.669317202,0.229575202,0.022936778,7.834205867,0.296540563,21.04676726,2.31027681,4.329990402,9.536212851,0.007784307,0.011960803,0.640138961,0.106188976,8.604287352,0.021546092,2.611582182,0.040253795
10/15/2006,0.347752325,0.020444481,5.383212862,0.347996885,19.91186197,6.584265081,3.982633177,7.620152048,0.007280155,0.039100862,1.785316945,2.93790211,8.859456768,5.362115221,0.198696636,0.603872398,0.198532585,0.020444481,7.94306865,0.261378635,10.81514472,2.743780839,4.120152326,9.096774277,0.007280155,0.009993286,0.461440727,0.099738633,9.647932044,0.022875755,0.043261164,0.036317841
10/16/2006,0.30904829,0.029139222,4.773234276,0.41608625,6.697215554,4.049602948,3.611943112,7.02425945,0.021254207,0.038024392,1.601692422,4.76762564,8.905855689,691.8037113,0.241597572,1.417267621,0.176436364,0.029139222,7.043029601,0.3125202,3.63759831,1.687541865,3.736662442,8.385410459,0.021254207,0.009718165,0.41398034,0.161855789,9.698460384,2.951359968,0.052601757,0.085236716
10/17/2006,0.280335323,0.019367564,4.367909953,0.307197742,4.935930797,3.250363264,3.312588183,6.493744034,0.01608537,0.034733761,1.454038575,6.118709961,8.298439313,316.4737205,0.320419776,0.848524745,0.160044067,0.019367564,6.444963166,0.230734613,2.680955,1.354484416,3.426970876,7.752092519,0.01608537,0.008877155,0.375817089,0.207723656,9.036985073,1.350134228,0.069763297,0.05103162
10/18/2006,0.251429245,0.015901886,3.863111396,0.266559311,5.088923118,3.025841246,3.037992823,6.113141802,0.00649886,0.030460738,1.319034199,2.644403817,7.588214482,8.025878325,0.259740484,0.495520991,0.143541522,0.015901886,5.700119948,0.2002113,2.764052909,1.260922082,3.142893819,7.297737728,0.00649886,0.007785068,0.340923275,0.08977468,8.263551545,0.034239851,0.056551917,0.029801416
10/19/2006,0.228821167,0.014662262,3.364343336,0.245257946,4.84786744,2.822815116,2.755412534,5.56681057,0.006218494,0.028082446,1.199460158,2.571509649,6.952161904,17.1724205,0.255684266,0.464119372,0.130634519,0.014662262,4.964174883,0.184211957,2.633123313,1.176317468,2.850556116,6.645539207,0.006218494,0.007177231,0.310017652,0.087300001,7.570891463,0.073260657,0.055668778,0.027912873
10/20/2006,0.208241654,0.013474533,2.915404674,0.224732227,4.412261299,2.609918864,2.489997438,5.113263237,0.005901531,0.025863464,1.089896764,2.473717671,6.360948271,9.555474171,0.246069669,0.432030209,0.118885629,0.013474533,4.301754372,0.168795197,2.396523468,1.087599798,2.575976315,6.104104117,0.005901531,0.00661011,0.281699424,0.083980068,6.927060909,0.040765384,0.053575443,0.02598298
10/21/2006,0.190172733,0.012352787,2.55628716,0.205994477,3.993470049,2.413644521,2.258727021,4.691351203,0.005590666,0.023761027,0.993015712,2.368327811,5.819716175,8.757249046,0.234150796,0.401917732,0.108570041,0.012352787,3.771867269,0.154721371,2.169056645,1.005808774,2.336720199,5.600434568,0.005590666,0.006072775,0.256659129,0.080402195,6.337660157,0.037360011,0.05098041,0.024171968
10/22/2006,0.174381619,0.011337602,2.271527212,0.189454281,3.606946447,2.242575493,2.064219411,4.323675162,0.005289395,0.02180798,0.9085145,2.269500336,5.353971052,8.623982788,0.221934828,0.374451511,0.099554859,0.011337602,3.351696663,0.142298117,1.959116023,0.934521255,2.135496298,5.161510787,0.005289395,0.005573621,0.234818581,0.077047108,5.830464579,0.036791473,0.048320692,0.022520106
