datetime,DNP_fnf,DNP_precip,DNP_snow,EXC_fnf,EXC_precip,EXC_snow,FOL_fnf,FOL_precip,FOL_snow,ISB_fnf,ISB_precip,ISB_snow,KWH_fnf,KWH_precip,KWH_snow,MIL_fnf,MIL_precip,MIL_snow,NML_fnf,NML_precip,NML_snow,ORO_fnf,ORO_precip,ORO_snow,PFT_fnf,PFT_precip,PFT_snow,SHA_fnf,SHA_precip,SHA_snow,SUC_fnf,SUC_precip,SUC_snow,YRS_fnf,YRS_precip,YRS_snow
2039-10-01,71.48115324954988,0.0,0.0,44.02055822782517,0.0,0.0,172.64197480087282,0.0,4.3472235360109135e-12,50.55555228509903,0.0,0.0,18.244219881248476,0.0,0.0,142.4716665298462,0.0,0.0,44.047708843231206,0.0,0.0,296.3309766906739,0.0,1.8277460100968312e-10,78.24762269039155,0.0,0.0,1578.5654876312258,0.0,1.9015561694701866e-12,3.8003761304676535,0.0,0.0,99.58995199184419,0.0,3.285400076991074e-11
2039-10-02,78.18977263240815,0.0,0.0,48.226920447635656,0.0,0.0,185.68748018302918,0.0,4.3472235360109135e-12,55.691536045074464,0.0,0.0,19.954178415298465,0.0,0.0,154.36317681770325,0.0,0.0,47.775948015975956,0.0,0.0,327.88935234603883,0.0,1.8277460100968312e-10,86.18616536865235,0.0,0.0,1926.7512255340578,0.002099771983921528,1.9015561694701866e-12,4.209356020849944,0.0,0.0,109.5707319797516,0.0,3.285400076991074e-11
2039-10-03,73.72851276969911,0.0,0.0,45.37291606063843,0.0,0.0,168.0161579097748,0.0,4.3472235360109135e-12,53.03509277915955,0.0,0.0,18.797429848623278,0.0,0.0,144.2999387866974,0.0,0.0,44.71310558767319,0.0,0.0,302.9422830574036,0.0,1.8277460100968312e-10,81.88695747985841,0.0,0.0,1198.0286078338625,0.0,1.9015561694701866e-12,4.0364334152340895,0.0,0.0,99.72334614257814,0.0,3.285400076991074e-11
2039-10-04,68.79162238912583,0.0,0.0,42.20343763847352,0.0,0.0,149.21874684906007,0.0,4.3472235360109135e-12,50.27692342615128,0.0,0.0,17.631080660676957,0.0,0.0,134.1112309272766,0.0,0.0,41.46836280384064,0.0,0.0,275.85220646781926,0.0,1.8277460100968312e-10,77.39535305728913,0.0,0.0,996.4106679336548,0.0,1.9015561694701866e-12,3.857349419385195,0.0,0.0,88.49359609508515,0.0,3.285400076991074e-11
2039-10-05,64.1339787809372,0.0,0.0,39.16205517683029,0.0,0.0,134.25695829620363,0.0,4.3472235360109135e-12,47.64885407724381,0.0,0.0,16.51988755338192,0.0,0.0,124.71314331035614,0.0,0.0,38.46752047376633,0.0,0.0,251.21309187583924,0.0,1.8277460100968312e-10,73.09112670936585,0.0,0.0,850.0196265747071,0.0,1.9015561694701866e-12,3.6841267291188244,0.0,0.0,79.40153428287506,0.0,3.285400076991074e-11
2039-10-06,60.03921256284714,0.0,0.0,36.424995082855226,0.0,0.0,121.84809580821992,0.0,4.3472235360109135e-12,45.248289600563055,0.00023916752252262086,0.0,15.522094087028504,0.0,0.0,116.33245851745606,0.0,0.0,35.79058168716431,0.0,0.0,229.78380378341677,0.0,1.8277460100968312e-10,69.1582872124672,0.0,0.0,742.2038856582642,0.0,1.9015561694701866e-12,3.5263244757413865,0.0,0.0,71.9090750049591,0.0,3.285400076991074e-11
2039-10-07,70.13964647769929,0.5649453401565552,0.0,36.47591866521836,0.46975216269493103,0.0,275.8533253921509,0.9066736698150635,4.3472235360109135e-12,43.285074234294896,0.02955564484000206,0.0,14.662613028359415,0.0,0.0,110.22840063114167,0.10559653490781784,0.0,46.15967434415818,0.636128306388855,0.0,242.97535384140016,1.041136384010315,1.8277460100968312e-10,66.39565468740464,0.0,0.0,811.161555583191,2.7842187881469727,1.9015561694701866e-12,3.397251804918051,0.00427482184022665,0.0,170.66112802619935,1.767838716506958,3.285400076991074e-11
2039-10-08,115.39142645416261,0.09914916753768921,0.0,84.90782772045137,0.015326768159866333,0.0,429.19268644638066,3.924980401992798,4.3472235360109135e-12,41.50693229255677,0.16873759031295776,0.0,31.985952965784076,1.4125087261199951,0.0,201.13005549087526,0.4743618965148926,0.0,44.645702921962744,0.42240238189697266,0.0,2576.258409448242,19.072690963745117,1.8277460100968312e-10,149.4021001361847,1.1186695098876953,0.0,9939.724817138673,15.844590187072754,1.3288700984048774e-07,8.145785312998296,0.8281983733177185,0.0,925.3277097930909,17.69782829284668,3.285400076991074e-11
2039-10-09,82.33512007541657,0.0,0.0,43.28878589000702,0.0,0.0,286.6452336685181,0.0,4.3472235360109135e-12,39.548472354698184,0.0,0.0,14.91162483701706,0.0,0.0,159.6080260700226,0.0,0.0,39.596277144241334,0.0,0.0,690.7432530166626,0.0,1.8277460100968312e-10,87.54853924427033,0.0,0.0,2635.367808416748,0.0,1.3288700984048774e-07,3.1371026806354525,0.0,0.0,348.29048258056645,0.0,3.285400076991074e-11
2039-10-10,82.34984144554139,0.0,0.0,43.87181644334793,0.0,0.0,268.58649637069703,0.0,4.3472235360109135e-12,37.9123586514473,0.0,0.0,14.54516459312439,0.0,0.0,155.50997405548097,0.0,0.0,39.547583060359955,0.0,0.0,574.8569614013672,0.0,1.8277460100968312e-10,87.01065394763947,0.0,0.0,1943.9866683288576,0.0,1.3288700984048774e-07,3.0121552604556086,0.0,0.0,282.7417909858704,0.0,3.285400076991074e-11
