datetime,PAR_fnf,CNS_fnf,DNP_fnf,FOL_fnf,ISB_fnf,KWH_fnf,EXC_fnf,MIL_fnf,yuba_fnf,NHG_fnf,NML_fnf,ORO_fnf,PFT_fnf,SHA_fnf,SUC_fnf,YRS_fnf
10/26/2006,0.073978401,0.00844361,2.371401466,0.10663038,1.791577184,0.775236085,1.611224276,4.029765125,0.004334913,0.004189932,0.173288169,0.064864174,4.998972903,0.033093137,0.039787633,0.017590683
10/27/2006,0.069403193,0.007919873,2.224392652,0.099920354,1.728348186,0.746529229,1.522499919,3.841259786,0.004133931,0.003952276,0.162434726,0.062336914,4.815895744,0.032232248,0.038137374,0.016611559
10/28/2006,0.065221773,0.007427065,2.093035129,0.093672865,1.642680349,0.716024904,1.442334257,3.66436131,0.003932717,0.003724998,0.152606626,0.059831784,4.613616996,0.031342796,0.036530539,0.015666589
10/29/2006,0.061372636,0.006966166,1.971209513,0.088034736,1.556317996,0.685944831,1.36590989,3.495235187,0.003747729,0.00350328,0.143685442,0.057371093,4.412479167,0.030489602,0.035038269,0.014822208
10/30/2006,0.05811311,0.006581951,1.865796919,0.083282836,1.479680476,0.659894927,1.299718658,3.349372249,0.003594164,0.003325896,0.13606189,0.055159441,4.247665591,0.02979074,0.033717653,0.014113587
10/31/2006,0.05516575,0.00625221,1.782376978,0.079012802,1.415947521,0.637550674,1.24452838,3.229970577,0.003458263,0.003171417,0.129236653,0.053212406,4.137103853,0.029142237,0.032535969,0.013478339
11/1/2006,0.052567226,0.005950212,1.716839889,0.075225799,1.362305865,0.617190755,1.19851458,3.136693682,0.003376311,0.003038844,0.12320879,0.065193618,4.056387738,0.35454431,0.031462469,0.014959337
11/2/2006,0.141419049,0.156556848,1.763347596,1.007601789,1.325149955,0.603934438,1.200115729,3.152004073,0.407634358,0.110678361,0.187290831,1.803419142,4.087428148,4.899613424,0.030491669,0.898570051
11/3/2006,0.407952847,0.101103045,2.55141306,1.228816512,1.310063959,0.600471202,1.369066358,3.507365022,0.763520509,0.269168647,0.321483092,8.195072769,4.434229182,21.73497406,0.029571885,1.634791278
11/4/2006,0.079524939,0.021878467,2.715287222,0.349050828,1.292696753,0.599292979,1.46047258,3.515940021,0.586949843,0.003062066,0.134299289,0.772800949,4.621728158,2.034093901,0.028727653,1.198757049
11/5/2006,0.088182715,0.006722567,2.585719954,0.163750224,1.273476067,0.595875413,1.509659396,3.633735926,0.078821113,0.003079153,0.139581831,0.244100069,4.740491396,0.697406336,0.027948701,0.134573093
11/6/2006,0.090748427,0.006772674,2.584704107,0.167983529,1.248376556,0.587697065,1.472726096,3.591306257,0.068557958,0.003062794,0.141146891,0.249768669,4.678922754,0.511996654,0.02719431,0.12667642
11/7/2006,0.089325792,0.006664079,2.431745496,0.163382924,1.21468243,0.575521295,1.404305153,3.483338373,0.058537832,0.003000457,0.139423341,0.242245576,4.515261681,0.557263313,0.026457934,0.114647445
11/8/2006,2.326252621,2.651376856,7.419395479,15.60097837,1.172608583,0.561406921,3.100266338,4.053177792,6.557232877,0.615296548,4.051902235,14.0944334,4.358984958,26.84939942,0.025764625,14.4674833
11/9/2006,0.208078306,0.02451655,3.80112912,0.951147772,1.138868222,0.560588295,1.995520012,4.198009319,0.616743716,0.017077456,0.260566232,1.098151019,4.50313149,1.877607702,0.056896931,1.152957603
11/10/2006,0.236294946,0.026388541,4.265054436,0.95356681,1.109178945,0.545629691,2.217021276,4.27513808,0.417421417,0.004839449,0.312211136,0.982159547,4.502965623,1.556418706,0.024700278,0.887171791
11/11/2006,0.27778036,0.148206807,4.078927579,1.667493397,1.087762769,0.53869354,2.163099235,4.291425047,0.728262687,0.018765402,0.372373418,6.149692628,4.472380228,16.1540694,0.024211671,3.331028617
11/12/2006,0.277437654,0.035370994,4.45832041,0.993836207,1.087048186,0.534988998,2.291246952,4.41441667,1.297751916,0.005325577,0.502711992,3.909534263,4.586538408,2.786351538,0.023806507,1.7720982
11/13/2006,14.02951447,8.907932132,32.25610703,51.32995096,1.509336486,1.482905201,19.01033398,14.45136706,17.49125657,8.332100984,20.99069425,46.5682658,8.350436756,26.64752021,0.117299604,36.84573759
11/14/2006,29.41263011,10.27817166,48.15971915,137.9205941,3.543451709,3.936225579,32.01201756,23.44180608,46.72205322,1.858533406,32.1905731,91.28622576,13.15346486,31.96282721,0.339200122,99.03247511
11/15/2006,10.61282234,3.49791452,26.45454481,35.7417267,3.250881134,3.079649174,18.45042326,20.74203033,11.71220695,0.859267233,15.46383798,27.08658668,12.94675245,17.16903026,0.041265,23.88059566
11/16/2006,5.551525827,1.649212806,16.93294446,19.32149498,3.828347518,2.750223647,12.45222712,17.67393438,10.85511573,0.469389733,8.127224277,62.02544111,16.03099168,116.8811856,0.044226955,19.64562091
11/17/2006,6.289322002,1.271834478,14.53679611,31.24029136,3.692434558,2.274483756,10.57974279,15.96649573,28.31997975,0.311935013,7.518298523,83.62774379,16.48436602,82.86500687,0.045104884,50.33043874
11/18/2006,7.779068721,1.138934942,14.68550206,29.66369999,3.405585608,1.955983711,10.07242885,15.66780782,21.90451628,0.237673396,7.489557217,60.31665167,16.68762014,48.01740882,0.044811454,43.83520551
11/19/2006,6.417530338,0.92031957,13.0404676,18.49384307,3.183641249,1.734666656,9.582443378,14.97629903,9.387682684,0.187742068,6.501198335,33.95640781,16.90841002,32.93864563,0.044038153,20.70638188
11/20/2006,4.609037185,0.709107936,12.5738286,12.35697203,2.952768896,1.564607636,9.162167567,14.12566692,11.24506281,0.151665173,5.854709904,61.775023,17.37665106,105.7680159,0.042968476,23.07663891
11/21/2006,9.613437521,6.524727448,17.97258283,158.5829057,2.61313531,1.432994702,10.28384227,13.78787865,101.5336291,1.013208251,12.53072321,176.9938432,17.51933303,85.25774242,0.041838792,229.2843994
11/22/2006,10.79631598,4.233105415,17.77922288,88.79170743,2.337556358,1.341599975,9.595669397,12.86013601,46.28016122,0.436227043,14.20234889,89.58927631,14.51808532,118.0112022,0.040814386,107.4298901
11/23/2006,7.533040701,4.437899299,16.90511848,64.68695339,2.299186802,1.385607148,9.714062334,12.87168772,40.93529585,0.671002464,11.21806436,82.97291737,13.24454446,89.90794535,0.096575531,94.57447587
11/24/2006,5.626404681,2.862971283,14.72538198,34.9133818,2.156465205,1.419332097,8.78855565,12.8451751,17.11917604,0.367582937,9.235617737,47.33531601,12.30830627,47.04204039,0.045889118,39.45353865
11/25/2006,4.323277302,1.949420352,12.3124967,22.61392067,2.088156434,1.421194963,7.567544122,12.00098214,10.49762893,0.282354389,7.498345482,31.67203517,11.67293669,32.70374262,0.041778556,24.20899038
11/26/2006,3.552834856,1.444858032,10.3824915,16.82842712,2.208312471,1.374567237,6.634332081,10.92010543,7.86003331,0.225053658,6.16761194,25.42364127,11.37946275,29.84124786,0.041961108,18.13205725
11/27/2006,3.796545798,2.023096755,10.56424545,17.4349125,1.977282073,1.377897827,6.867685324,10.51637242,8.027911037,0.979580645,6.295369672,29.15006423,10.6152136,31.76351067,0.058233149,19.69796039
11/28/2006,3.510353575,1.8467656,9.713861507,16.24843543,1.946445774,1.418127207,6.03469878,10.65008811,7.215394387,0.681177053,5.796899232,25.90131236,10.18729057,26.75417834,0.070966638,17.84606487
11/29/2006,3.086239023,1.61556947,9.267214797,13.61069106,1.93663798,1.416958233,5.620191866,10.63859347,5.712023946,0.480227711,5.218246883,20.7476239,10.77957095,22.10095976,0.046709673,13.74986632
11/30/2006,2.934152168,1.458973862,8.829987629,11.99447785,1.91935674,1.395503079,5.419135913,11.21896627,5.500481575,0.835839277,5.431786747,21.78609419,10.67817313,25.79054236,0.048765465,13.18172955
12/1/2006,3.949327357,2.396591653,10.47788377,14.15647177,2.161456535,1.364127888,7.020023069,11.11236675,6.416596704,0.335095571,6.074148031,17.71171296,10.54136226,28.27003747,0.049756403,13.08602681
12/2/2006,3.267829985,1.376766539,10.16386294,11.93460122,2.005166379,1.32437961,5.684805944,11.14216093,5.505061409,0.287535627,6.477844145,16.66418179,10.31586118,22.30296814,0.050075947,11.48545111
12/3/2006,3.546094051,1.773467425,9.531438229,10.25636183,2.023490242,1.282460068,5.85919732,11.05412089,5.222730453,0.305782947,6.825192011,18.09991811,10.92548095,29.28156964,0.049902027,10.73287482
12/4/2006,2.910676254,1.345285088,9.561630015,10.66936035,2.075888026,1.24088785,5.779212335,10.75127361,6.054014098,0.234236827,6.938419728,17.45374129,10.9095669,30.7673898,0.049356803,11.48360887
12/5/2006,2.923128883,1.253761242,9.772345586,11.86356465,2.021888474,1.200997609,5.831601792,10.96654323,6.452466193,0.194056522,7.417821228,21.68311281,11.27093613,31.80536264,0.048634666,11.62673223
12/6/2006,3.06122121,1.034700903,9.651912022,12.28476888,1.942974777,1.162824322,6.139791627,10.69737479,7.092868413,0.164189847,7.15130977,21.7566311,11.76276048,30.59492558,0.047682321,12.89463005
12/7/2006,3.172502783,0.876695461,9.339193005,11.40091022,1.878585854,1.125112264,6.405042842,10.14144616,7.458219152,0.142219717,6.678881638,22.76587724,12.12931539,27.89407184,0.046608928,12.44314741
12/8/2006,3.207957948,0.779446072,8.854235509,10.42158081,1.812349913,1.08795535,6.095485039,9.607734124,6.330572916,0.124420675,6.75308164,21.08773356,11.65554091,26.33684955,0.045570145,11.10057651
12/9/2006,4.013631012,2.669416654,10.96681439,16.5135274,1.834322008,1.238933041,7.175745723,10.2459453,11.69749576,0.878752031,8.215984569,36.78668053,10.90208376,32.44796489,0.097567201,19.95515317
12/10/2006,7.515067451,4.532048484,27.9922998,29.81486635,4.292817083,17.95086362,19.91434107,31.2568522,21.37694119,3.631545846,15.44000346,77.25841009,25.16002971,54.41298304,8.638499897,35.3098203
12/11/2006,5.372079979,2.433239856,16.96106747,22.17744377,5.209270271,5.710461699,9.346437432,17.49905418,14.8063697,1.014805541,11.29796473,58.11402082,10.77912389,85.87126271,1.439263048,26.24090377
12/12/2006,12.7820633,12.51971494,24.11637801,95.72719128,7.275800046,4.239877032,14.18312557,18.53844738,62.35275153,7.513993887,20.45422265,249.9604038,10.08704804,325.4682632,1.160026298,127.6335373
12/13/2006,10.16046016,7.786219088,21.83144817,60.62913001,8.490990674,3.98740117,11.00178191,15.62059224,43.32700891,2.669815602,17.43839375,178.149554,11.69129134,307.5388246,1.12134148,80.73895611
12/14/2006,10.11078282,8.447507837,23.09422142,71.05065792,9.668489554,5.774066909,11.21331075,18.73160765,52.60118404,1.819957738,17.23761316,181.1275284,10.27083528,320.8304337,1.929398586,93.70825631
12/15/2006,15.65885719,14.66212883,21.04833978,145.3033096,6.891520805,4.652835147,9.053376937,15.62141174,122.4639374,3.169562641,24.43787401,340.3484686,11.98787911,564.1228102,1.719007919,210.9095387
12/16/2006,12.97261019,10.32800725,20.82724307,75.00468923,2.954245222,5.066770189,8.511949813,16.86822398,42.09479202,2.122112174,21.71437971,143.3860123,10.6041958,182.1453616,1.209323124,81.08220884
12/17/2006,7.923267929,5.74438315,15.80660161,40.42614331,2.921163191,4.391532888,7.247675819,14.26426273,22.7411331,1.375772094,14.41308902,81.30448356,9.931421101,107.5326751,1.047099426,43.79540226
12/18/2006,5.823267802,3.962014859,13.10220519,28.36269224,2.819933256,3.767307291,6.332280194,12.35813764,16.30522235,0.998734617,11.25353515,58.13190539,9.381831415,77.62942336,0.918641989,31.48476019
12/19/2006,4.645182601,2.97502885,11.41444009,22.03139296,2.717370686,3.338781425,5.722293863,11.1436919,12.89670383,0.770512417,9.422003169,45.91336642,8.942847796,64.03625413,0.807128037,24.34994348
12/20/2006,3.922704777,2.37946155,10.30120898,18.33580736,2.859142923,3.043418449,5.280685177,10.33266453,10.952221,0.628809715,8.238779172,40.74892194,8.605772289,52.59220871,0.72228818,21.54799967
