datetime,DNP_fnf,FOL_fnf,ISB_fnf,MIL_fnf,NML_fnf,ORO_fnf,PFT_fnf,SHA_fnf,YRS_fnf,PAR_fnf,CNS_fnf,KWH_fnf,NHG_fnf,SUC_fnf,EXC_fnf
10/28/2006,9.932958094,6.094413113,7.688807481,11.50679533,12.98036911,37.38850981,12.98553979,106.0193867,15.48217941,0.065221773,0.007427065,0.716024904,0.003724998,0.036530539,1.442334257
10/29/2006,9.823532605,6.084462934,7.624214466,11.356262,12.9689653,37.37567386,12.8108374,105.9896884,15.47230172,0.061372636,0.006966166,0.685944831,0.00350328,0.035038269,1.36590989
10/30/2006,9.728849523,6.074601436,7.56693511,11.22471632,12.95734185,37.36330529,12.66624369,105.9651061,15.46400626,0.05811311,0.006581951,0.659894927,0.003325896,0.033717653,1.299718658
10/31/2006,9.653920554,6.065612117,7.518467516,11.1158274,12.94637797,37.34988691,12.56756487,105.9297332,15.45528332,0.05516575,0.00625221,0.637550674,0.003171417,0.032535969,1.24452838
11/1/2006,9.595054214,6.055403034,7.477629101,11.02966305,12.93450193,37.34705477,12.49457507,106.0874076,15.44711276,0.052567226,0.005950212,0.617190755,0.003038844,0.031462469,1.19851458
11/2/2006,9.636828094,6.933122772,7.448745396,11.03729807,12.97298353,38.7105762,12.51666042,108.7352324,16.19434618,0.141419049,0.156556848,0.603934438,0.110678361,0.030491669,1.200115729
11/3/2006,10.34467963,7.139455405,7.435672517,11.34326191,13.06588607,43.75773333,12.80970166,118.6129121,16.81912639,0.407952847,0.101103045,0.600471202,0.269168647,0.029571885,1.369066358
11/4/2006,10.49187372,6.301337452,7.420983669,11.34632526,12.92402881,37.88129678,12.96636482,107.0209617,16.44016906,0.079524939,0.021878467,0.599292979,0.003062066,0.028727653,1.46047258
11/5/2006,10.37549457,6.123172781,7.405240613,11.44561905,12.92421164,37.45795204,13.06483036,106.2213319,15.52596672,0.088182715,0.006722567,0.595875413,0.003079153,0.027948701,1.509659396
11/6/2006,10.37458212,6.12397831,7.385250069,11.40509206,12.92109234,37.45131694,13.00943101,106.0918474,15.51194227,0.090748427,0.006772674,0.587697065,0.003062794,0.02719431,1.472726096
11/7/2006,10.23719253,6.115574334,7.359039867,11.30720216,12.91515137,37.43734714,12.86671499,106.1002196,15.49463587,0.089325792,0.006664079,0.575521295,0.003000457,0.026457934,1.404305153
11/8/2006,14.71717022,20.75010442,7.32664108,11.80064135,15.758498,48.38353171,12.72961697,121.5385959,27.77096896,2.326252621,2.651376856,0.561406921,0.615296548,0.025764625,3.100266338
11/9/2006,11.46719225,6.857959093,7.300392956,11.92369509,12.99595962,38.10381537,12.84997743,106.8538559,16.37591716,0.208078306,0.02451655,0.560588295,0.017077456,0.056896931,1.995520012
11/10/2006,11.88389653,6.858090396,7.277288428,11.98789912,13.0301607,38.00755856,12.84699216,106.6534453,16.14536823,0.236294946,0.026388541,0.545629691,0.004839449,0.024700278,2.217021276
11/11/2006,11.71671475,7.533033821,7.260177478,11.99901424,13.07090855,42.08912678,12.81825003,115.2222393,18.23326363,0.27778036,0.148206807,0.53869354,0.018765402,0.024211671,2.163099235
11/12/2006,12.05749075,6.892388587,7.257736887,12.10341045,13.16235715,40.31443593,12.91328546,107.3570234,16.89663062,0.277437654,0.035370994,0.534988998,0.005325577,0.023806507,2.291246952
11/13/2006,37.02585547,54.62019978,7.562412549,20.86649555,28.07276763,74.04144642,16.1304085,121.3679688,46.90676079,14.02951447,8.907932132,1.482905201,8.332100984,0.117299604,19.01033398
11/14/2006,51.31070459,136.7312018,9.037098568,28.71835425,36.22880182,109.4030451,20.23761617,124.4853911,100.1247867,29.41263011,10.27817166,3.936225579,1.858533406,0.339200122,32.01201756
11/15/2006,31.81481031,39.85751579,8.824210463,26.36264007,24.05999416,58.64881054,20.06046176,115.7847914,35.83123455,10.61282234,3.49791452,3.079649174,0.859267233,0.041265,18.45042326
11/16/2006,23.26237434,24.28958292,9.242549098,23.68476233,18.72147216,86.27529318,22.69870809,174.3851495,32.20859872,5.551525827,1.649212806,2.750223647,0.469389733,0.044226955,12.45222712
11/17/2006,21.11012003,35.59048355,9.143533456,22.19451487,18.27701476,103.3586856,23.08727085,154.3961903,58.46466663,6.289322002,1.271834478,2.274483756,0.311935013,0.045104884,10.57974279
11/18/2006,21.24368982,34.0955933,8.934837087,21.93392381,18.25389578,84.93024128,23.26198658,133.9116013,52.90977834,7.779068721,1.138934942,1.955983711,0.237673396,0.044811454,10.07242885
11/19/2006,19.76609662,23.50319016,8.773159406,21.33043431,17.53248955,64.0867879,23.45180827,125.0336781,33.11871346,6.417530338,0.92031957,1.734666656,0.187742068,0.044038153,9.582443378
11/20/2006,19.34695488,17.6793825,8.604619099,20.58704124,17.05806198,86.07078264,23.85277854,167.7891733,35.13693245,4.609037185,0.709107936,1.564607636,0.151665173,0.042968476,9.162167567
11/21/2006,24.19619221,156.3294259,8.357261708,20.29165676,21.91426587,177.166532,23.9754332,155.7159298,211.5850352,9.613437521,6.524727448,1.432994702,1.013208251,0.041838792,10.28384227
11/22/2006,24.02251358,90.16607485,8.156315768,19.48124708,23.13054276,108.0679199,21.40908641,174.9591154,107.3465966,10.79631598,4.233105415,1.341599975,0.436227043,0.040814386,9.595669397
11/23/2006,23.23738065,67.31517006,8.127353422,19.49111178,20.95798492,102.8390568,20.32008922,158.4378672,96.3578218,7.533040701,4.437899299,1.385607148,0.671002464,0.096575531,9.714062334
11/24/2006,21.27951052,39.08710068,8.022827439,19.46781304,19.5143149,74.66198605,19.51943066,133.2306011,49.20155398,5.626404681,2.862971283,1.419332097,0.367582937,0.045889118,8.78855565
11/25/2006,19.11222288,27.42558873,7.97231202,18.73058048,18.24895781,62.27641523,18.97608131,124.7920046,36.15931348,4.323277302,1.949420352,1.421194963,0.282354389,0.041778556,7.567544122
11/26/2006,17.37866494,21.93948058,8.058188892,17.78632745,17.27904673,57.33413671,18.72496449,123.0936701,30.95928625,3.552834856,1.444858032,1.374567237,0.225053658,0.041961108,6.634332081
11/27/2006,17.5419189,22.51350193,7.889416351,17.4332563,17.37033841,60.27777585,18.07095931,124.2106954,32.29761956,3.796545798,2.023096755,1.377897827,0.979580645,0.058233149,6.867685324
11/28/2006,16.77809203,21.38733722,7.865969477,17.54953169,17.00594665,57.7064304,17.70442433,121.2540877,30.71137704,3.510353575,1.8467656,1.418127207,0.681177053,0.070966638,6.03469878
11/29/2006,16.37690764,18.88519142,7.857495323,17.53918662,16.58328011,53.62686329,18.21070307,118.4879877,27.20436174,3.086239023,1.61556947,1.416958233,0.480227711,0.046709673,5.620191866
11/30/2006,15.98418402,17.34573987,7.843369081,18.04435893,16.73300374,54.41397985,18.12296257,120.5899908,26.70222507,2.934152168,1.458973862,1.395503079,0.835839277,0.048765465,5.419135913
12/1/2006,17.46434762,19.39105264,8.017486395,17.94930531,17.19600432,51.1768654,18.00437126,122.0039969,26.61160021,3.949327357,2.396591653,1.364127888,0.335095571,0.049756403,7.020023069
