,delivery_risk,deliveries,average_demand
0,0.0,261.1887502027217,204.46095386378255
1,0.0,277.78571213948595,204.46095386378255
2,0.0,258.53729907053525,204.46095386378255
3,0.0,246.97858459593067,204.46095386378255
4,0.0,226.87898492278487,204.46095386378255
5,0.0,266.78479495476034,204.46095386378255
6,0.0,219.65742078476623,204.46095386378255
7,-4.7774689394729535,199.6834849243096,204.46095386378255
8,0.0,255.95568412209747,204.46095386378255
9,0.0,236.0696750248548,204.46095386378255
10,0.0,269.1648819643549,204.46095386378255
11,0.0,249.39263726870325,204.46095386378255
12,0.0,212.15197422173782,204.46095386378255
13,0.0,231.3142807350134,204.46095386378255
14,-48.413106728392705,156.04784713538984,204.46095386378255
15,-19.82932484037738,233.04473575179787,204.46095386378255
16,0.0,263.0096263081686,204.46095386378255
17,0.0,232.42110187152034,204.46095386378255
18,-94.74712863315268,109.71382523062987,204.46095386378255
19,-150.30026201033644,148.9078204865988,204.46095386378255
20,-170.39849246883597,184.36272340528302,204.46095386378255
21,-166.11457303447935,208.74487329813917,204.46095386378255
22,-162.88263548940205,207.69289140885985,204.46095386378255
23,-218.78790482783023,148.55568452535437,204.46095386378255
24,-238.72468632489233,184.52417236672045,204.46095386378255
25,-340.83075469337086,102.35488549530399,204.46095386378255
26,-343.55620933910245,201.73549921805096,204.46095386378255
27,-416.84692242824997,131.17024077463506,204.46095386378255
28,-530.2633415520498,91.04453473998264,204.46095386378255
29,-552.5537332275444,182.17056218828805,204.46095386378255
30,-519.8556646159964,237.15902247533052,204.46095386378255
31,-500.17551202906765,224.14110645071128,204.46095386378255
32,-454.32307793008454,250.31338796276566,204.46095386378255
33,-502.6648697087624,156.11916208510468,204.46095386378255
34,-508.38662949619106,198.7391940763539,204.46095386378255
35,-452.2101662364957,260.6374171234779,204.46095386378255
36,-409.2681011716012,247.40301892867703,204.46095386378255
37,-357.1069362982125,256.62211873717126,204.46095386378255
38,-367.7427031906444,193.8251869713506,204.46095386378255
39,-344.4629003529888,227.74075670143816,204.46095386378255
40,-305.8480132233293,243.07584099344206,204.46095386378255
41,-325.1270406509704,185.18192643614145,204.46095386378255
42,-316.48907744731764,213.0989170674353,204.46095386378255
43,-317.960886718542,202.9891445925582,204.46095386378255
44,-335.3291137476148,187.0927268347097,204.46095386378255
45,-291.11325264427785,248.67681496711953,204.46095386378255
46,-226.1769058703423,269.3973006377181,204.46095386378255
47,-193.22891450363926,237.40894523048559,204.46095386378255
48,-157.00722649053102,240.68264187689078,204.46095386378255
49,-167.47893539367703,193.98924496063654,204.46095386378255
50,-132.88793739623628,239.0519518612233,204.46095386378255
51,-117.29310718979741,220.05578407022142,204.46095386378255
52,-67.4553053309686,254.29875572261136,204.46095386378255
53,-49.18320817194936,222.7330510228018,204.46095386378255
54,-59.55042516421412,194.0937368715178,204.46095386378255
55,-74.9010075577745,189.11037147022216,204.46095386378255
56,-68.99041789169297,210.37154352986408,204.46095386378255
57,-33.53712508299975,239.91424667247577,204.46095386378255
58,-56.70818646208164,181.28989248470066,204.46095386378255
59,-6.214553958513818,254.95458636735037,204.46095386378255
60,0.0,230.92334296232866,204.46095386378255
