,,,,,,,,,,,,,,Table 23
,,,,,U. S.,Depart,ment o,f Inte,rior -,Burea,u of,Recl,amati,on
,,,,,,Centra,l Vall,ey Ope,ration,s Offi,ce,,,
,,,,,M,adera,Canal,and Mi,llerto,n Lake,,,,
,,,,,,,2002,,,,,,,
Monthly Deliveries,,in AF,,,,,,,,,,,,
Water Users,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Chowchilla WD,MADERA CANAL,0,0,0,0,0,16584,29774,21755,0,0,0,0,68113
Madera ID,MADERA CANAL,0,0,0,1761,25557,25111,32083,13718,13452,0,0,0,111682
Soquel,MADERA CANAL,0,0,0,0,0,0,0,8549,0,0,0,0,8549
County of Madera,MILLERTON LAKE,2,2,3,4,5,6,8,9,7,6,3,2,57
Fresno County # 18,MILLERTON LAKE,5,5,7,12,18,19,6,24,16,15,8,7,142
Gravelly Ford WD,MILLERTON LAKE,0,0,584,991,1834,878,1498,1140,1151,741,0,0,8817
