,0,1,FR1_contract,FR1_carryover,FR1_turnback,FR1_flood,FR2_contract,FR2_carryover,FR2_turnback,FR2_flood,SLS_contract,SLS_carryover,SLS_turnback,SLS_flood,SLF_contract,SLF_carryover,SLF_turnback,SLF_flood,ECH_contract,ECH_carryover,ECH_turnback,ECH_flood,CVC_contract,CVC_carryover,CVC_turnback,CVC_flood,KRR_contract,KRR_carryover,KRR_turnback,KRR_flood,TRR_contract,TRR_carryover,TRR_turnback,TRR_flood,WRR_contract,WRR_carryover,WRR_turnback,WRR_flood,KGR_contract,KGR_carryover,KGR_turnback,KGR_flood
73,3175.883626,2381.861905,724.7389369,95.59506152,0.228343356,143.8687114,541.315874,3.115216816,3.798433531,126.0850296,2039.548862,85.36992061,20.74388152,822.272682,657.6787823,15.81627243,4.283218389,297.3862697,1244.529495,0,0,117.9223139,0,4.13637594,0,0,468.9415361,21.25670916,8.681857606,85.84261943,104.5550933,0,0,20.53814731,73.06746933,0,44.26728083,255.1780417,73.06746933,0,44.26728083,255.1780417
74,2796.451001,2287.124506,585.1114124,10.30448217,14.01018633,448.0361897,318.2094108,0,3.365087298,779.8879704,1821.454634,76.05418111,24.62191118,763.935156,553.6189103,19.04088482,3.28736649,345.9615139,1219.364682,0,0,117.7631692,17.64154733,8.063621412,0,0,392.7416967,29.41365037,0,392.4872039,112.9569836,0,8.346451382,155.1045082,34.69758032,3.47E-17,43.36439508,305.1772557,34.69758032,3.47E-17,43.36439508,305.1772557
75,2317.260426,1956.241642,671.2551995,82.58453006,9.575194591,56.9738308,107.1809182,20.30632375,0.615006567,72.55572223,1591.213159,56.32648824,4.822158401,670.618929,370.978586,13.28770351,0.882548447,285.1837609,1262.219078,0,0,113.570362,20.17998659,3.249709815,0,0,395.6367715,0.68703356,8.236443169,105.1064934,97.16414589,0,4.208269455,15.76980976,122.1953132,0,58.24389042,78.34556452,122.1953132,0,58.24389042,78.34556452
76,3303.946426,2449.757937,520.057336,20.47477253,4.01856303,571.7625137,150.1185319,0,16.03655017,867.120739,2241.43171,9.492985452,17.16118378,708.4836632,760.174552,0,4.617196352,209.2612001,1256.947158,0,0,87.25400718,0.470095337,3.019207541,0,0,511.3889866,31.6966186,0,141.825146,108.9508544,0,0,34.00588998,42.93778804,0,46.04299407,302.3296449,42.93778804,0,46.04299407,302.3296449
77,3184.578407,2442.364366,275.829889,1.303882061,11.51755734,1057.168717,25.47456147,0,18.27332522,1055.865184,1856.643228,71.12313254,47.1418531,879.0096128,750.6354328,23.40972409,5.016421733,314.2373898,1223.785605,0,0,89.71704755,0.241349455,0,0,0,51.20127464,8.875611613,0,725.5590377,106.4770944,0,0,337.6707079,8.485142845,0,0,366.1830736,8.485142845,0,0,366.1830736
78,2053.4004,1553.943544,738.9547118,3.30395813,21.24753002,433.669149,213.8651877,0,0,601.693967,1277.52072,2.894620959,40.88732466,1004.353036,358.7929875,18.80619925,5.755676227,234.227504,1246.020103,0,0,62.87162929,4.201930734,0,0,0,518.0594663,0.15378491,11.99815548,122.9499097,95.99429074,0,3.994750563,119.4949003,71.82814108,0,47.11335726,195.2470127,71.82814108,0,47.11335726,195.2470127
79,2275.983994,1893.775063,753.9413679,3.755386295,6.02258476,60.300321,302.5466937,0.700541028,3.714062304,130.8261574,1829.593891,25.1574518,4.551409905,291.3781492,309.7880545,0,1.61294362,11.97826852,1262.429733,0,0,5.422348516,1.983932595,0,0,0,574.6826423,23.84929436,0,29.17208238,106.5509633,0,0,0,88.47453254,3.47E-17,65.99057659,175.012333,88.47453254,3.47E-17,65.99057659,175.012333
80,2222.503658,2128.046448,579.8560762,4.948930979,0,422.452249,209.9555052,0.145659743,71.10605353,829.1249091,1853.65535,81.17282511,16.54046448,333.0811231,626.4478174,0.619402466,2.828163115,160.2280662,1276.623,0,0,63.77963884,16.68361014,37.90647196,0,0,411.4193004,16.69810852,0,355.6589724,123.9929355,0,10.57681257,100.9498762,64.58934264,5.55E-17,28.15713673,281.2984785,64.58934264,5.55E-17,28.15713673,281.2984785
81,1533.208771,1369.966353,563.8967452,103.3123169,2.279181287,48.90673574,20.24860629,6.305277993,0.21841016,73.12291812,1352.169495,16.03164532,0,156.1727063,367.8527202,0,0,0,951.4860818,0,0,0,3.024588131,24.47282993,0.267824412,0,309.9568469,94.24440121,14.35889954,7.446903954,72.94417492,0,0,0,120.5541944,0,51.40097817,56.39104525,120.5541944,0,51.40097817,56.39104525
82,1098.130731,1174.745065,541.9734901,11.56559203,0,42.81617156,36.59243055,0,0,46.60617463,1150.803697,5.141370438,0,0,228.2320159,0,0,0,951.5105254,0,0,0,0,23.19032162,0,0,172.4316989,52.24543701,2.526470062,0,56.11665897,0,0,0,126.5993864,0,25.79738981,39.26947845,126.5993864,0,25.79738981,39.26947845
83,2640.253649,1793.656944,712.770211,22.1971327,2.880851352,38.53878667,61.69171328,0,0,36.13925693,2203.911413,31.03650107,11.30699972,234.0839611,530.9997231,0,0,104.0858281,957.46725,0,0,47.33986217,0.75,14.48941236,0,0,308.7620469,41.07915209,13.00497389,0,71.15682544,0,2.650482937,0,140.8998241,0,42.63725173,43.27385948,140.8998241,0,42.63725173,43.27385948
84,1972.092489,1330.012105,654.8773315,12.25846947,0,46.88641843,6.917152354,0,0,55.67321743,1584.331378,49.80323158,0,108.5858428,368.6925901,73.65400676,0,19.65737835,953.6072823,0,0,9.105001652,1.511522542,29.55704469,0,0,110.3014994,43.71952539,0,0,30.79820365,0,0,0,130.7521357,0,2.59588013,36.07320012,130.7521357,0,2.59588013,36.07320012
85,1002.765402,906.4208254,748.219414,45.23614322,8.541791396,37.04814838,239.7855042,0,0,38.20521218,923.7997689,208.6796914,0,0,70.193386,0,0,0,948.4867712,0,0,0,0,2.951875441,0,0,292.445691,22.52229885,13.29974234,0,70.63236699,0,2.511190688,0,147.4899153,0,83.15792726,40.94113171,147.4899153,0,83.15792726,40.94113171
86,888.9052269,1075.631583,613.5453208,3.92832091,0.854914816,59.41980841,97.14376489,0.594819581,0.108340171,47.59905513,1054.652664,100.5388277,0,0,171.8602167,0,0,0,951.560821,0,0,0,0,18.23678373,0,0,192.5092849,26.84673649,0,0,48.20619998,0,0.491349793,0,111.346226,6.94E-17,55.78386719,36.50744011,111.346226,6.94E-17,55.78386719,36.50744011
87,2537.819348,2209.545918,615.8008915,16.75797331,2.08875798,371.9637855,236.1755576,0,18.94268943,706.6953369,2131.643638,40.79643758,27.21344772,0,692.2382082,0,1.159753219,0,1263.52138,0,0,0,0,0.992005414,0,0,643.2926642,17.66142351,0,0,100.6409151,0,3.241098561,10.61303578,73.80213577,2.78E-17,35.26171492,250.6359637,73.80213577,2.78E-17,35.26171492,250.6359637
88,2199.948306,1780.877356,661.2807838,15.45385273,1.500019456,41.33835,12.61984471,0.521178995,0,63.86877712,1663.03632,235.0640379,0,414.6328674,519.3587169,20.10741045,0,224.2218951,953.3565003,0,0,91.90782818,0,16.76768129,0,0,254.4071137,51.94,41.3324933,0,70.6737301,0,0,0,107.3745713,0,58.92582486,51.98077868,107.3745713,0,58.92582486,51.98077868
89,2919.999163,2276.011713,311.3670275,6.8942115,0,703.1670474,78.77559384,0,75.02683685,1136.079505,2397.834264,48.61174541,20.6159569,8.032244986,854.2519833,4.938241786,2.845753023,40.74321127,1258.802363,0,0,18.8737208,0.301620437,19.55431443,0,0,699.725527,20.70844666,0,62.80991648,132.3634436,0,20.74957715,27.82585637,29.00053876,0,2.520481986,335.615393,29.00053876,0,2.520481986,335.615393
90,2864.556593,2027.090229,641.6725346,77.83083205,50.26536319,545.6851198,199.906441,16.17638352,0,670.5497985,1605.383924,144.0829815,50.36751248,1162.422471,421.8176451,29.18266837,6.643084537,343.9614042,1228.859429,0,0,124.7082406,9.17944421,1.009308882,0,0,523.6341871,0.223800851,0,270.81365,101.3821078,0,5.722108609,46.05046525,54.33201056,0,38.53492111,275.7261628,54.33201056,0,38.53492111,275.7261628
91,2963.44913,1762.303264,701.4438009,10.74211663,36.17284905,419.5388071,223.4936932,0,0,785.2412584,2060.882019,129.2198907,43.08012048,429.9133765,299.177556,0,1.473100636,236.3481718,1234.862099,0,0,72.32068405,17.43296265,3.52107316,0,0,528.2986872,31.68418897,17.60967452,163.2521082,115.1446795,0,8.92441825,189.4055302,62.11260487,0,33.79209013,231.2168722,62.11260487,0,33.79209013,231.2168722
92,2949.736487,2450.752071,410.9151666,7.740770415,24.21985828,900.0123049,33.89397521,1.108982649,0.447927882,519.9688952,1782.794363,301.6926498,13.73640807,642.5583222,707.218926,0,4.232361022,183.4803363,1245.992046,0,0,63.75797896,2.3305493,0,1.937701634,0,331.8864314,49.95698045,21.5433606,388.3214566,125.4091751,0,7.246341662,168.3227938,10.81596206,0,3.47E-16,364.5402244,10.81596206,0,3.47E-16,364.5402244
93,2581.098018,2234.771913,743.1829713,2.893459967,10.24368821,125.445305,494.0510794,0,4.288008576,252.1835855,1650.769039,117.1815059,37.66268045,1031.513406,638.0061195,17.29364372,5.022157164,256.9249536,1260.763642,0,0,74.10424239,1.274535723,0,0,0,332.0172893,0.163595952,0,126.959693,89.74150509,0,8.449815494,33.00942528,97.44368957,0,42.06811976,96.37783834,97.44368957,0,42.06811976,96.37783834
94,3225.444107,2264.86677,762.5628818,5.063290344,5.452739548,161.7226913,183.6639342,0,0,226.1204016,2261.21915,87.38112451,30.10428154,607.5669083,617.5965525,16.6718803,2.264331416,247.4343179,1245.395423,0,0,82.19422651,0.584546268,26.0025921,0,0,297.6310002,72.41463247,23.12920827,0,101.4923312,0,6.916566481,3.40449103,102.9930294,3.47E-17,43.07981948,161.6973199,102.9930294,3.47E-17,43.07981948,161.6973199
95,1962.608007,1740.645004,737.639774,3.751662615,1.778082,68.80037377,50.75564296,0,2.149697572,77.41113629,1309.072805,188.0598293,0,386.5991176,292.0977875,18.78516377,0,274.7322783,1192.740478,0,0,113.1949544,6.529071435,18.75506486,6.439960121,0,235.1658927,79.58436237,19.83373509,0,62.18335771,0,1.093144714,0,121.4078419,0,60.13366533,91.61341344,121.4078419,0,60.13366533,91.61341344
96,2386.999519,2171.668953,748.205474,11.22584354,5.79151773,31.02842486,271.3717942,0,1.719541105,50.99093081,1862.057752,222.6937273,16.80030736,245.7199902,525.1171402,0,4.220746632,163.4233469,1271.037916,0,0,71.62856401,0.235536315,0,0,0,261.708942,37.7420467,28.89053456,0,81.8788864,0,9.824790007,1.419987162,126.9492321,2.78E-17,40.73704968,75.61033325,126.9492321,2.78E-17,40.73704968,75.61033325
97,2674.262249,2225.840189,762.4076816,7.574474784,5.006607912,59.4112803,234.5941757,0.048403551,1.297079795,93.40615707,2234.761164,183.4572714,6.620467412,31.1901712,747.6679981,2.284477608,0.794578928,94.15335518,1252.678369,0,0,43.25871512,0,25.02582393,0,0,419.0767215,15.51916425,1.81139832,0,104.9773843,0,6.403385326,14.38514844,85.64937993,0,46.53424332,204.4816762,85.64937993,0,46.53424332,204.4816762
98,2840.451021,2184.092677,759.5630085,4.579861966,4.746223746,30.43385617,315.5366314,0.718757982,2.671459392,52.32730983,2162.405186,338.9055813,25.47140928,300.0520743,575.7896501,23.36232379,2.298853941,227.393283,1241.673031,0,0,86.78718741,0,28.66754861,0,0,305.2847334,51.94,6.963854458,0,65.50554987,0,6.158473373,0,117.3350155,2.78E-17,35.42093899,81.13780222,117.3350155,2.78E-17,35.42093899,81.13780222
99,3148.840074,2234.074154,623.6500597,5.568486347,0.026122601,292.2184105,295.5671577,0.360429798,29.66806493,651.8722843,1901.822658,233.5554175,23.65990648,673.1047418,695.5442685,13.63204564,2.958439303,178.6745548,1251.496233,0,0,60.65956912,6.320575377,17.75639805,0.160945142,0,470.918918,26.39385987,0,170.2833169,125.057048,0,0,13.20672287,70.51593482,0,18.18509404,253.916872,70.51593482,0,18.18509404,253.916872
100,3091.639467,2374.465383,486.2383452,24.98255164,79.82629002,663.9418702,94.0436353,0,0,635.5338629,1736.821653,135.9083638,34.82934736,1004.185988,743.2259538,18.75348273,7.047614159,262.2967091,1217.951255,0,0,72.74400874,9.607375255,0,0,0,416.6618589,17.6658968,14.50237157,259.3019023,101.48173,0,21.41717359,42.91832893,51.15116649,0,33.9773157,269.0970865,51.15116649,0,33.9773157,269.0970865
