datetime,PAR_fnf,CNS_fnf,DNP_fnf,FOL_fnf,ISB_fnf,KWH_fnf,EXC_fnf,MIL_fnf,yuba_fnf,NHG_fnf,NML_fnf,ORO_fnf,PFT_fnf,SHA_fnf,SUC_fnf,YRS_fnf
10/26/2006,0.129581554,0.00844361,1.607157062,0.141966615,3.298489157,1.860338046,1.557446121,3.375638664,0.004334913,0.016394002,0.670452967,1.910639718,4.590432863,7.757086646,0.18274286,0.292487869
10/27/2006,0.121567559,0.007919873,1.507525575,0.133032954,3.18207767,1.791450055,1.471683134,3.217732213,0.004133931,0.015464122,0.628460931,1.836196724,4.422317648,7.555292825,0.175163293,0.276207552
10/28/2006,0.114243328,0.007427065,1.418501353,0.12471511,3.024353831,1.718248668,1.394193178,3.069548555,0.003932717,0.014574849,0.590435953,1.762405591,4.236570089,7.346803789,0.16778317,0.260495129
10/29/2006,0.107501128,0.006966166,1.335937139,0.117208562,2.865351312,1.646065361,1.320319642,2.927875614,0.003747729,0.01370733,0.555919838,1.689923454,4.051870208,7.146813689,0.160929239,0.246455242
10/30/2006,0.101791699,0.006581951,1.264496433,0.11088193,2.724253272,1.583553272,1.256337688,2.80568969,0.003594164,0.013013277,0.52642427,1.624777012,3.900525988,6.982999267,0.154863707,0.234672695
10/31/2006,0.096629064,0.00625221,1.207960688,0.10519685,2.606913945,1.529933652,1.202989507,2.705669742,0.003458263,0.012408845,0.500017387,1.567425131,3.798999885,6.83098908,0.149436284,0.224110153
11/1/2006,0.049466082,0.005950212,1.182965858,0.057482529,4.55728582,1.281828708,0.71211247,3.244957137,0.003376311,0.013581919,0.116377512,0.11865004,3.989419776,1.525299032,0.235232222,0.009853822
11/2/2006,0.133076193,0.156556848,1.215011379,0.769941954,4.432989136,1.25429698,0.713063813,3.260795968,0.407634358,0.494669851,0.176906542,3.282157986,4.019947731,21.07881978,0.227973941,0.591894481
11/3/2006,0.383886132,0.101103045,1.758017482,0.938979462,4.382522352,1.247104268,0.813447948,3.628422254,0.763520509,1.203032041,0.30365855,14.91473774,4.361023337,93.50688746,0.221097086,1.076848638
11/4/2006,0.074833456,0.021878467,1.87093281,0.266721317,4.324424296,1.244657245,0.867758101,3.63729322,0.586949843,0.013685708,0.126853102,1.406469937,4.545426843,8.75095544,0.214785103,0.789629791
11/5/2006,0.082980476,0.006722567,1.781656194,0.125126978,4.260125843,1.237559384,0.896983065,3.759154869,0.078821113,0.013762077,0.131842755,0.444253348,4.662229388,3.00033925,0.208961192,0.088644253
11/6/2006,0.085394827,0.006772674,1.780956238,0.128361787,4.176161112,1.220573969,0.875038681,3.715260733,0.068557958,0.013688962,0.13332104,0.454569996,4.601677199,2.202680959,0.203320914,0.083442658
11/7/2006,0.084056118,0.006664079,1.675562127,0.124846312,4.063445043,1.195286403,0.83438552,3.603566322,0.058537832,0.013410351,0.131693052,0.440878237,4.440718049,2.397424435,0.197815327,0.075519087
11/8/2006,2.189017989,2.651376856,5.112236494,11.92122513,3.922696514,1.165972598,1.842062129,4.193073834,6.557232877,2.750028542,3.827245626,25.65136194,4.287021339,115.5098581,0.192631735,9.529834109
11/9/2006,0.195802963,0.02451655,2.619117833,0.726803566,3.809825776,1.164272413,1.185663243,4.342904243,0.616743716,0.076326597,0.246119209,1.998595364,4.428788118,8.077730003,0.425395461,0.75946137
11/10/2006,0.222354994,0.026388541,2.938779446,0.728652034,3.710507022,1.133205247,1.317270998,4.422695115,0.417421417,0.021629608,0.294900675,1.787495056,4.42862499,6.695930181,0.184674041,0.584386366
11/11/2006,0.261393023,0.148206807,2.810531193,1.274187023,3.638864054,1.118799721,1.285232541,4.439544229,0.728262687,0.083870763,0.351727276,11.19221943,4.398544537,69.49705784,0.181020923,2.194172232
11/12/2006,0.261070535,0.035370994,3.071946814,0.759423216,3.636473578,1.111105846,1.361373114,4.566780926,1.297751916,0.023802326,0.474839263,7.115211768,4.51081805,11.98727263,0.177991674,1.167293683
11/13/2006,13.2018592,8.907932132,22.22564466,39.22291837,5.049143472,3.079810321,11.29522837,14.95015817,17.49125657,37.23979209,19.82687096,84.75256912,8.212577219,114.6413456,0.877001944,24.27054931
11/14/2006,27.6774654,10.27817166,33.18381861,105.3897014,11.85381539,8.175052698,19.02034174,24.25090355,46.72205322,8.30659611,30.40577559,166.1376481,12.93631088,137.5085371,2.536062837,65.23339544
