dv,seed,project,share_FRS,share_COF,share_TUL,share_KWD,share_EXE,share_LDS,share_LND,share_PRT,share_LWT,share_TPD,share_SAU,share_TBA,share_PIX,share_DLE,share_KRT,share_SSJ,share_SFW,share_NKN,share_ARV,share_DLR,share_ID4,share_SMI,share_TJC,share_BLR,share_LHL,share_BDM,share_WRM,share_COB,share_BVA,share_CWO,share_HML,share_KND,share_RRB,share_CNS,share_ALT,share_CWC,share_MAD,share_SOC,share_SOB,share_CCA,obj0,obj1,obj2,obj3,obj4,share_OTL,share_OFK
1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33427286292673275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3314542741465345,0.0,0.33427286292673275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.233116,-26.114008,-19.473816,134.322097,-3.0,,
1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28138977639109464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3021054731639741,0.0,0.4165047504449312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.637031,-23.874626,-22.048183,124.85361,-3.0,,
1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292174497328997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448842858474652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32589826441963504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.291832,-18.432583,9.798579,82.230965,-3.0,,
1,0,3,0.0,0.0,0.0,0.2748337499876486,0.0,0.0,0.0,0.0,0.34784389942833865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37732235058401276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.5248,-18.961028,-15.789892,129.072468,-3.0,,
1,0,3,0.0,0.0,0.0,0.16537180051378875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21821462509058825,0.0,0.0,0.0,0.0,0.0,0.17929525550756742,0.0,0.23307450077687278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20404381811118272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.870215,-42.603469,9.454899,106.957975,-5.0,,
1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21552736471070819,0.0,0.0,0.0,0.23371337446956678,0.0,0.0,0.0,0.0,0.0,0.23292001011181826,0.0,0.31783925070790675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.520922,-42.392053,-9.555876,112.04817,-4.0,,
1,0,3,0.0,0.0,0.0,0.1325456569552259,0.0,0.0,0.0,0.0,0.16197309921208938,0.0,0.0,0.0,0.1782952662121968,0.12761300930856803,0.0,0.0,0.0,0.0,0.20009456131879913,0.0,0.19947840699312072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.268251,-53.226238,0.350749,132.018182,-6.0,,
1,0,3,0.0,0.22692246888503514,0.0,0.0,0.0,0.0,0.0,0.0,0.22878242040413527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24671484416169243,0.0,0.2975802665491372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.125607,-28.564273,-12.813061,123.175339,-4.0,,
1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36104732608350304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3568577329116301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28209494100486693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.315067,-30.47882,9.159418,98.820928,-3.0,,
1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4248707024876357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5751292975123643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.726054,-29.912657,-8.008553,113.755555,-2.0,,
