label, proj, share_FRS, share_COF, share_TUL, share_KWD, share_EXE, share_LDS, share_LND, share_PRT, share_LWT, share_TPD, share_SAU, share_TBA, share_PIX, share_DLE, share_KRT, share_SSJ, share_SFW, share_NKN, share_ARV, share_DLR, share_ID4, share_SMI, share_TJC, share_BLR, share_LHL, share_BDM, share_WRM, share_COB, share_BVA, share_CWO, share_HML, share_KND, share_RRB, share_CNS, share_ALT, share_CWC, share_MAD, share_SOC, share_SOB, share_CCA, share_OTL, share_OFK, cwg_p, ap_p, cwg_np, cog_wp_p90, n_p, cog_wp_p50, cog_p_p90, cog_p_p50
soln1248, 3.0, 0.254243114505718, 0.0, 0.0, 0.018187926776115068, 0.0, 0.0, 0.0, 0.0, 0.09181394118013325, 0.0, 0.0, 0.0, 0.027645752475042033, 0.0, 0.012659727555122005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39821627474177235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06478824640418422, 0.08768497955625662, 0.04476003680565645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 106.53115567445126, 45.30023685547483, -9.758811476872923, 194.1836813302842, 9, 135.59895760078098, 59.99908893647013, 47.29397857165135
soln1249, 3.0, 0.29975804231957043, 0.0, 0.0, 0.03747570742795428, 0.0, 0.0, 0.0, 0.0, 0.021360718924083685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05092047525009445, 0.0, 0.48390018617764424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010997981244093648, 0.0, 0.0, 0.0, 0.0, 0.09558688865655929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.08520157197512, 32.87950001410718, 23.768230602255397, 1000000.0, 7, 161.16258564826327, 92.124023686561, 63.35278186104448
soln1251, 3.0, 0.1617972813128665, 0.0, 0.0, 0.022229477375476477, 0.0, 0.028673600869315315, 0.0, 0.01671043682300436, 0.06312156396128517, 0.0, 0.0, 0.04283509671224484, 0.02008367587463706, 0.0, 0.10366120891145927, 0.0, 0.0, 0.0, 0.01705738110210393, 0.0, 0.30112197992792966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02262559245469491, 0.0, 0.0, 0.0, 0.0, 0.10269184170911592, 0.022833881185633207, 0.0745569817802334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 102.79693040833392, 58.066798834514195, -5.137486540041226, 1000000.0, 14, 192.61733060019776, 64.92987447304891, 49.734578941919594
soln1254, 3.0, 0.25908723644763354, 0.05178945299061286, 0.0, 0.033168526072639704, 0.0, 0.0, 0.0, 0.0, 0.08395537425664716, 0.0, 0.0, 0.04728244950115496, 0.0, 0.0, 0.04812188529021477, 0.0, 0.0, 0.0, 0.041757507249225924, 0.0, 0.361265641126456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0607039858455792, 0.0, 0.012867941219835847, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.10799573147392, 37.49255838945998, 18.628109967946546, 213.9940900726994, 10, 142.31956858111909, 82.51195550336868, 61.79523908379305
soln1255, 3.0, 0.18939015866407302, 0.0, 0.0, 0.011740920827882084, 0.0, 0.0, 0.0, 0.011427287353057546, 0.04881894594337502, 0.0, 0.0, 0.024964535291692916, 0.06650063622790607, 0.0, 0.05296752411531234, 0.0, 0.10431587233532173, 0.0, 0.022926262357503557, 0.0, 0.32875681205014273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012761780555827447, 0.0, 0.0, 0.0, 0.0, 0.10401257842560131, 0.0, 0.02141668585230414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.64766542769262, 61.462970648427415, 14.156811253605301, 1000000.0, 13, 174.8796945918081, 80.96627797462088, 56.150745088591066
soln1256, 3.0, 0.22325046993030795, 0.0, 0.0, 0.03999761254029343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07700767415046561, 0.04908689748401269, 0.0, 0.03317359130803352, 0.0, 0.0, 0.0, 0.062352220478677604, 0.0, 0.3921334009242534, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10172312484599473, 0.0, 0.021275008337961053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 93.89438472037142, 51.472728716132316, 10.888342409895078, 210.5460114438959, 9, 148.98821521398338, 68.69125910366203, 53.780269356951855
soln1259, 3.0, 0.21642665071485032, 0.0, 0.0, 0.020903596843351527, 0.0, 0.0, 0.0, 0.030760709681513187, 0.05146565284200719, 0.0, 0.0, 0.03317165750829611, 0.04299784031878973, 0.15253541727317688, 0.0, 0.0, 0.04196280042383704, 0.0, 0.012820974767793614, 0.0, 0.294954483435057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08816460896951671, 0.0, 0.013835607221810707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 87.44082393560019, 59.862896917202114, 11.611090742660956, 249.18078895181733, 12, 155.9321053748498, 77.07103489056018, 59.32668995249702
soln126, 3.0, 0.1385179831332446, 0.0, 0.0, 0.03429169973221959, 0.06776526183583031, 0.10772944989130993, 0.0, 0.02591597602287433, 0.06821652354797188, 0.05521359721041367, 0.03874868580682936, 0.03436235838647423, 0.02178092753861084, 0.07394623237651786, 0.10750678120786128, 0.029834569161384362, 0.016321282155467534, 0.0, 0.01891585637999964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017713936776543523, 0.02396585496393663, 0.0, 0.0, 0.0, 0.043302484352503744, 0.0, 0.0470726798674565, 0.028877859652550155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 85.88919946709332, 71.70101535787148, -17.63880025951165, 1000000.0, 20, 295.89667792622254, 82.08060705144806, 59.57949121236416
soln1261, 3.0, 0.18716244197079793, 0.0, 0.0, 0.014951108104377327, 0.0, 0.0, 0.0, 0.02735844481116648, 0.05814361271500184, 0.0, 0.0, 0.0, 0.04702432842818432, 0.0, 0.0, 0.0, 0.08709012698337687, 0.0, 0.1121547627782386, 0.0, 0.30508499342760603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016299474830280516, 0.0, 0.0, 0.0, 0.0, 0.0919727876774764, 0.019969942334549153, 0.03278797593894451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 104.56234650960378, 59.9578036788971, -6.256115345458306, 1000000.0, 12, 177.47860332290372, 63.6121416211753, 48.84635751460365
soln1262, 3.0, 0.11166198747232352, 0.0, 0.0, 0.011548610431204129, 0.0, 0.030932132451551624, 0.0, 0.013754984449134342, 0.03757528432137913, 0.0, 0.041308445328494536, 0.0331863675080346, 0.01837347537271536, 0.08982504109396433, 0.07725307824922335, 0.151820576314426, 0.05541335156157065, 0.0, 0.02464942782227707, 0.0, 0.19148248276059296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013550830309581485, 0.0, 0.0, 0.0, 0.0, 0.047849718722066586, 0.0, 0.04981420583146043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.75800027155607, 70.12858208344093, 2.439860126135469, 1000000.0, 17, 225.6297877424136, 86.86810584292941, 59.88506760555698
