label, proj, share_FRS, share_COF, share_TUL, share_KWD, share_EXE, share_LDS, share_LND, share_PRT, share_LWT, share_TPD, share_SAU, share_TBA, share_PIX, share_DLE, share_KRT, share_SSJ, share_SFW, share_NKN, share_ARV, share_DLR, share_ID4, share_SMI, share_TJC, share_BLR, share_LHL, share_BDM, share_WRM, share_COB, share_BVA, share_CWO, share_HML, share_KND, share_RRB, share_CNS, share_ALT, share_CWC, share_MAD, share_SOC, share_SOB, share_CCA, share_OTL, share_OFK, cwg_p, ap_p, cwg_np, cog_wp_p90, n_p, cog_wp_p50, cog_p_p90, cog_p_p50
soln1, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28138977639109464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3021054731639741, 0.0, 0.4165047504449312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 65.28650631868712, 25.517769406164813, 23.58195321122005, 119.51592469521736, 3, 89.15815496855367, 99.56356987684799, 77.70177131870724
soln1006, 3.0, 0.1498923275805379, 0.0, 0.0, 0.050491303104034505, 0.0, 0.027450431979915577, 0.0, 0.014655158301070455, 0.037904964696043576, 0.0, 0.0, 0.035539806331154916, 0.013674022686541321, 0.1148866519218854, 0.0, 0.13217445012981455, 0.038828108980415305, 0.0, 0.012064416436574271, 0.0, 0.2535161752803215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021108566706816646, 0.0, 0.0, 0.0, 0.0, 0.06554962601141458, 0.0, 0.03226398985345951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 87.79643607230183, 67.04755327158631, 6.390468317280121, 1000000.0, 15, 195.45152065003734, 78.92146605180963, 58.01539692094126
soln1016, 3.0, 0.2527152738576258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1431786551991811, 0.0, 0.0, 0.03900802028050945, 0.0, 0.0, 0.0641399806357548, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4685726809782655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.032385389048663435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 66.17920982320533, 18.157966315470304, 24.281644167492775, 189.93508187477286, 6, 128.30696582663577, 94.80902039568986, 76.82301855951002
soln1019, 3.0, 0.17516850968143816, 0.0, 0.0, 0.025953829934676157, 0.0, 0.04727412258374578, 0.0, 0.03157866503767589, 0.0, 0.0, 0.027688464271130628, 0.029958705959500752, 0.04187425898982866, 0.14076264794203072, 0.013580670623099922, 0.0, 0.06747421038284568, 0.0, 0.012604151955938427, 0.0, 0.2692709171502733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012106860919438304, 0.0, 0.0, 0.0, 0.0, 0.07501404019272012, 0.0, 0.029689944375657536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.67990070857404, 62.664135685989265, 3.0012152871777444, 1000000.0, 15, 186.30825192377512, 77.06937874782712, 56.713779238159326
soln1047, 3.0, 0.20788938137864632, 0.0, 0.055076305616236415, 0.013470383746586812, 0.0, 0.0, 0.0, 0.0, 0.04536835160959401, 0.0, 0.0, 0.03400386618427301, 0.022505172676934238, 0.0, 0.05359753793680039, 0.0, 0.08010522763496676, 0.0, 0.01242823497250151, 0.0, 0.33054494501186804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015336548897599235, 0.0, 0.0, 0.0, 0.0, 0.1296740443339933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.44124494578685, 61.09145105603836, 18.16749167613806, 1000000.0, 12, 190.54767581793658, 78.6932552243305, 57.405348696255054
soln106, 3.0, 0.1521673680746089, 0.0, 0.0, 0.059906299713675955, 0.06292115994388738, 0.016780189387658594, 0.0, 0.020162076080678364, 0.08357666787060698, 0.03587859005064398, 0.03307746679604433, 0.03776147922017397, 0.03594989136985197, 0.0, 0.0755652048894337, 0.017762878529436175, 0.014005282308973832, 0.0, 0.016621890440096126, 0.0, 0.16370866381160826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030751073402119904, 0.0510180141864578, 0.09238580392404389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 88.971874801189, 60.35934267804517, -6.602666256096628, 401.638981489535, 18, 222.98834463911885, 76.42638706735127, 57.78714177886211
soln1061, 3.0, 0.19527803554857592, 0.0, 0.0, 0.0122089581067633, 0.0, 0.021761010778785072, 0.0, 0.014541492233984037, 0.03972383299811466, 0.0, 0.0, 0.03508395863163597, 0.01942406772117085, 0.09497738848555341, 0.07136693638123391, 0.16158226014368918, 0.029539623687293463, 0.0, 0.026058878116169016, 0.0, 0.20259203117323737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05140078017073058, 0.0, 0.024460745823063325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.26089962839994, 66.5290021152916, 2.4677984372251527, 279.35804067926904, 15, 174.5051389641357, 79.30801622234397, 61.625292915720934
soln1082, 3.0, 0.1776228496096718, 0.0, 0.14125098429016975, 0.014759583220130372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051350508607481866, 0.023172016095981206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02469392440519929, 0.0, 0.31735291234768587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028510700722503522, 0.029614881875312065, 0.0, 0.0, 0.0, 0.11215053176338094, 0.023691050310795582, 0.055830056751687854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 114.66400509429177, 52.89877979669109, -21.194164046793187, 1000000.0, 12, 185.86014623502587, 56.200703442577904, 44.34228956884573
soln1083, 3.0, 0.18285247824481285, 0.0, 0.036635644177203996, 0.022659919481100424, 0.0, 0.08167102724014709, 0.0, 0.038018262393824796, 0.05380280151675137, 0.0, 0.027585720378875755, 0.05189288333602076, 0.0, 0.0, 0.027355554919819197, 0.0, 0.06635689690147878, 0.0, 0.022222995219840523, 0.0, 0.3051099982835118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06633901681638257, 0.0, 0.017496801090230062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77.19926056355673, 43.77375639859792, 18.249506019589518, 270.1052178272929, 14, 187.51020479217155, 88.21739732823559, 64.02004449144054
soln112, 3.0, 0.15951321791901987, 0.0, 0.0, 0.037812428294523824, 0.05856037040224687, 0.03094227522543763, 0.0, 0.0, 0.07500578434154394, 0.014701249337934407, 0.036486620486676696, 0.03962812871401433, 0.01814263316001333, 0.07008673877626168, 0.13464334364801056, 0.015038010588897865, 0.01786814639358081, 0.0, 0.019879612243930114, 0.0, 0.1426746763363506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010508899103678554, 0.0, 0.0, 0.0, 0.0, 0.04904961951088343, 0.0, 0.06945824551699559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.06040763619039, 67.40652477637667, 1.0251685950883334, 846.3532896045917, 18, 207.52582168956104, 88.75787115877162, 61.84678251324967
