"Parameter","Region","Crop","Input","Level"
"Leontief","D08","FRTOM","LABOR",0.00
"Leontief","D08","FRTOM","SUPPL",0.00
"Leontief","D08","GRAIN","LAND",1.00
"Leontief","D08","GRAIN","WATER",1.50
"Leontief","D08","GRAIN","LABOR",0.00
"Leontief","D08","GRAIN","SUPPL",0.07
"Leontief","D08","ONGAR","LAND",1.00
"Leontief","D08","ONGAR","WATER",3.59
"Leontief","D08","ONGAR","LABOR",0.83
"Leontief","D08","ONGAR","SUPPL",2.60
"Leontief","D08","OTHDEC","LAND",1.00
"Leontief","D08","OTHDEC","WATER",4.27
"Leontief","D08","OTHDEC","LABOR",0.05
"Leontief","D08","OTHDEC","SUPPL",0.35
"Leontief","D08","OTHFLD","LAND",1.00
"Leontief","D08","OTHFLD","WATER",3.10
"Leontief","D08","OTHFLD","LABOR",0.32
"Leontief","D08","OTHFLD","SUPPL",0.71
"Leontief","D08","OTHTRK","LAND",0.00
"Leontief","D08","OTHTRK","WATER",0.00
"Leontief","D08","OTHTRK","LABOR",0.00
"Leontief","D08","OTHTRK","SUPPL",0.00
"Leontief","D08","PASTR","LAND",0.00
"Leontief","D08","PASTR","WATER",0.00
"Leontief","D08","PASTR","LABOR",0.00
"Leontief","D08","PASTR","SUPPL",0.00
"Leontief","D08","POTATO","LAND",0.00
"Leontief","D08","POTATO","WATER",0.00
"Leontief","D08","POTATO","LABOR",0.00
"Leontief","D08","POTATO","SUPPL",0.00
"Leontief","D08","PRTOM","LAND",1.00
"Leontief","D08","PRTOM","WATER",2.31
"Leontief","D08","PRTOM","LABOR",0.39
"Leontief","D08","PRTOM","SUPPL",1.01
"Leontief","D08","RICE","LAND",0.00
"Leontief","D08","RICE","WATER",0.00
"Leontief","D08","RICE","LABOR",0.00
"Leontief","D08","RICE","SUPPL",0.00
"Leontief","D08","SAFLR","LAND",0.00
"Leontief","D08","SAFLR","WATER",0.00
"Leontief","D08","SAFLR","LABOR",0.00
"Leontief","D08","SAFLR","SUPPL",0.00
"Leontief","D08","SBEET","LAND",0.00
"Leontief","D08","SBEET","WATER",0.00
"Leontief","D08","SBEET","LABOR",0.00
"Leontief","D08","SBEET","SUPPL",0.00
"Leontief","D08","SUBTRP","LAND",1.00
"Leontief","D08","SUBTRP","WATER",3.59
"Leontief","D08","SUBTRP","LABOR",5.03
"Leontief","D08","SUBTRP","SUPPL",13.03
"Leontief","D08","VINE","LAND",1.00
"Leontief","D08","VINE","WATER",3.75
"Leontief","D08","VINE","LABOR",2.02
"Leontief","D08","VINE","SUPPL",1.22
"Leontief","D09","ALFAL","LAND",0.00
"Leontief","D09","ALFAL","WATER",0.00
"Leontief","D09","ALFAL","LABOR",0.00
"Leontief","D09","ALFAL","SUPPL",0.00
"Leontief","D09","ALPIS","LAND",1.00
"Leontief","D09","ALPIS","WATER",4.59
"Leontief","D09","ALPIS","LABOR",0.04
"Leontief","D09","ALPIS","SUPPL",0.08
"Leontief","D09","CORN","LAND",0.00
"Leontief","D09","CORN","WATER",0.00
"Leontief","D09","CORN","LABOR",0.00
"Leontief","D09","CORN","SUPPL",0.00
"Leontief","D09","COTTN","LAND",0.00
"Leontief","D09","COTTN","WATER",0.00
"Leontief","D09","COTTN","LABOR",0.00
"Leontief","D09","COTTN","SUPPL",0.00
"Leontief","D09","CUCUR","LAND",1.00
"Leontief","D09","CUCUR","WATER",2.46
"Leontief","D09","CUCUR","LABOR",31.01
"Leontief","D09","CUCUR","SUPPL",14.85
"Leontief","D09","DRYBN","LAND",0.00
"Leontief","D09","DRYBN","WATER",0.00
"Leontief","D09","DRYBN","LABOR",0.00
"Leontief","D09","DRYBN","SUPPL",0.00
"Leontief","D09","FRTOM","LAND",0.00
"Leontief","D09","FRTOM","WATER",0.00
"Leontief","D09","FRTOM","LABOR",0.00
"Leontief","D09","FRTOM","SUPPL",0.00
"Leontief","D09","GRAIN","LAND",1.00
"Leontief","D09","GRAIN","WATER",1.46
"Leontief","D09","GRAIN","LABOR",0.05
"Leontief","D09","GRAIN","SUPPL",0.86
"Leontief","D09","ONGAR","LAND",0.00
"Leontief","D09","ONGAR","WATER",0.00
"Leontief","D09","ONGAR","LABOR",0.00
"Leontief","D09","ONGAR","SUPPL",0.00
"Leontief","D09","OTHDEC","LAND",1.00
"Leontief","D09","OTHDEC","WATER",4.32
"Leontief","D09","OTHDEC","LABOR",0.08
"Leontief","D09","OTHDEC","SUPPL",0.56
"Leontief","D09","OTHFLD","LAND",0.00
"Leontief","D09","OTHFLD","WATER",0.00
"Leontief","D09","OTHFLD","LABOR",0.00
"Leontief","D09","OTHFLD","SUPPL",0.00
"Leontief","D09","OTHTRK","LAND",1.00
"Leontief","D09","OTHTRK","WATER",2.05
"Leontief","D09","OTHTRK","LABOR",2.22
"Leontief","D09","OTHTRK","SUPPL",11.92
"Leontief","D09","PASTR","LAND",0.00
"Leontief","D09","PASTR","WATER",0.00
"Leontief","D09","PASTR","LABOR",0.00
"Leontief","D09","PASTR","SUPPL",0.00
"Leontief","D09","POTATO","LAND",1.00
"Leontief","D09","POTATO","WATER",1.98
"Leontief","D09","POTATO","LABOR",1.94
"Leontief","D09","POTATO","SUPPL",7.81
"Leontief","D09","PRTOM","LAND",0.00
"Leontief","D09","PRTOM","WATER",0.00
"Leontief","D09","PRTOM","LABOR",0.00
"Leontief","D09","PRTOM","SUPPL",0.00
"Leontief","D09","RICE","LAND",0.00
"Leontief","D09","RICE","WATER",0.00
"Leontief","D09","RICE","LABOR",0.00
"Leontief","D09","RICE","SUPPL",0.00
"Leontief","D09","SAFLR","LAND",0.00
"Leontief","D09","SAFLR","WATER",0.00
"Leontief","D09","SAFLR","LABOR",0.00
"Leontief","D09","SAFLR","SUPPL",0.00
"Leontief","D09","SBEET","LAND",0.00
"Leontief","D09","SBEET","WATER",0.00
"Leontief","D09","SBEET","LABOR",0.00
"Leontief","D09","SBEET","SUPPL",0.00
"Leontief","D09","SUBTRP","LAND",1.00
"Leontief","D09","SUBTRP","WATER",4.16
"Leontief","D09","SUBTRP","LABOR",0.04
"Leontief","D09","SUBTRP","SUPPL",0.10
"Leontief","D09","VINE","LAND",1.00
"Leontief","D09","VINE","WATER",3.75
"Leontief","D09","VINE","LABOR",0.10
"Leontief","D09","VINE","SUPPL",0.06
"Leontief","D10","ALFAL","LAND",0.00
"Leontief","D10","ALFAL","WATER",0.00
"Leontief","D10","ALFAL","LABOR",0.00
"Leontief","D10","ALFAL","SUPPL",0.00
"Leontief","D10","ALPIS","LAND",0.00
"Leontief","D10","ALPIS","WATER",0.00
"Leontief","D10","ALPIS","LABOR",0.00
"Leontief","D10","ALPIS","SUPPL",0.00
"Leontief","D10","CORN","LAND",0.00
"Leontief","D10","CORN","WATER",0.00
"Leontief","D10","CORN","LABOR",0.00
"Leontief","D10","CORN","SUPPL",0.00
"Leontief","D10","COTTN","LAND",1.00
"Leontief","D10","COTTN","WATER",3.55
"Leontief","D10","COTTN","LABOR",0.01
"Leontief","D10","COTTN","SUPPL",0.06
"Leontief","D10","CUCUR","LAND",0.00
"Leontief","D10","CUCUR","WATER",0.00
"Leontief","D10","CUCUR","LABOR",0.00
"Leontief","D10","CUCUR","SUPPL",0.00
"Leontief","D10","DRYBN","LAND",1.00
"Leontief","D10","DRYBN","WATER",2.19
"Leontief","D10","DRYBN","LABOR",0.28
"Leontief","D10","DRYBN","SUPPL",0.75
"Leontief","D10","FRTOM","LAND",0.00
"Leontief","D10","FRTOM","WATER",0.00
"Leontief","D10","FRTOM","LABOR",0.00
"Leontief","D10","FRTOM","SUPPL",0.00
"Leontief","D10","GRAIN","LAND",1.00
"Leontief","D10","GRAIN","WATER",1.57
"Leontief","D10","GRAIN","LABOR",0.03
"Leontief","D10","GRAIN","SUPPL",0.50
"Leontief","D10","ONGAR","LAND",1.00
"Leontief","D10","ONGAR","WATER",3.65
"Leontief","D10","ONGAR","LABOR",1.40
"Leontief","D10","ONGAR","SUPPL",4.39
"Leontief","D10","OTHDEC","LAND",0.00
"Leontief","D10","OTHDEC","WATER",0.00
"Leontief","D10","OTHDEC","LABOR",0.00
"Leontief","D10","OTHDEC","SUPPL",0.00
"Leontief","D10","OTHFLD","LAND",0.00
"Leontief","D10","OTHFLD","WATER",0.00
"Leontief","D10","OTHFLD","LABOR",0.00
"Leontief","D10","OTHFLD","SUPPL",0.00
"Leontief","D10","OTHTRK","LAND",0.00
"Leontief","D10","OTHTRK","WATER",0.00
"Leontief","D10","OTHTRK","LABOR",0.00
"Leontief","D10","OTHTRK","SUPPL",0.00
"Leontief","D10","PASTR","LAND",0.00
"Leontief","D10","PASTR","WATER",0.00
"Leontief","D10","PASTR","LABOR",0.00
"Leontief","D10","PASTR","SUPPL",0.00
"Leontief","D10","POTATO","LAND",0.00
"Leontief","D10","POTATO","WATER",0.00
"Leontief","D10","POTATO","LABOR",0.00
"Leontief","D10","POTATO","SUPPL",0.00
"Leontief","D10","PRTOM","LAND",1.00
"Leontief","D10","PRTOM","WATER",2.31
"Leontief","D10","PRTOM","LABOR",0.09
"Leontief","D10","PRTOM","SUPPL",0.25
"Leontief","D10","RICE","LAND",0.00
"Leontief","D10","RICE","WATER",0.00
"Leontief","D10","RICE","LABOR",0.00
"Leontief","D10","RICE","SUPPL",0.00
"Leontief","D10","SAFLR","LAND",1.00
"Leontief","D10","SAFLR","WATER",2.49
"Leontief","D10","SAFLR","LABOR",0.04
"Leontief","D10","SAFLR","SUPPL",0.08
"Leontief","D10","SBEET","LAND",0.00
"Leontief","D10","SBEET","WATER",0.00
"Leontief","D10","SBEET","LABOR",0.00
"Leontief","D10","SBEET","SUPPL",0.00
"Leontief","D10","SUBTRP","LAND",0.00
"Leontief","D10","SUBTRP","WATER",0.00
"Leontief","D10","SUBTRP","LABOR",0.00
"Leontief","D10","SUBTRP","SUPPL",0.00
"Leontief","D10","VINE","LAND",0.00
"Leontief","D10","VINE","WATER",0.00
"Leontief","D10","VINE","LABOR",0.00
"Leontief","D10","VINE","SUPPL",0.00
"Leontief","D11","ALFAL","LAND",1.00
"Leontief","D11","ALFAL","WATER",5.22
"Leontief","D11","ALFAL","LABOR",0.57
"Leontief","D11","ALFAL","SUPPL",7.17
"Leontief","D11","ALPIS","LAND",1.00
"Leontief","D11","ALPIS","WATER",4.46
"Leontief","D11","ALPIS","LABOR",0.02
"Leontief","D11","ALPIS","SUPPL",0.05
"Leontief","D11","CORN","LAND",0.00
"Leontief","D11","CORN","WATER",0.00
"Leontief","D11","CORN","LABOR",0.00
"Leontief","D11","CORN","SUPPL",0.00
"Leontief","D11","COTTN","LAND",0.00
"Leontief","D11","COTTN","WATER",0.00
"Leontief","D11","COTTN","LABOR",0.00
"Leontief","D11","COTTN","SUPPL",0.00
"Leontief","D11","CUCUR","LAND",0.00
"Leontief","D11","CUCUR","WATER",0.00
"Leontief","D11","CUCUR","LABOR",0.00
"Leontief","D11","CUCUR","SUPPL",0.00
"Leontief","D11","DRYBN","LAND",0.00
"Leontief","D11","DRYBN","WATER",0.00
"Leontief","D11","DRYBN","LABOR",0.00
"Leontief","D11","DRYBN","SUPPL",0.00
"Leontief","D11","FRTOM","LAND",0.00
"Leontief","D11","FRTOM","WATER",0.00
"Leontief","D11","FRTOM","LABOR",0.00
"Leontief","D11","FRTOM","SUPPL",0.00
"Leontief","D11","GRAIN","LAND",1.00
"Leontief","D11","GRAIN","WATER",1.53
"Leontief","D11","GRAIN","LABOR",0.01
"Leontief","D11","GRAIN","SUPPL",0.24
"Leontief","D11","ONGAR","LAND",0.00
"Leontief","D11","ONGAR","WATER",0.00
"Leontief","D11","ONGAR","LABOR",0.00
"Leontief","D11","ONGAR","SUPPL",0.00
"Leontief","D11","OTHDEC","LAND",1.00
"Leontief","D11","OTHDEC","WATER",4.19
"Leontief","D11","OTHDEC","LABOR",0.01
"Leontief","D11","OTHDEC","SUPPL",0.08
"Leontief","D11","OTHFLD","LAND",0.00
"Leontief","D11","OTHFLD","WATER",0.00
"Leontief","D11","OTHFLD","LABOR",0.00
"Leontief","D11","OTHFLD","SUPPL",0.00
"Leontief","D11","OTHTRK","LAND",0.00
"Leontief","D11","OTHTRK","WATER",0.00
"Leontief","D11","OTHTRK","LABOR",0.00
"Leontief","D11","OTHTRK","SUPPL",0.00
"Leontief","D11","PASTR","LAND",1.00
"Leontief","D11","PASTR","WATER",5.69
"Leontief","D11","PASTR","LABOR",0.11
"Leontief","D11","PASTR","SUPPL",0.27
"Leontief","D11","POTATO","LAND",0.00
"Leontief","D11","POTATO","WATER",0.00
"Leontief","D11","POTATO","LABOR",0.00
"Leontief","D11","POTATO","SUPPL",0.00
"Leontief","D11","PRTOM","LAND",0.00
"Leontief","D11","PRTOM","WATER",0.00
"Leontief","D11","PRTOM","LABOR",0.00
"Leontief","D11","PRTOM","SUPPL",0.00
"Leontief","D11","RICE","LAND",0.00
"Leontief","D11","RICE","WATER",0.00
"Leontief","D11","RICE","LABOR",0.00
"Leontief","D11","RICE","SUPPL",0.00
"Leontief","D11","SAFLR","LAND",1.00
"Leontief","D11","SAFLR","WATER",2.42
"Leontief","D11","SAFLR","LABOR",0.22
"Leontief","D11","SAFLR","SUPPL",0.43
"Leontief","D11","SBEET","LAND",0.00
"Leontief","D11","SBEET","WATER",0.00
"Leontief","D11","SBEET","LABOR",0.00
"Leontief","D11","SBEET","SUPPL",0.00
"Leontief","D11","SUBTRP","LAND",0.00
"Leontief","D11","SUBTRP","WATER",0.00
"Leontief","D11","SUBTRP","LABOR",0.00
"Leontief","D11","SUBTRP","SUPPL",0.00
"Leontief","D11","VINE","LAND",1.00
"Leontief","D11","VINE","WATER",3.76
"Leontief","D11","VINE","LABOR",1.79
"Leontief","D11","VINE","SUPPL",1.08
"Leontief","fk13","ALFAL","LAND",1.00
"Leontief","fk13","ALFAL","WATER",5.24
"Leontief","fk13","ALFAL","LABOR",0.00
"Leontief","fk13","ALFAL","SUPPL",0.04
"Leontief","fk13","ALPIS","LAND",1.00
"Leontief","fk13","ALPIS","WATER",4.54
"Leontief","fk13","ALPIS","LABOR",0.05
"Leontief","fk13","ALPIS","SUPPL",0.12
"Leontief","fk13","CORN","LAND",1.00
"Leontief","fk13","CORN","WATER",2.60
"Leontief","fk13","CORN","LABOR",0.01
"Leontief","fk13","CORN","SUPPL",0.03
"Leontief","fk13","COTTN","LAND",0.00
"Leontief","fk13","COTTN","WATER",0.00
"Leontief","fk13","COTTN","LABOR",0.00
"Leontief","fk13","COTTN","SUPPL",0.00
"Leontief","fk13","CUCUR","LAND",0.00
"Leontief","fk13","CUCUR","WATER",0.00
"Leontief","fk13","CUCUR","LABOR",0.00
"Leontief","fk13","CUCUR","SUPPL",0.00
"Leontief","fk13","DRYBN","LAND",1.00
"Leontief","fk13","DRYBN","WATER",2.36
"Leontief","fk13","DRYBN","LABOR",0.03
"Leontief","fk13","DRYBN","SUPPL",0.07
"Leontief","fk13","FRTOM","LAND",0.00
"Leontief","fk13","FRTOM","WATER",0.00
"Leontief","fk13","FRTOM","LABOR",0.00
"Leontief","fk13","FRTOM","SUPPL",0.00
"Leontief","fk13","GRAIN","LAND",0.00
"Leontief","fk13","GRAIN","WATER",0.00
"Leontief","fk13","GRAIN","LABOR",0.00
"Leontief","fk13","GRAIN","SUPPL",0.00
"Leontief","fk13","ONGAR","LAND",0.00
"Leontief","fk13","ONGAR","WATER",0.00
"Leontief","fk13","ONGAR","LABOR",0.00
"Leontief","fk13","ONGAR","SUPPL",0.00
"Leontief","fk13","OTHDEC","LAND",1.00
"Leontief","fk13","OTHDEC","WATER",4.52
"Leontief","fk13","OTHDEC","LABOR",0.02
"Leontief","fk13","OTHDEC","SUPPL",0.15
"Leontief","fk13","OTHFLD","LAND",0.00
"Leontief","fk13","OTHFLD","WATER",0.00
"Leontief","fk13","OTHFLD","LABOR",0.00
"Leontief","fk13","OTHFLD","SUPPL",0.00
"Leontief","fk13","OTHTRK","LAND",1.00
"Leontief","fk13","OTHTRK","WATER",1.02
"Leontief","fk13","OTHTRK","LABOR",3.57
"Leontief","fk13","OTHTRK","SUPPL",19.06
"Leontief","fk13","PASTR","LAND",1.00
"Leontief","fk13","PASTR","WATER",5.56
"Leontief","fk13","PASTR","LABOR",0.26
"Leontief","fk13","PASTR","SUPPL",0.63
"Leontief","fk13","POTATO","LAND",0.00
"Leontief","fk13","POTATO","WATER",0.00
"Leontief","fk13","POTATO","LABOR",0.00
"Leontief","fk13","POTATO","SUPPL",0.00
"Leontief","fk13","PRTOM","LAND",0.00
"Leontief","fk13","PRTOM","WATER",0.00
"Leontief","fk13","PRTOM","LABOR",0.00
"Leontief","fk13","PRTOM","SUPPL",0.00
"Leontief","fk13","RICE","LAND",0.00
"Leontief","fk13","RICE","WATER",0.00
"Leontief","fk13","RICE","LABOR",0.00
"Leontief","fk13","RICE","SUPPL",0.00
"Leontief","fk13","SAFLR","LAND",0.00
"Leontief","fk13","SAFLR","WATER",0.00
"Leontief","fk13","SAFLR","LABOR",0.00
"Leontief","fk13","SAFLR","SUPPL",0.00
"Leontief","fk13","SBEET","LAND",0.00
"Leontief","fk13","SBEET","WATER",0.00
"Leontief","fk13","SBEET","LABOR",0.00
"Leontief","fk13","SBEET","SUPPL",0.00
"Leontief","fk13","SUBTRP","LAND",1.00
"Leontief","fk13","SUBTRP","WATER",3.96
"Leontief","fk13","SUBTRP","LABOR",5.96
"Leontief","fk13","SUBTRP","SUPPL",15.43
"Leontief","fk13","VINE","LAND",1.00
"Leontief","fk13","VINE","WATER",4.12
"Leontief","fk13","VINE","LABOR",1.39
"Leontief","fk13","VINE","SUPPL",0.84
"Leontief","fk08","ALFAL","LAND",1.00
"Leontief","fk08","ALFAL","WATER",5.24
"Leontief","fk08","ALFAL","LABOR",0.07
"Leontief","fk08","ALFAL","SUPPL",0.83
"Leontief","fk08","ALPIS","LAND",1.00
"Leontief","fk08","ALPIS","WATER",4.54
"Leontief","fk08","ALPIS","LABOR",0.08
"Leontief","fk08","ALPIS","SUPPL",0.18
"Leontief","fk08","CORN","LAND",1.00
"Leontief","fk08","CORN","WATER",2.60
"Leontief","fk08","CORN","LABOR",0.06
"Leontief","fk08","CORN","SUPPL",0.23
"Leontief","fk08","COTTN","LAND",0.00
"Leontief","fk08","COTTN","WATER",0.00
"Leontief","fk08","COTTN","LABOR",0.00
"Leontief","fk08","COTTN","SUPPL",0.00
"Leontief","fk08","CUCUR","LAND",0.00
"Leontief","fk08","CUCUR","WATER",0.00
"Leontief","fk08","CUCUR","LABOR",0.00
"Leontief","fk08","CUCUR","SUPPL",0.00
"Leontief","fk08","DRYBN","LAND",0.00
"Leontief","fk08","DRYBN","WATER",0.00
"Leontief","fk08","DRYBN","LABOR",0.00
"Leontief","fk08","DRYBN","SUPPL",0.00
"Leontief","fk08","FRTOM","LAND",0.00
"Leontief","fk08","FRTOM","WATER",0.00
"Leontief","fk08","FRTOM","LABOR",0.00
"Leontief","fk08","FRTOM","SUPPL",0.00
"Leontief","fk08","GRAIN","LAND",1.00
"Leontief","fk08","GRAIN","WATER",1.44
"Leontief","fk08","GRAIN","LABOR",0.24
"Leontief","fk08","GRAIN","SUPPL",3.90
"Leontief","fk08","ONGAR","LAND",0.00
"Leontief","fk08","ONGAR","WATER",0.00
"Leontief","fk08","ONGAR","LABOR",0.00
"Leontief","fk08","ONGAR","SUPPL",0.00
"Leontief","fk08","OTHDEC","LAND",1.00
"Leontief","fk08","OTHDEC","WATER",4.52
"Leontief","fk08","OTHDEC","LABOR",0.05
"Leontief","fk08","OTHDEC","SUPPL",0.31
"Leontief","fk08","OTHFLD","LAND",0.00
"Leontief","fk08","OTHFLD","WATER",0.00
"Leontief","fk08","OTHFLD","LABOR",0.00
"Leontief","fk08","OTHFLD","SUPPL",0.00
"Leontief","fk08","OTHTRK","LAND",0.00
"Leontief","fk08","OTHTRK","WATER",0.00
"Leontief","fk08","OTHTRK","LABOR",0.00
"Leontief","fk08","OTHTRK","SUPPL",0.00
"Leontief","fk08","PASTR","LAND",0.00
"Leontief","fk08","PASTR","WATER",0.00
"Leontief","fk08","PASTR","LABOR",0.00
"Leontief","fk08","PASTR","SUPPL",0.00
"Leontief","fk08","POTATO","LAND",0.00
"Leontief","fk08","POTATO","WATER",0.00
"Leontief","fk08","POTATO","LABOR",0.00
"Leontief","fk08","POTATO","SUPPL",0.00
"Leontief","fk08","PRTOM","LAND",0.00
"Leontief","fk08","PRTOM","WATER",0.00
"Leontief","fk08","PRTOM","LABOR",0.00
"Leontief","fk08","PRTOM","SUPPL",0.00
"Leontief","fk08","RICE","LAND",0.00
"Leontief","fk08","RICE","WATER",0.00
"Leontief","fk08","RICE","LABOR",0.00
"Leontief","fk08","RICE","SUPPL",0.00
"Leontief","fk08","SAFLR","LAND",0.00
"Leontief","fk08","SAFLR","WATER",0.00
"Leontief","fk08","SAFLR","LABOR",0.00
"Leontief","fk08","SAFLR","SUPPL",0.00
"Leontief","fk08","SBEET","LAND",0.00
"Leontief","fk08","SBEET","WATER",0.00
"Leontief","fk08","SBEET","LABOR",0.00
"Leontief","fk08","SBEET","SUPPL",0.00
"Leontief","fk08","SUBTRP","LAND",1.00
"Leontief","fk08","SUBTRP","WATER",3.96
"Leontief","fk08","SUBTRP","LABOR",0.69
"Leontief","fk08","SUBTRP","SUPPL",1.78
"Leontief","fk08","VINE","LAND",1.00
"Leontief","fk08","VINE","WATER",4.12
"Leontief","fk08","VINE","LABOR",0.26
"Leontief","fk08","VINE","SUPPL",0.16
"Leontief","fk01","ALFAL","LAND",1.00
"Leontief","fk01","ALFAL","WATER",5.24
"Leontief","fk01","ALFAL","LABOR",0.36
"Leontief","fk01","ALFAL","SUPPL",4.55
"Leontief","fk01","ALPIS","LAND",1.00
"Leontief","fk01","ALPIS","WATER",4.54
"Leontief","fk01","ALPIS","LABOR",0.02
"Leontief","fk01","ALPIS","SUPPL",0.05
"Leontief","fk01","CORN","LAND",1.00
"Leontief","fk01","CORN","WATER",2.60
"Leontief","fk01","CORN","LABOR",1.20
"Leontief","fk01","CORN","SUPPL",4.46
"Leontief","fk01","COTTN","LAND",0.00
"Leontief","fk01","COTTN","WATER",0.00
"Leontief","fk01","COTTN","LABOR",0.00
"Leontief","fk01","COTTN","SUPPL",0.00
"Leontief","fk01","CUCUR","LAND",1.00
"Leontief","fk01","CUCUR","WATER",2.46
"Leontief","fk01","CUCUR","LABOR",108.57
"Leontief","fk01","CUCUR","SUPPL",51.98
"Leontief","fk01","DRYBN","LAND",1.00
"Leontief","fk01","DRYBN","WATER",2.36
"Leontief","fk01","DRYBN","LABOR",1.03
"Leontief","fk01","DRYBN","SUPPL",2.80
"Leontief","fk01","FRTOM","LAND",0.00
"Leontief","fk01","FRTOM","WATER",0.00
"Leontief","fk01","FRTOM","LABOR",0.00
"Leontief","fk01","FRTOM","SUPPL",0.00
"Leontief","fk01","GRAIN","LAND",0.00
"Leontief","fk01","GRAIN","WATER",0.00
"Leontief","fk01","GRAIN","LABOR",0.00
"Leontief","fk01","GRAIN","SUPPL",0.00
"Leontief","fk01","ONGAR","LAND",0.00
"Leontief","fk01","ONGAR","WATER",0.00
"Leontief","fk01","ONGAR","LABOR",0.00
"Leontief","fk01","ONGAR","SUPPL",0.00
"Leontief","fk01","OTHDEC","LAND",1.00
"Leontief","fk01","OTHDEC","WATER",4.52
"Leontief","fk01","OTHDEC","LABOR",0.13
"Leontief","fk01","OTHDEC","SUPPL",0.88
"Leontief","fk01","OTHFLD","LAND",0.00
"Leontief","fk01","OTHFLD","WATER",0.00
"Leontief","fk01","OTHFLD","LABOR",0.00
"Leontief","fk01","OTHFLD","SUPPL",0.00
"Leontief","fk01","OTHTRK","LAND",1.00
"Leontief","fk01","OTHTRK","WATER",1.02
"Leontief","fk01","OTHTRK","LABOR",0.77
"Leontief","fk01","OTHTRK","SUPPL",4.08
"Leontief","fk01","PASTR","LAND",0.00
"Leontief","fk01","PASTR","WATER",0.00
"Leontief","fk01","PASTR","LABOR",0.00
"Leontief","fk01","PASTR","SUPPL",0.00
"Leontief","fk01","POTATO","LAND",0.00
"Leontief","fk01","POTATO","WATER",0.00
"Leontief","fk01","POTATO","LABOR",0.00
"Leontief","fk01","POTATO","SUPPL",0.00
"Leontief","fk01","PRTOM","LAND",0.00
"Leontief","fk01","PRTOM","WATER",0.00
"Leontief","fk01","PRTOM","LABOR",0.00
"Leontief","fk01","PRTOM","SUPPL",0.00
"Leontief","fk01","RICE","LAND",0.00
"Leontief","fk01","RICE","WATER",0.00
"Leontief","fk01","RICE","LABOR",0.00
"Leontief","fk01","RICE","SUPPL",0.00
"Leontief","fk01","SAFLR","LAND",0.00
"Leontief","fk01","SAFLR","WATER",0.00
"Leontief","fk01","SAFLR","LABOR",0.00
"Leontief","fk01","SAFLR","SUPPL",0.00
"Leontief","fk01","SBEET","LAND",0.00
"Leontief","fk01","SBEET","WATER",0.00
"Leontief","fk01","SBEET","LABOR",0.00
"Leontief","fk01","SBEET","SUPPL",0.00
"Leontief","fk01","SUBTRP","LAND",1.00
"Leontief","fk01","SUBTRP","WATER",3.96
"Leontief","fk01","SUBTRP","LABOR",0.79
"Leontief","fk01","SUBTRP","SUPPL",2.06
"Leontief","fk01","VINE","LAND",1.00
"Leontief","fk01","VINE","WATER",4.12
"Leontief","fk01","VINE","LABOR",0.04
"Leontief","fk01","VINE","SUPPL",0.02
"Leontief","fk06","ALFAL","LAND",1.00
"Leontief","fk06","ALFAL","WATER",5.24
"Leontief","fk06","ALFAL","LABOR",0.00
"Leontief","fk06","ALFAL","SUPPL",0.03
"Leontief","fk06","ALPIS","LAND",1.00
"Leontief","fk06","ALPIS","WATER",4.54
"Leontief","fk06","ALPIS","LABOR",0.03
"Leontief","fk06","ALPIS","SUPPL",0.07
"Leontief","fk06","CORN","LAND",1.00
"Leontief","fk06","CORN","WATER",2.60
"Leontief","fk06","CORN","LABOR",0.00
"Leontief","fk06","CORN","SUPPL",0.01
"Leontief","fk06","COTTN","LAND",0.00
"Leontief","fk06","COTTN","WATER",0.00
"Leontief","fk06","COTTN","LABOR",0.00
"Leontief","fk06","COTTN","SUPPL",0.00
"Leontief","fk06","CUCUR","LAND",0.00
"Leontief","fk06","CUCUR","WATER",0.00
"Leontief","fk06","CUCUR","LABOR",0.00
"Leontief","fk06","CUCUR","SUPPL",0.00
"Leontief","fk06","DRYBN","LAND",1.00
"Leontief","fk06","DRYBN","WATER",2.36
"Leontief","fk06","DRYBN","LABOR",0.33
"Leontief","fk06","DRYBN","SUPPL",0.90
"Leontief","fk06","FRTOM","LAND",1.00
"Leontief","fk06","FRTOM","WATER",1.83
"Leontief","fk06","FRTOM","LABOR",1.24
"Leontief","fk06","FRTOM","SUPPL",8.08
"Leontief","fk06","GRAIN","LAND",1.00
"Leontief","fk06","GRAIN","WATER",1.44
"Leontief","fk06","GRAIN","LABOR",0.07
"Leontief","fk06","GRAIN","SUPPL",1.17
"Leontief","fk06","ONGAR","LAND",0.00
"Leontief","fk06","ONGAR","WATER",0.00
"Leontief","fk06","ONGAR","LABOR",0.00
"Leontief","fk06","ONGAR","SUPPL",0.00
"Leontief","fk06","OTHDEC","LAND",1.00
"Leontief","fk06","OTHDEC","WATER",4.52
"Leontief","fk06","OTHDEC","LABOR",0.02
"Leontief","fk06","OTHDEC","SUPPL",0.15
"Leontief","fk06","OTHFLD","LAND",0.00
"Leontief","fk06","OTHFLD","WATER",0.00
"Leontief","fk06","OTHFLD","LABOR",0.00
"Leontief","fk06","OTHFLD","SUPPL",0.00
"Leontief","fk06","OTHTRK","LAND",1.00
"Leontief","fk06","OTHTRK","WATER",1.02
"Leontief","fk06","OTHTRK","LABOR",0.72
"Leontief","fk06","OTHTRK","SUPPL",3.83
"Leontief","fk06","PASTR","LAND",1.00
