,alfalfa,almond,apple,citrus,corn,cotton,deciduous_misc,field_misc,grain,grape,onion,pasture,peach,pistachio,squash,strawberry,subtropical_misc,tomato,vegetable_small,walnut
0,8.384611776394113,0.13064469060806386,0.047,0.18,14.898916746039744,18.56722636182996,0.707,1.5644343161672976,4.2152369153791405,1.2720965920298908,0.0,0.0,0.02,1.8015831091993695,0.0,0.0,0.0,0.1633623188405797,0.26499599198396795,2.00689118152788
1,11.394542856934768,0.09940470502938863,0.047,0.021819973718791064,14.62781588483819,19.441602111931246,0.679343731039109,2.728880988397071,4.871159431023033,1.1950071091255405,0.0,0.0027785817655571633,0.0009195402298850575,1.757757750306571,0.0,0.0,0.0,0.629648406975389,0.23116105454795655,1.995157874137504
2,10.867786898418759,0.10678404586969124,0.07012827872119907,0.1563513513513514,13.472928318384422,15.82701780711406,0.7128354725297119,2.821599523690508,4.214220724786986,1.335749067801327,0.0,0.011404101326899882,0.001,1.9626873059758192,0.0,0.0,0.0,0.6631956537807673,0.126,2.1313114502484978
3,12.274101607428308,0.05167250746760121,0.03,0.006,14.198440365123435,19.829913272908943,0.6853241167434716,1.8316114339148408,5.14567765536924,1.3653191426059017,0.0,0.006,0.02491822094691535,1.968982780387921,0.0,0.01966205837173579,0.0,0.0692258064516129,0.05163066954643629,2.2505203627336297
4,12.177632440689065,0.052176159111455525,0.0,0.0,11.271511951252787,18.70931239084946,0.4789910979228487,1.3060022710497927,6.436181441836201,1.1405920577074284,0.0,0.006,0.024919540229885056,2.1411842663590095,0.0,0.04,0.0,0.0,0.0234718826405868,2.452924500351481
5,10.447592461557237,0.2634272088528918,0.018,0.002,16.43821773796587,15.75587062737855,0.6027787810383748,1.0047346504559658,6.2647546696655665,0.9488716262975778,0.0,0.006,0.03588581314878893,2.1799236258419823,0.004,0.0039277108433734935,0.0,0.0,0.015,2.3295150869538226
6,12.6070868916456,0.264050778605281,0.0,0.002,16.30471634637064,16.52363997276516,0.685855421686747,0.6689404784756829,6.759438491957956,1.0166,0.0,0.015,0.034,2.5565141129013065,0.0,0.041,0.0,0.0,0.041999999999999996,2.492457505591627
7,11.84349032398994,0.2570671234467542,0.0,0.002,14.825236094267671,17.54571337023093,0.6765298964292167,0.6749171310194342,7.615069519519634,0.8124036370205335,0.0,0.021,0.039,2.687076469292019,0.0,0.002,0.0,0.0,0.035,2.737896434783865
8,14.201606769481167,0.4300197300103842,0.0,0.046,18.205191530514426,15.345361945915604,0.659714612581764,0.482515237746982,5.929061073758213,0.7854417775143773,0.0,0.016300000000000002,0.039,2.9185321407810885,0.0,0.0,0.0,0.0,0.044,2.8591351816959865
9,14.31087504885611,0.5585385924265385,0.0,0.0,16.87841006181593,13.509788648834212,0.6139610253020331,0.9796968091947434,8.822651689366596,0.8373679775280899,0.0,0.011,0.039,3.584711683263889,0.0,0.002,0.0,0.0,0.038,3.056518463411856
