,alfalfa,almond,citrus,corn,cotton,field_misc,grain,grape,melon,pistachio,subtropical_misc,tomato,vegetable_small
0,0.957,2.347038784883815,0.002,0.0,22.497086925321426,1.725489646772229,6.966150504036271,2.416212121212121,0.3732944606413994,8.454054991381717,0.55,0.6755125657510227,0.0
1,1.18,2.5941541963424473,0.002,0.0,23.624916850422004,0.75,8.983260281319001,2.431216216216216,0.12462772050400915,9.394081899676484,0.9332760595647194,0.6764900490167128,0.09035672693840023
2,0.517,1.89323,0.0,0.0,22.976800870614383,0.245,7.816199129385609,2.663,0.0,10.26649,1.0529000000000002,0.0,0.0
3,0.5504931506849315,1.27033,0.0,0.0,21.77005551428024,0.54,7.715451335034829,2.451,0.28202702702702703,11.30176297297297,2.7817800000000004,0.0,0.0
4,0.0,1.32733,0.0,0.0,12.844,0.08,3.771,2.2807399999999998,0.0,11.57019,2.23178,0.0,0.0
5,0.0,2.4473000000000003,0.0,0.0,5.255,0.316,0.32,2.2807399999999998,0.0,9.796780000000002,2.7417499999999997,0.0,0.0
6,0.0,2.43017,0.0,0.0,4.609,0.648418523955692,0.252,1.045957560389697,0.0,11.82775391565461,2.19446,0.0,0.0
7,0.0,3.3693,0.0,0.0,2.823,0.175,0.345,0.72,0.0,11.91973,2.7358599999999997,0.0,0.0
8,0.0,4.688528628672181,0.0,0.0,0.0,0.21999999999999997,0.725,0.56,0.0,11.90397137132782,2.7358599999999997,0.0,0.0
9,0.0,7.345021928655331,0.0,0.19,0.0,0.745,2.0902,0.56,0.0,11.87873,7.729188071344669,0.0,0.0
10,0.0,6.974298450781859,0.0,0.0,0.0,1.275,0.12,0.8600000000000001,0.0,11.948490000000001,8.58979154921814,0.0,0.0
11,0.0,6.665970000000001,0.0,0.0,0.0,0.5327731964109745,0.16,0.8600000000000001,0.0,12.396907005371592,10.188069798217432,0.0,0.0
12,0.0,6.589480000000002,0.0,0.0,0.0,0.0,0.0,0.7,0.0,12.10266,9.639940000000001,0.0,0.0
13,0.0,6.672000000000002,0.0,0.0,0.0,0.0,0.0,0.7,0.0,12.077659999999998,9.17694,0.0,0.0
14,0.08,6.668578893488784,0.0,0.0,0.0,0.0,0.905,0.7,0.0,12.244341106511218,9.63994,0.0,0.0
15,0.08,6.67596,0.0,0.0,0.0,0.6,0.4,0.7,0.0,12.16365,9.71994,0.0,0.0
16,0.0,6.788093023255814,0.0,0.0,0.0,0.0,0.0,0.5269955156950672,0.0,12.61307216029336,10.180979300755755,0.0,0.0
17,0.0,6.637,0.0,0.0,0.0,0.0,0.035,0.54,0.0,12.50314,8.69,0.0,0.0
18,0.0,6.433078132223764,0.0,0.0,0.0,0.0,0.0,0.38,0.0,12.519672383806045,6.681989483970192,0.0,0.0
19,0.0,6.755953744493392,0.0,0.0,0.0,0.0,0.0,0.3,0.0,13.105611742282214,6.073484513224393,0.0,0.0
