,alfalfa,almond,apple,citrus,corn,cotton,cucumber,deciduous_misc,field_misc,grain,grape,melon,onion,peach,pepper,pistachio,squash,subtropical_misc,tomato,vegetable_small
0,23.605979615674148,11.938284342121063,0.076,0.0125,1.7943656825246035,44.74121304334223,0.0,0.118,4.392436715811401,3.971339386370226,2.3004,0.0,1.0066363993844052,0.0,0.0,0.24255000000000002,0.003,0.24,0.8279982713915299,0.7134565433803908
1,29.534790220234992,17.10404632087111,0.076,0.0175,1.0672309208287982,32.83841853578722,0.0,0.1726,5.849804606747316,2.515997191077812,2.5965000000000003,0.0701,0.9015690521788012,0.0,0.0,0.8375499999999999,0.011,0.24,1.199981289644101,0.9575318626298635
2,23.563737309097796,17.57437910352975,0.0,0.015186440677966102,1.5375304962550764,28.020969781257683,0.0,0.0238,6.162755950207075,3.753033583557076,2.6351344827586205,0.0,0.8745153645052866,0.0,0.0,1.149962654097172,0.018,0.24,1.082232176749122,0.9840626573073828
3,22.008380994122227,18.130236460432705,0.0,0.01,2.9300646370535968,27.803816256767757,0.0,0.2134,4.966128152687443,3.7438010491479146,2.5547999999999997,0.14809999999999998,0.257,0.003,0.0,1.24,0.0,0.24,3.2218575967672063,0.8498848530211579
4,20.975797674418608,18.232816233397024,0.0,0.030000000000000002,1.13241536643026,28.520200940167292,0.0,0.2874000000000001,1.6435539078156312,3.1659257683215127,2.8748,0.0,0.0,0.003,0.0,1.202,0.0,0.24,2.697295668259596,0.5266244411900725
5,21.265946119094707,16.845317101342722,0.0,0.0125,4.165473526187063,20.025111389280532,0.0,0.21615038520801233,3.8227964029784856,3.3491999999999997,2.5878,0.0058792650918635175,0.0,0.0,0.0,1.24,0.0,0.23,4.1530236599021695,0.5941821509144422
6,20.787417534383682,17.285106710050268,0.0,0.015,4.587430976936919,20.888691620309064,0.0,0.5991325344517677,5.200292041324829,8.955295184629229,2.3487999999999998,0.0025,0.0,0.003,0.0,1.315,0.0015,0.21810638613127875,3.7984987469866685,0.8525382647962879
7,21.455425377788533,17.35668940274343,0.0,0.0,5.965850061100238,24.434917457180465,0.0,0.669792678462477,5.5267289112421905,7.752541076563986,2.6033,0.0,0.0,0.0,0.0,1.1934444444444443,0.0,0.23,3.098995818591889,0.9732247718823419
8,20.49348549448785,23.35664503834757,0.0,0.019,5.896146305909354,19.876687424883926,0.1371302184130495,0.6734,6.351056037391954,5.9392571196234805,3.0801600000000002,0.0,0.00216,0.0,0.0,3.621097383852053,0.0,0.21710914454277286,1.3528177187090844,0.8621281138388935
9,21.354299288313047,28.591888991892237,0.0,0.0,7.216968572700225,12.077325832927054,0.060952380952380966,0.6512780840260377,4.834160855642559,10.299921086782955,3.2081600000000003,0.024,0.13080784992097805,0.0,0.10246984491671453,6.290507472481716,0.0,0.21710914454277286,0.7975656072226672,0.7059949876786626
10,20.230349331391167,33.22121879555328,0.0,0.0,7.079038271651944,8.364768632483,0.0,0.6724,4.19526566535924,8.175336888783598,3.303703134274037,0.0,0.1009,0.0,0.23076397515527958,7.55523870702265,0.0,0.2050923482849604,1.178313622041802,0.7339306279990493
11,22.467987378584287,34.745994087315815,0.0,0.0,5.930214859316138,3.9386503608964256,0.0,0.6724,4.4008463367164,12.05352276296385,3.3185200256320115,0.0719,0.2902298879202989,0.0,0.22519999999999998,7.852621900041305,0.0,0.5494890510948905,0.9804212412065784,0.3864521083120032
12,17.431887674149866,34.02564427809448,0.0,0.0,5.779511296899088,3.229700697066512,0.06931407942238267,0.6894,3.852587350689127,5.816840472053982,3.28816,0.2254259927797834,0.3402,0.0,0.2026,8.708789999999999,0.0005,0.551,1.2204281588447654,0.41340000000000005
13,18.905207459087418,34.526281458755626,0.0,0.0,5.695430502953729,6.571606131930367,0.0,0.6728,2.448438221751657,10.545497669603503,2.1835123546487094,0.3096527369040612,0.6211026066060231,0.0,0.30369999999999997,11.184717247798426,0.015,0.7070000000000001,1.2643919762258544,0.39333163373462143
14,19.085269471726146,36.167888809448336,0.0,0.0,5.835028174874704,8.081190299150785,0.0,0.6728,2.6827088856208534,9.849655329744511,1.7136805767414724,0.3809749644381224,0.294460017825312,0.0,0.3201109530583215,14.93258254582094,0.01,0.9225000000000001,1.2786,0.15253997155049787
15,19.07510017753797,36.09863946169998,0.0,0.0,7.994759117808616,5.838388187753664,0.0,0.6728,4.453441950269489,10.07070137634565,2.517320887160552,0.3480223316907148,0.26281555129209644,0.0,0.3467214854397887,16.715363333398276,0.0,0.9225000000000001,0.7260562559049802,0.20555988369821054
16,16.827333917096816,40.49409575758044,0.0,0.0,7.795696293527548,3.978744224582773,0.0,0.6137740554960642,3.4724704667710222,10.075903330370373,4.33326360579456,0.41274243941235783,0.4860102941863589,0.0,0.31556739504699455,16.775183210840055,0.019067189332544407,0.8360000000000001,0.913067306671184,0.13940051329090986
17,16.799688224227463,39.131455604906776,0.0,0.0,6.133800559548905,3.8652277764361584,0.0,0.6668,3.147329226715753,9.594825348503669,4.416115868171105,0.276,0.26480000000000004,0.0,0.2354,17.316809900151785,0.012,0.152,0.9044,0.07744749133838064
18,14.733723714931811,40.315139774396634,0.0,0.0,6.4812894169991395,2.651430441068947,0.0,0.5938,3.6536222241125644,9.603100724910092,4.239757941270568,0.2142547140964732,0.37854968668603267,0.0,0.26475762814249887,20.05517647485913,0.009520975900029751,0.152,0.9304849208518602,0.12810136177419723
