,alfalfa,almond,corn,cotton,deciduous_misc,field_misc,grain,grape,onion,pepper,pistachio,subtropical_misc,tomato,vegetable_small,walnut
0,3.1927048065496058,0.0,2.585458987020383,6.81824566286627,0.0,0.6492758735159994,1.9717739389772437,0.3618407310704961,0.03,0.0,0.0,0.0,0.228,0.0,0.0
1,4.136778779960552,0.0481203007518797,1.8385780103849467,5.484822375141181,0.0,0.6174403277274364,1.99677772181599,0.4170766871165644,0.056,0.0,0.0,0.0,0.20500579710144928,0.0,0.0
2,4.34889494949495,0.1,1.839349570200573,5.274505846532773,0.0,0.7507061261360843,1.4846558284117708,0.592020202020202,0.0,0.0,0.1896504559270517,0.0,0.33361702127659565,0.0,0.0052
3,3.445332966283609,0.07,2.5852258974994236,6.069409590903305,0.0,0.36649824117067675,2.9313225413933406,0.40334080717488785,0.0553009708737864,0.0,0.29166898470097363,0.0,0.0,0.0,0.0
4,3.2257967032900647,0.24905385735080054,2.365959909351163,5.834821763157242,0.0,0.247,2.7909093508280494,0.4221578947368422,0.03,0.0,0.47940052128583843,0.015,0.0,0.0,0.0
5,3.8825690008672344,0.2335071707953064,2.6229547982013495,4.757891812223285,0.0,0.1274971098265896,2.60976786406849,0.41701172273190623,0.0,0.0,0.5034005212858385,0.015,0.0,0.0,0.0
6,4.614449424183229,0.347651115232796,2.6241750070480263,3.781639722748096,0.0,0.035,2.457684209502014,0.29000000000000004,0.0,0.0,0.5034005212858385,0.05,0.0,0.0,0.0
7,3.535513571592835,0.3385276073619632,3.168348877104769,3.7550671306507506,0.0,0.10500000000000001,2.746788414002916,0.19349999999999998,0.0,0.0,0.5537054943420835,0.015,0.20564890494468283,0.0,0.0
8,4.5020632384710115,0.2877921118345837,3.0586464078367803,3.6875575081368397,0.023,0.0,2.7317999229295182,0.2684402895054282,0.0,0.0,0.5034005212858385,0.015,0.116,0.0,0.0
9,3.8685994995394988,0.3283459610677235,2.968100622231399,3.362773536576141,0.0,0.1195,2.3264122456378913,0.2873163538873994,0.0,0.0,1.1224005212858383,0.0,0.2020512597741095,0.0,0.0
10,4.397221129687887,0.46633373456477634,3.704436878923333,2.110409831985323,0.0,0.40529999999999994,1.9112619024275017,0.20885434173669465,0.0,0.0,1.464182180674485,0.088,0.116,0.0,0.0
11,3.870760060552112,0.5086718417463172,4.474099931780465,0.8724064738967071,0.0,0.5605413297714009,3.879600959756572,0.19,0.0,0.0,1.8785774186120145,0.14964198388441238,0.227,0.09,0.073
12,3.7357563317671487,0.45478652599186725,3.887558444608789,0.725,0.005,0.49988447415657655,3.6223942538965046,0.19,0.0,0.0,2.277742989891154,0.19757697968796,0.054,0.0,0.055
13,3.9697049303235947,0.5313443030568963,3.2480385689377886,2.175513191257282,0.0,0.246,2.179565458927297,0.292,0.0,0.0,2.52664342404035,0.147,0.274,0.38071234567901235,0.0727777777777778
14,3.177620115594514,0.8745099976235585,2.929607793460625,2.4942465933709976,0.0,0.008,3.230777734165263,0.429,0.0,0.0,3.0614524510997247,0.3186853146853147,0.32,0.055999999999999994,0.11
15,3.852035943853351,0.6380975407699034,3.6668584617752424,1.1153263953167294,0.005,0.29031729667812145,3.3904204361941175,0.29472631174322506,0.0,0.04577968526466381,3.1591980474198054,0.3357808564369217,0.14304715044205407,0.07831187410586551,0.055
16,4.07542496521704,0.4752909437595574,3.3352704948546603,0.7943231970787662,0.0,0.73631180879749,2.9233419808828875,0.3814527039938849,0.07,0.0,3.223857360793288,0.178,0.2532265446224256,0.0,0.055
17,4.07415462740594,0.8530855018274046,3.080657293675874,1.1954669169528764,0.0,0.43065620736698496,2.1374044577576363,0.3728,0.5057557251908397,0.0,3.2299322152341023,0.12661514683153013,0.31417190775681336,0.0,0.095
18,3.4175197000764004,1.074099883940848,2.9985860964203073,1.1910351102846715,0.0,0.3205995708991613,2.7410867896407694,0.3358,0.222,0.0,3.3677792091383254,0.15990243902439022,0.2976312005751258,0.0,0.055
19,2.4994063422669086,1.3336267727376185,2.560021654125624,0.9582265446224256,0.0,0.184,3.613599224281808,0.2920946679660309,0.0,0.0,3.478497360793288,0.10489116517285532,0.48987626803344153,0.0,0.055
