,alfalfa,almond,apple,citrus,corn,cotton,cucumber,deciduous_misc,field_misc,grain,grape,grass,melon,nursery,onion,pasture,peach,pepper,pistachio,potatoe,squash,strawberry,subtropical_misc,tomato,vegetable_small,walnut
0,1.20292,3.1633,1.3135,0.9835000000000002,0.9753,0.9067000000000001,0.0,16.116290427665536,0.25620000000000004,0.21850000000000003,60.75804413803275,0.0,0.041,0.0,0.2002,0.088,9.08058,0.0032,0.1186,0.282,0.0322,0.0883,0.5765554343017254,0.0195,0.248,0.69
1,1.50942,3.1303,1.3789,0.9400000000000001,0.8864000000000002,0.7057,0.0085,16.88736,0.38,0.2945,61.201550000000005,0.0,0.0,0.0,0.2685,0.127,9.273009999999996,0.004,0.0906,0.1435,0.092,0.096,0.5172,0.06860000000000001,0.26809000000000005,0.9272
2,1.448238918918919,3.1408216777486895,1.2436999999999998,1.0039000000000002,0.5630000000000001,0.5137,0.01,16.813285655178586,0.36340000000000006,0.34782132132132126,62.525888463321635,0.003,0.11130000000000001,0.0,0.266,0.20400000000000001,9.258633963510864,0.043,0.07859999999999999,0.1235,0.10200000000000001,0.1387,0.41390000000000005,0.0664,0.223,0.934
3,1.4766,2.921112612612613,1.088625152443743,0.7425999999999999,0.6252000000000001,0.5297000000000001,0.001,16.116247354032303,0.34140000000000004,0.24119999999999997,60.98969936674483,0.0,0.04,0.014,0.245,0.135,9.418097826478824,0.064,0.07859999999999999,0.0,0.11168768768768768,0.1143,0.46383,0.007,0.23950000000000002,1.218
4,1.8475,2.8417,1.06717,1.0600000000000003,0.5877000000000001,0.491,0.0,17.085140000000006,0.2019,0.41159999999999997,56.38552000000001,0.0,0.024,0.0,0.039,0.08,9.765419999999999,0.047,0.09359999999999999,0.0,0.11349999999999999,0.0695,0.46950000000000003,0.0115,0.0476,1.0826
5,1.5734993606772736,2.7931776119402985,1.0173117019413223,0.8972,0.7384969347540504,0.411,0.0001,17.550239454094296,0.154,0.3550502116479346,54.05553609713802,0.0,0.017,0.0,0.252,0.03,9.481562209896364,0.031,0.0876,0.038,0.1196,0.0665,0.4398,0.003,0.14950000000000002,1.0302164179104478
6,1.4646,3.9257920424387653,0.858844592295873,1.7247999999999999,0.8139464763603926,0.3557526018435921,0.0,17.335265252387,0.026522970561998215,0.38867350579839427,50.13609999999999,0.0,0.04,0.03,0.112,0.06,9.664852558313981,0.012,0.07759999999999999,0.001,0.12150000000000001,0.07232000000000001,0.2491,0.0065,0.1974,1.0945
7,1.3177,4.263518674211803,0.824100813311446,2.9024,1.1712,0.40316057304879865,0.041299999999999996,16.476960055189096,0.1889,0.385,51.436976018504716,0.0,0.072,0.03,0.127,0.083,9.432153865734152,0.001,0.0925,0.001,0.091,0.1365,0.29679999999999995,0.01575,0.1622,1.048
8,1.557913931888545,5.076749226006192,0.62495,3.1396,0.9245891640866873,0.522,0.0912,16.44790842069159,0.1979,0.6724891640866874,51.725105097076415,0.0,0.024730704311799908,0.0,0.164,0.02,9.769922883228476,0.09826140862359982,0.0925,0.004,0.16375,0.16092,0.45644999999999997,0.038200000000000005,0.20143,1.193
9,1.1070170731707316,5.642399999999999,0.6271338154167287,3.8701099999999995,1.2481634146341467,0.4845,0.0507,16.39215618632881,0.278,0.6724634146341464,50.39463224137868,0.0,0.039,0.0,0.1577,0.023,9.673403854436755,0.0693,0.1415,0.0032,0.18325,0.20912,0.4337,0.013900000000000001,0.14791,1.2415
10,0.8566,5.8419500000000015,0.6253,3.5048399999999997,1.6727,0.152,0.0211,15.834560946567482,0.3098000000000001,0.4895,49.15689620464482,0.0,0.061,0.0,0.1335,0.0,9.803229094883879,0.11170000000000001,0.108,0.0,0.17350000000000002,0.19942,0.42599375390381017,0.0157,0.24040000000000003,1.47193
11,1.0977000000000001,6.51875,0.55937,3.76826,1.7646,0.162,0.0315,15.351906601174914,0.3015,1.0305,50.59836101020323,0.0,0.03,0.0,0.0032,0.05,9.749482388621864,0.062200000000000005,0.0885,0.0,0.1475,0.30782000000000004,0.4933499999999999,0.002,0.12460000000000002,1.4289299999999996
12,0.749,6.562634863079012,0.5797822509663991,4.30776,1.523849630723781,0.132,0.002,13.629501190285096,0.6024855391432792,1.0805,49.35425274111195,0.0,0.015,0.0,0.0,0.02,9.55211527071639,0.13960000000000003,0.10790000000000001,0.0,0.20104,0.33022000000000007,0.6748000000000001,0.44949999999999996,0.2551,1.4879685139740964
13,1.2045601241272303,7.195019293049561,0.585570181574639,5.555574652434109,1.3513486423584173,0.4428564778898371,0.008199999999999999,14.030945213163411,0.35453,0.371,50.6825723279651,0.0,0.023,0.0,0.11838,0.134,9.838927627801928,0.1745,0.0925,0.0005,0.139,0.44985848420661134,0.75885,0.46694539177657096,0.20888,1.8319515836526181
14,1.0364360393603935,9.618678940534444,0.5275774196758036,6.375879006842815,1.245129129829436,0.399,0.0002,14.496617484793843,0.6183133891082148,1.0048056186212813,64.33475913226448,0.0,0.03,0.0,0.10039044542787293,0.029,10.700580991938612,0.31139375959144744,0.1387,0.0,0.34079573203512936,0.38006031020340725,0.9908827415496246,0.49431491009568607,0.3013769067245927,1.7345280414029212
15,0.7615557107158606,8.083854693684007,0.4730022633760788,5.901037839478631,1.5970482271788105,0.153,0.002,13.815758375724297,0.33931999999999995,1.2145482271788106,52.71336225958686,0.0,0.011,0.0,0.03224242424242423,0.045,9.387524986224742,0.17159181818181815,0.1502,0.0,0.3385427272727272,0.3782,0.7698542597144723,0.37359,0.3174166666666667,1.8896695207738012
