,alfalfa,almond,apple,citrus,corn,cotton,cucumber,deciduous_misc,field_misc,grain,grape,melon,onion,peach,pepper,pistachio,potatoe,squash,strawberry,subtropical_misc,tomato,vegetable_small,walnut
0,2.2783984309565857,7.25257140756601,0.043000000000000003,0.038,0.0,7.3452202809069025,0.0,0.29900000000000004,2.5904780996569152,0.449,1.2638409762163842,0.051,0.37089999999999995,0.0235,0.0,0.155,0.5973708046972019,0.0,0.0,0.03,0.0,0.037,0.017
1,3.7720502975178705,8.558853828683237,0.029,0.038,0.2097,5.442236662446962,0.0,0.315,2.505719795747331,0.3328,1.4331202984146723,0.044,0.2427,0.0257,0.0,0.154,0.45701911718992855,0.0,0.0,0.048,0.07,0.02,0.024
2,2.9014301688688438,9.16389667233761,0.033,0.038200000000000005,0.24023,3.94071682254696,0.0,0.278,3.3001556684424806,0.35217706256520087,1.4518981868357304,0.10349000000000001,0.3043,0.0252,0.05,0.232,0.6004854184031724,0.0,0.005,0.06,0.0,0.025,0.017
3,2.467007284768212,8.721005322667486,0.034,0.038,0.46475,5.0936959965229365,0.0,0.361,2.028957338920949,0.28359999999999996,1.5124007291746788,0.0,0.103,0.029,0.0,0.24,0.3447433279457362,0.0,0.0,0.065,0.1469,0.12939,0.017
4,1.5831999999999995,8.8457,0.034,0.038,0.42577,5.38802,0.0,0.2809,0.8370399999999999,0.6719,1.3249400000000002,0.075,0.0,0.0,0.0,0.331,0.366,0.0,0.0,0.058,0.1459,0.0,0.017
5,2.137529626968828,9.265331412048907,0.034,0.038,0.6087735847624829,4.041860568556146,0.0,0.278,1.8209036052910494,0.46430462359625346,1.3252040692640692,0.073,0.0,0.0,0.0,0.37,0.4599291607396871,0.0,0.0,0.058,0.22193334877257992,0.0,0.077
6,2.911627767255904,8.696709014662787,0.036,0.038,0.9987046533962692,4.587041044473582,0.0,0.323,1.7905338229211474,0.8194253764910184,1.24484,0.073,0.0,0.0,0.0,0.448,0.527688320799291,0.0,0.0,0.049499999999999995,0.14965000000000003,0.0,0.077
7,2.6171784913942777,9.949376817639369,0.03822,0.038,0.6990067904155636,4.791558090637458,0.0,0.39338,2.621946859144405,0.29926520575696797,1.3370517164657496,0.04,0.0,0.0,0.0,0.44086836935166984,0.3378376591945397,0.0,0.0018,0.0545,0.0,0.0,0.017
8,2.42437263710079,10.903995150669795,0.03822,0.038,1.0034244554087068,4.4173283917455874,0.0,0.45138,1.9735483847293904,0.8186717003500485,1.6073499999999998,0.01,0.0,0.0,0.0,0.331,0.36693927999568215,0.0,0.0,0.0495,0.074,0.034,0.117
9,2.1902665380315214,11.206336352279827,0.03822,0.038,0.9601900000000001,2.897361403148215,0.0,0.40769,1.8733283034587225,0.6974760882893931,1.3222149094316054,0.0,0.006,0.0,0.0,0.4479562773266708,0.38935012803404623,0.0,0.0,0.0495,0.14570000000000005,0.059000000000000004,0.017
10,2.085955404165878,11.234913529579618,0.03562003861832225,0.038,1.1135044979858402,1.3562385168524071,0.0,0.4729130988448972,2.3420480535217023,1.297394441083357,1.3697383318471725,0.03489096573208723,0.012,0.0,0.0,0.44086836935166984,0.5051672822236479,0.0,0.0,0.0515,0.0749318049468232,0.30308566524657493,0.117
11,2.773759970457902,11.425645233144214,0.0324567141208157,0.038,1.2486732512160126,0.24378000000000002,0.0,0.5524776562414115,2.0873628270975404,1.568328576450051,1.3682351516954192,0.0,0.08170000000000001,0.0,0.0,0.448,0.2840531757754801,0.0,0.00146,0.0515,0.3160920999875975,0.09796534381355466,0.117
12,2.581,11.748323227067443,0.03622,0.0,0.7389947558770343,0.314,0.03876000000000001,0.46962000000000004,2.0280875551640536,0.9696110995563565,1.3303141453831042,0.0,0.18997999999999998,0.0,0.0,0.38286836935167,0.4364608476003368,0.0,0.0,0.05,0.21159999999999998,0.033999999999999996,0.017
13,2.5054913055272987,12.476552746723787,0.03622,0.0,0.9074222356495867,0.7445715212104838,0.0,0.42662,2.5932142872580815,1.4768034482552033,1.1111605946907905,0.0,0.007,0.0,0.0,0.448,0.4835938606847698,0.0,0.00134,0.053,0.1976,0.0595,0.0
14,2.5783834199251094,12.957999744727058,0.04618005056021971,0.0,0.6026311485267589,2.129714122565296,0.0,0.4584592553291096,1.1358363719517452,1.3730202536513567,1.3242633985935799,0.0,0.008,0.0,0.0,0.468,0.5823750346760652,0.0,0.0,0.053,0.2622799194781686,0.13504728001553482,0.1
15,2.776098473443514,11.977385262654087,0.03622,0.0,0.8990037275154672,0.7944095124851367,0.0,0.43862,1.0379871038251365,1.3982350949352058,1.4221237870028816,0.0,0.07490000000000001,0.0,0.0,0.522752643679301,0.5109843944592706,0.0,0.0,0.053,0.11826,0.14568,0.158
16,2.602934120281028,16.02153270213515,0.035837604617604615,0.0,0.745716805399482,0.6711093522999418,0.0,0.46792,1.3966524620420366,1.286198355029986,1.7681350666264986,0.0,0.026,0.0,0.0,0.5775378293434625,0.2568407960199005,0.0,0.0,0.05185281385281385,0.16032,0.036,0.22507209235209238
17,2.049298727740403,15.011298332789512,0.005,0.0,0.4290969885479993,1.0725668366711456,0.0,0.27530000000000004,0.8748704550076798,0.9615361992291729,1.5590204434928172,0.0,0.013,0.0,0.0,0.548,0.3116304255619963,0.027783902976846752,0.0,0.053,0.2121976879824241,0.0013,0.23272
18,1.6062361645169143,16.16939510960525,0.005,0.0,0.3646591203934707,0.7427,0.0,0.15199249411932428,0.7735182257548257,1.0060779824595425,1.4856029918321174,0.0,0.0,0.0,0.0,0.7105,0.298,0.0,0.0,0.05046791131855309,0.031,0.0,0.23272
19,1.6468,16.990914343283503,0.0,0.021797407163260823,0.24006487835308796,0.4762948143265217,0.0,0.14515833831440528,0.7993445942654593,0.5870734775169436,1.341633522490584,0.0,0.0,0.021797407163260823,0.0,0.7103689956331878,0.215,0.0,0.0,0.08979740716326083,0.021797407163260823,0.021797407163260823,0.38472
